[[18, 24, 9],[25, 3],[40, 2.1]]: 29463.88 -0.16%
[[20, 24, 9],[25, 3],[40, 2.1]]: 29463.88 -0.16%
[[15, 30, 9],[25, 3],[40, 2.1]]: 29463.88 -0.16%
[[18, 24, 9],[5, 3],[50, 2.1]]: 30000.0 0.0%
[[18, 24, 9],[20, 5],[50, 2.1]]: 30000.0 0.0%
[[18, 24, 9],[20, 5],[40, 2.1]]: 30000.0 0.0%
[[18, 24, 9],[25, 3],[50, 2.1]]: 30000.0 0.0%
[[20, 24, 9],[5, 3],[50, 2.1]]: 30000.0 0.0%
[[20, 24, 9],[20, 5],[50, 2.1]]: 30000.0 0.0%
[[20, 24, 9],[20, 5],[40, 2.1]]: 30000.0 0.0%
[[20, 24, 9],[25, 3],[50, 2.1]]: 30000.0 0.0%
[[15, 30, 9],[5, 3],[50, 2.1]]: 30000.0 0.0%
[[15, 30, 9],[20, 5],[50, 2.1]]: 30000.0 0.0%
[[15, 30, 9],[20, 5],[40, 2.1]]: 30000.0 0.0%
[[15, 30, 9],[25, 3],[50, 2.1]]: 30000.0 0.0%
[[18, 24, 9],[5, 3],[40, 2.1]]: 30507.41 0.15%
[[20, 24, 9],[5, 3],[40, 2.1]]: 30507.41 0.15%
[[15, 30, 9],[5, 3],[40, 2.1]]: 30507.41 0.15%
[[15, 30, 9],[20, 5],[30, 2]]: 31116.53 0.33%
[[18, 24, 9],[20, 5],[30, 2]]: 33418.36 0.97%
[[20, 24, 9],[20, 5],[30, 2]]: 33418.36 0.97%
[[15, 30, 9],[25, 3],[30, 2]]: 33441.6 0.97%
[[15, 30, 9],[5, 3],[30, 2]]: 33675.74 1.04%
[[18, 24, 9],[25, 3],[30, 2]]: 33793.57 1.07%
[[20, 24, 9],[25, 3],[30, 2]]: 34361.47 1.22%
[[18, 24, 9],[5, 3],[30, 2]]: 35435.41 1.5%
[[20, 24, 9],[5, 3],[30, 2]]: 35893.56 1.61%
hold_obdobje: 365
KONEC! 0:07:39.758206
