[[20, 40, 9],[15, 11],[40, 2.1]]: 29278.57 -0.22%
[[20, 40, 9],[20, 14],[40, 2.1]]: 29305.57 -0.21%
[[20, 40, 9],[15, 14],[40, 2.1]]: 29305.57 -0.21%
[[18, 40, 9],[20, 14],[40, 2.1]]: 29305.57 -0.21%
[[18, 40, 9],[15, 14],[40, 2.1]]: 29305.57 -0.21%
[[18, 40, 9],[15, 11],[40, 2.1]]: 29305.57 -0.21%
[[20, 35, 9],[20, 14],[40, 2.1]]: 29305.57 -0.21%
[[20, 35, 9],[15, 14],[40, 2.1]]: 29305.57 -0.21%
[[20, 35, 9],[15, 11],[40, 2.1]]: 29305.57 -0.21%
[[20, 40, 9],[15, 11],[30, 2]]: 29718.29 -0.08%
[[20, 40, 9],[20, 14],[50, 2.1]]: 30000.0 0.0%
[[20, 40, 9],[15, 14],[50, 2.1]]: 30000.0 0.0%
[[20, 40, 9],[15, 11],[50, 2.1]]: 30000.0 0.0%
[[18, 40, 9],[20, 14],[50, 2.1]]: 30000.0 0.0%
[[18, 40, 9],[15, 14],[50, 2.1]]: 30000.0 0.0%
[[18, 40, 9],[15, 11],[50, 2.1]]: 30000.0 0.0%
[[20, 35, 9],[20, 14],[50, 2.1]]: 30000.0 0.0%
[[20, 35, 9],[15, 14],[50, 2.1]]: 30000.0 0.0%
[[20, 35, 9],[15, 11],[50, 2.1]]: 30000.0 0.0%
[[20, 40, 9],[20, 14],[30, 2]]: 30439.72 0.13%
[[20, 40, 9],[15, 14],[30, 2]]: 30439.72 0.13%
[[18, 40, 9],[20, 14],[30, 2]]: 30439.72 0.13%
[[18, 40, 9],[15, 14],[30, 2]]: 30439.72 0.13%
[[18, 40, 9],[15, 11],[30, 2]]: 30439.72 0.13%
[[20, 35, 9],[20, 14],[30, 2]]: 30439.72 0.13%
[[20, 35, 9],[15, 14],[30, 2]]: 30439.72 0.13%
[[20, 35, 9],[15, 11],[30, 2]]: 30439.72 0.13%
hold_obdobje: 31
KONEC! 0:07:33.229513
