Date,avgROE,avgProfitMargin,avgRevenue
1997,0.2184,0.1124,32124911266.6667
1998,0.2077,0.1102,34610750000.0
1999,0.2176,0.1188,40449643333.3333
2000,0.2162,0.1183,48444640000.0
2001,0.1711,0.0899,49541790000.0
2002,0.1688,0.0903,51873066666.6667
2003,0.1847,0.1129,56429513333.3333
2004,0.1912,0.1144,63486876666.6667
2005,0.2089,0.1215,69377970000.0
2006,0.2315,0.1317,74646946666.6667
2007,0.2232,0.1132,80887543333.3333
2008,0.084,-0.2135,95918256666.6667
2009,0.1806,0.1141,83518033333.3333
2010,0.2246,0.1187,90769653333.3333
2011,0.2339,0.1126,98689933333.3333
2012,0.187,0.1089,99988933333.3333
2013,0.2173,0.152,95549390000.0
2014,0.2641,0.1463,95644643333.3333
2015,0.2902,0.1405,91280933333.3333
2016,0.3561,0.14,89045363333.3333
2017,0.9436,0.1315,93066646666.6667
2018,1.4089,0.1547,102342806666.6667
2019,0.0096,0.1601,102074450000.0
2020,0.1052,0.1336,90890893333.3333
2021,0.385,0.1852,102636196666.6667
