Date,avgROE,avgProfitMargin,avgGoodwill,avgRevenue
1997,0.2183,0.1124,4908000000.0,32124911266.6667
1998,0.2077,0.1102,5562000000.0,34610750000.0
1999,0.2176,0.1188,28040000000.0,40449643333.3333
2000,0.2162,0.1184,33711000000.0,48444640000.0
2001,0.1711,0.0899,43793000000.0,49541790000.0
2002,0.1688,0.0903,66003000000.0,51873066666.6667
2003,0.1847,0.1128,90972000000.0,56429513333.3333
2004,0.1913,0.1144,133693000000.0,63486876666.6667
2005,0.2089,0.1215,148277700000.0,69377970000.0
2006,0.2316,0.1317,478083800000.0,74646946666.6667
2007,0.2231,0.1133,492738100000.0,80887543333.3333
2008,0.084,-0.2135,574574100000.0,95918256666.6667
2009,0.1806,0.1141,635481300000.0,83518033333.3333
2010,0.2246,0.1187,659929100000.0,90769653333.3333
2011,0.2339,0.1125,685957200000.0,98689933333.3333
2012,0.1867,0.1089,688473000000.0,99988933333.3333
2013,0.2128,0.1475,610085700000.0,95549390000.0
2014,0.2641,0.1463,613769300000.0,95644643333.3333
2015,0.2901,0.1405,551819300000.0,91280933333.3333
2016,0.3562,0.14,581188500000.0,89045363333.3333
2017,0.9436,0.1315,696611700000.0,93066646666.6667
2018,1.4089,0.1547,645875500000.0,102342806666.6667
2019,0.0096,0.1601,715945400000.0,102074450000.0
2020,0.1052,0.1337,677959100000.0,90890893333.3333
2021,0.3736,0.1763,692599000000.0,102636196666.6667
