Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,Industrials
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Industrials
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,Industrials
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Industrials
2001-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Industrials
2002-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,Industrials
2003-12-31,0.0,0.061,0.005,0.0,1.515,0.078,0.03,1.649,0.1,0.0,0.0,0.113,0.0,853.67,76.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.76,0.0,0.0,52,Industrials
2004-12-31,0.0,0.04,0.004,0.0,1.345,0.098,0.093,1.042,0.041,0.0,0.0,0.401,6541000000.0,639.71,65.15,65.15,795385.0,51819273.096,0.0,0.0,0.0,0.0,0.0,0.0,67.89,53995744.73,0.0,53,Industrials
2005-12-30,0.0,0.046,0.004,0.0,1.418,0.092,0.082,0.617,0.028,0.0,0.0,0.289,6249000000.0,990.72,68.66,68.658,826407.0,56739594.774,0.0,0.0,-0.059,0.0,-0.376,-0.376,42.36,35009261.55,0.0,54,Industrials
2006-12-29,0.0,0.028,0.004,0.0,1.418,0.154,0.147,1.415,0.04,0.0,0.0,0.306,6166000000.0,657.22,72.66,72.661,865614.0,62896526.874,0.0,0.0,0.823,0.0,1.428,0.514,102.81,88997151.23,0.0,55,Industrials
2007-12-31,0.0,0.025,0.004,0.0,1.269,0.16,0.199,1.806,0.045,0.0,0.0,0.352,4806000000.0,626.61,73.54,73.538,873297.0,64220716.518,0.0,0.0,0.141,0.0,0.292,0.956,132.81,115985404.05,0.0,56,Industrials
2008-12-31,0.0,0.0,0.001,0.0,2.002,0.0,0.0,3.284,0.0,0.0,0.0,0.368,4981000000.0,930.96,17.52,17.519,834204.0,14614204.651,0.0,0.0,-1.0,0.0,-0.567,-0.152,57.54,47996494.4,0.0,57,Industrials
2009-12-31,0.0,110.73,-8.238,-1516.245,1.845,-0.074,-0.077,-0.0,-0.042,-0.0,0.0,0.47,5051000000.0,1803.97,28.63,28.628,834204.0,23881746.44,0.0,0.0,0.0,0.0,-0.188,-0.311,-0.0,-0.0,-0.0,58,Industrials
2010-12-31,0.012,158.681,2.961,675.524,1.887,0.019,0.006,0.003,0.492,1.121,0.059,0.656,5119000000.0,37.66,36.27,36.274,1111111111.0,40304848884.858,21013000000.0,0.0,1.275,0.0,-0.998,-0.997,0.11,120899999.99,1245555555.431,59,Industrials
2011-12-30,0.024,408.542,18.031,16835.62,1.898,0.044,0.015,0.001,0.214,0.084,0.004,0.645,5251000000.0,24.95,23.21,23.208,1111111111.0,25787107775.199,24951000000.0,0.187,1.406,-0.273,0.048,-0.999,0.02,25788888.89,93333333.324,60,Industrials
2012-12-31,0.0,89.585,1.1,251.707,1.792,0.012,0.013,0.0,0.012,0.0,0.0,0.626,5170000000.0,22.33,19.79,19.79,733333333.0,14512744393.403,0.0,-1.0,-0.735,-1.0,-0.977,-1.0,0.0,0.0,0.0,61,Industrials
2013-12-31,0.0,-8.782,1.86,-24.676,2.098,-0.212,-0.216,0.004,-0.034,0.0,0.0,0.548,3415000000.0,28.83,26.87,26.874,733333333.0,19707646191.042,0.0,0.0,-14.852,0.0,37.5,-0.998,0.11,78818666.63,0.0,62,Industrials
