Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-09-26,-0.148,-1.998,1.74,-0.491,2.527,-0.871,-0.247,0.0,0.0,0.01,0.02,1.372,0.0,0.23,0.15,0.148,14118944000.0,2087895319.776,7081000000.0,-0.28,-0.281,-0.701,-1.0,-1.0,0.0,0.0,141189440.0,17,Technology
1998-09-25,0.052,15.162,2.853,3.904,1.612,0.188,0.072,0.0,0.0,0.049,0.122,2.141,0.0,0.42,0.32,0.317,14781088000.0,4685072776.832,5941000000.0,-0.161,1.296,4.326,0.0,-1.0,0.0,0.0,724273312.0,18,Technology
1999-09-27,0.098,17.746,3.436,4.956,0.663,0.194,0.116,0.0,0.0,0.047,0.123,2.522,0.0,0.75,0.67,0.665,16033584000.0,10665203371.536,6134000000.0,0.032,0.945,0.045,0.0,-1.0,0.0,0.0,753578448.0,19,Technology
2000-10-02,0.098,7.975,1.526,2.525,0.656,0.191,0.116,0.0,0.0,0.04,0.091,2.576,0.0,0.41,0.34,0.345,18175808000.0,6268218201.728,7983000000.0,0.301,0.308,-0.043,0.0,-1.0,0.0,0.0,727032320.0,20,Technology
2001-10-01,-0.005,-243.726,1.554,-82.165,0.536,-0.006,-0.004,0.0,0.0,-0.002,-0.007,3.163,66000000.0,0.43,0.31,0.315,19354328000.0,6093148895.288,5363000000.0,-0.328,-1.032,-1.065,0.0,-1.0,0.0,0.0,-38708656.0,21,Technology
2002-09-30,0.011,85.26,1.353,29.525,0.538,0.016,0.01,0.0,0.0,-0.004,-0.014,2.957,85000000.0,0.39,0.28,0.279,19881232000.0,5541893420.0,5742000000.0,0.071,3.6,-0.809,0.0,0.0,0.0,0.0,-79524928.0,22,Technology
2003-09-29,0.011,118.12,1.93,41.551,0.614,0.016,0.01,0.0,0.0,0.006,0.02,2.34,85000000.0,0.57,0.4,0.404,20195336000.0,8150251944.856,6207000000.0,0.081,0.062,2.471,0.0,0.0,0.0,0.0,121172016.0,23,Technology
2004-09-27,0.033,64.018,3.481,23.204,0.586,0.054,0.034,0.0,0.0,0.036,0.09,2.431,80000000.0,0.99,0.85,0.849,20809040000.0,17669101527.28,8279000000.0,0.334,3.0,5.064,0.0,0.0,0.0,0.0,749125440.0,24,Technology
2005-09-26,0.096,34.39,6.149,13.56,0.547,0.179,0.116,0.0,0.0,0.101,0.164,2.748,69000000.0,2.18,2.03,2.028,22636292000.0,45911244342.488,13931000000.0,0.683,3.837,2.001,0.0,0.0,0.0,0.0,2286265492.0,25,Technology
2006-10-02,0.103,34.127,6.799,14.049,0.723,0.199,0.116,0.0,0.0,0.066,0.081,2.002,38000000.0,3.14,2.87,2.872,23633624000.0,67879147736.232,19315000000.0,0.386,0.49,-0.313,0.0,0.0,0.0,0.0,1559819184.0,26,Technology
2007-10-01,0.146,45.775,11.012,19.302,0.744,0.241,0.138,0.0,0.0,0.185,0.187,2.088,38000000.0,7.0,6.61,6.61,24208660000.0,160027880249.888,24006000000.0,0.243,0.758,1.869,0.0,0.0,0.0,0.0,4478602100.0,27,Technology
2008-09-29,0.149,16.795,3.86,7.221,0.882,0.23,0.122,0.0,0.0,0.34,0.258,2.072,207000000.0,3.77,3.29,3.289,24684576000.0,81185817859.104,32479000000.0,0.353,0.383,0.873,0.0,0.0,0.0,0.0,8392755840.0,28,Technology
2009-09-28,0.156,31.7,6.497,13.807,0.935,0.205,0.106,0.0,-0.0,0.358,0.245,1.479,206000000.0,7.44,7.23,7.231,25004448000.0,180817892896.637,36537000000.0,0.125,0.18,0.065,0.0,0.0,0.0,0.0,8951592384.0,29,Technology
2010-09-27,0.215,20.044,5.877,8.891,0.573,0.293,0.186,0.0,-0.0,0.647,0.253,1.715,741000000.0,11.47,11.03,11.03,25464908000.0,280877927600.528,65225000000.0,0.785,1.457,0.841,0.0,0.0,0.0,0.0,16475795476.0,30,Technology
2011-09-26,0.239,14.468,4.895,6.522,0.519,0.338,0.223,0.0,-0.0,1.162,0.278,1.347,896000000.0,14.87,14.49,14.492,25879224000.0,375036176054.064,108249000000.0,0.66,0.85,0.826,0.0,0.0,0.0,0.0,30071658288.0,31,Technology
2012-10-01,0.267,13.53,4.776,6.168,0.489,0.353,0.237,0.004,0.06,1.584,0.265,1.241,1135000000.0,21.98,21.57,21.571,26174904000.0,564630064895.383,156508000000.0,0.446,0.61,0.378,0.0,0.0,0.09,2258370717.12,41461047936.0,32,Technology
2013-09-30,0.217,13.239,3.969,5.974,0.675,0.3,0.179,0.022,0.285,1.721,0.261,1.402,1577000000.0,19.47,18.92,18.924,25909268000.0,490314395091.721,170910000000.0,0.092,-0.113,0.076,3.29,0.0,0.42,10784473712.32,44589850228.0,33,Technology
2014-09-29,0.216,16.19,5.734,6.864,1.078,0.354,0.17,0.017,0.282,2.05,0.273,0.824,4616000000.0,26.85,26.28,26.278,24342288000.0,639654477788.458,182795000000.0,0.07,0.067,0.119,0.121,0.0,0.45,10875160586.88,49901690400.0,34,Technology
2015-09-28,0.228,12.422,5.557,4.979,1.434,0.447,0.184,0.017,0.217,3.032,0.299,0.892,5116000000.0,29.74,28.82,28.82,23013684000.0,663254365975.895,233715000000.0,0.279,0.351,0.398,0.099,0.0,0.49,11275324338.96,69777489888.0,35,Technology
2016-09-26,0.212,14.088,5.019,5.37,1.508,0.356,0.142,0.019,0.266,2.389,0.242,1.221,5414000000.0,30.35,29.41,29.413,21883280000.0,643641981753.312,215639000000.0,-0.077,-0.144,-0.251,0.105,0.0,0.56,12228158031.2,52279155920.0,36,Technology
2017-10-02,0.211,17.99,6.489,6.539,1.8,0.361,0.129,0.015,0.264,2.434,0.222,1.09,5717000000.0,42.65,41.68,41.68,20868968000.0,869818592500.69,229234000000.0,0.063,0.058,-0.028,0.102,5.437,0.63,13047278793.6,50795068112.0,37,Technology
2018-10-01,0.224,17.667,9.816,6.1,2.413,0.556,0.163,0.013,0.23,3.235,0.241,0.987,0.0,54.37,53.06,53.06,19821508000.0,1051729242230.111,265595000000.0,0.159,0.231,0.262,0.131,0.697,0.69,13672479788.24,64122578380.0,38,Technology
2019-09-30,0.212,20.814,12.71,6.697,2.741,0.611,0.163,0.012,0.256,3.189,0.226,1.384,0.0,64.91,62.26,62.263,18471336000.0,1150071572477.069,260174000000.0,-0.02,-0.072,-0.081,0.105,0.672,0.75,13800304552.32,58905090504.0,39,Technology
2020-09-28,0.209,34.773,30.554,10.51,3.957,0.879,0.177,0.007,0.245,4.228,0.267,1.218,0.0,117.24,115.05,115.05,17352119000.0,1996361344741.569,274515000000.0,0.055,0.039,0.246,0.062,0.615,0.81,13974529036.65,73364759132.0,40,Technology
2021-09-27,0.259,26.22,39.348,7.627,4.564,1.501,0.27,0.006,0.153,5.566,0.254,0.91,0.0,150.73,148.64,148.64,16701272000.0,2482477060059.237,365817000000.0,0.333,0.649,0.267,0.067,0.56,0.89,14894862420.48,92959279952.0,41,Technology
