Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.275,20.495,6.173,2.981,0.454,0.301,0.207,0.0,0.0,0.488,0.22,0.685,0.0,12.73,12.5,12.5,1056400000.0,13205000000.0,2345700000.0,0.067,-0.052,-0.073,0.0,0.0,0.0,0.0,515523200.0,10,Healthcare
1998-12-31,0.327,37.765,12.723,5.304,0.433,0.337,0.235,0.0,0.0,0.621,0.24,0.587,0.0,32.15,31.95,31.953,1020200000.0,32598578125.0,2642300000.0,0.126,0.34,0.23,0.0,0.0,0.0,0.0,633544200.0,11,Healthcare
1999-12-31,0.342,55.621,20.17,7.823,0.349,0.363,0.269,0.0,0.0,0.755,0.241,2.1,0.0,59.82,59.69,59.688,1021700000.0,60982718750.0,3204200000.0,0.213,0.27,0.217,0.0,0.0,0.0,0.0,771383500.0,12,Healthcare
2000-12-29,0.33,64.209,16.943,9.101,0.252,0.264,0.211,0.0,0.0,1.162,0.347,2.804,0.0,71.22,71.0,71.0,1029600000.0,73101600000.0,3448400000.0,0.076,0.038,0.552,0.0,0.0,0.0,0.0,1196395200.0,13,Healthcare
2001-12-31,0.279,51.393,11.03,7.397,0.235,0.215,0.174,0.0,0.0,0.993,0.259,3.15,0.0,55.7,55.04,55.04,1045500000.0,57544321045.5,4015700000.0,0.165,-0.017,-0.132,0.0,0.0,0.0,0.0,1038181500.0,14,Healthcare
2002-12-31,-0.252,-42.248,3.216,-6.709,0.337,-0.076,-0.057,0.0,0.0,1.379,0.288,3.542,0.0,52.59,50.98,50.98,1153500000.0,58805430000.0,5523000000.0,0.375,-2.243,0.531,0.0,0.0,0.0,0.0,1590676500.0,15,Healthcare
2003-12-31,0.27,36.87,4.297,6.54,0.35,0.117,0.086,0.0,0.0,1.715,0.264,2.729,0.0,65.31,64.66,64.66,1288400000.0,83307949153.6,8356000000.0,0.513,2.623,0.39,0.0,0.0,0.0,0.0,2209606000.0,16,Healthcare
2004-12-31,0.224,32.972,3.954,5.769,0.483,0.12,0.081,0.0,0.0,1.858,0.224,1.749,0.0,62.5,61.3,61.3,1271000000.0,77912298729.0,10550000000.0,0.263,0.046,0.068,0.0,0.0,0.0,0.0,2361518000.0,17,Healthcare
2005-12-30,0.296,24.33,4.371,4.14,0.433,0.18,0.125,0.0,0.0,3.272,0.325,1.954,0.0,73.81,72.32,72.32,1236000000.0,89387520000.0,12430000000.0,0.178,0.555,0.713,0.0,0.0,0.0,0.0,4044192000.0,18,Healthcare
2006-12-29,0.207,28.037,4.361,4.539,0.782,0.156,0.087,0.0,0.0,3.547,0.292,1.196,11302000000.0,71.42,70.33,70.33,1176000000.0,82708082352.0,14268000000.0,0.148,-0.197,0.031,0.0,0.0,0.0,0.0,4171272000.0,19,Healthcare
