Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-12-31,0.236,13.961,2.013,1.119,11.399,0.144,0.012,0.023,0.324,0.069,0.0,38.98,29.94,29.938,1434900000.0,42957318750.0,13053000000.0,14342000000.0,0.3,0.296,-0.903,0.135,0.713,0.69,988100838.0,1.099,18,Financial Services
1998-12-31,0.164,22.426,2.521,4.342,12.446,0.112,0.008,0.022,0.504,0.074,0.0,43.55,33.44,33.438,3464114000.0,115831311875.0,31504000000.0,30336000000.0,1.414,0.679,73.142,0.083,0.791,0.74,2548479387.52,0.963,19,Financial Services
1999-12-31,0.242,10.018,1.777,1.933,13.237,0.177,0.012,0.041,0.406,0.067,0.0,32.09,22.88,22.875,3452012000.0,78964774500.0,32546000000.0,33218000000.0,0.033,0.526,-0.006,0.233,0.932,0.94,3238263416.96,1.021,20,Financial Services
2000-12-29,0.228,12.149,1.917,2.236,12.483,0.158,0.012,0.037,0.451,0.072,0.0,37.75,27.74,27.735,3292796000.0,91325700352.796,32956000000.0,38388000000.0,0.013,-0.046,-0.555,0.11,0.95,1.03,3379659958.48,1.165,21,Financial Services
2001-12-31,0.193,14.48,2.027,2.581,11.815,0.14,0.011,0.037,0.535,0.07,0.0,41.1,30.83,30.83,3189914000.0,98345048620.0,35113000000.0,29852000000.0,0.065,-0.096,-3.955,0.107,0.862,1.14,3638766798.94,0.85,22,Financial Services
2002-12-31,0.263,11.292,2.076,1.918,12.125,0.184,0.014,0.036,0.401,1.26,0.0,44.81,34.36,34.355,3040084000.0,104442085820.0,35124000000.0,25333000000.0,0.0,0.362,0.052,0.072,0.758,1.24,3760462304.64,0.721,23,Financial Services
2003-12-31,0.278,11.203,2.524,1.862,14.349,0.225,0.015,0.035,0.396,0.827,0.0,52.55,40.73,40.73,2973406000.0,121106826380.0,38827000000.0,27147000000.0,0.105,0.169,2.862,0.18,0.915,1.43,4238738923.3,0.699,24,Financial Services
2004-12-31,0.277,12.145,1.724,2.551,10.144,0.142,0.013,0.038,0.457,0.525,0.0,56.69,45.7,45.7,3758507000.0,171763773658.507,51017000000.0,37287000000.0,0.314,0.308,-1.2,0.195,0.857,1.74,6527023256.2,0.731,25,Financial Services
2005-12-30,0.288,10.829,1.756,2.426,11.723,0.162,0.013,0.043,0.467,0.428,0.0,56.9,44.48,44.48,4008688000.0,178306442240.0,57175000000.0,54137000000.0,0.121,0.164,-1.792,0.114,0.863,1.91,7667177016.32,0.947,26,Financial Services
2006-12-29,0.305,11.164,1.744,2.824,9.791,0.156,0.014,0.041,0.457,1.874,65662000000.0,63.25,52.12,52.12,4526637000.0,235928315913.363,69391000000.0,78836000000.0,0.214,0.284,2.023,0.114,0.874,2.14,9673061138.04,1.136,27,Financial Services
