Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.119,17.605,2.32,15.412,0.132,0.011,0.189,-4.313,266.1,247.81,220514487.0,54646246309.688,26166000000.0,-951078982.431,-0.036,0,Financial Services
1998-12-31,0.119,21.648,2.665,13.176,0.123,0.015,0.318,6.779,337.13,280.31,448468788.0,125711407136.25,48936000000.0,3040169913.852,0.062,0,Financial Services
1999-12-31,0.172,18.963,3.427,12.129,0.181,0.011,0.2,17.057,483.0,420.94,444508887.0,187110459621.562,57237000000.0,7581988085.559,0.132,0,Financial Services
2000-12-29,0.18,20.69,4.225,12.627,0.204,0.009,0.196,0.852,623.85,562.0,497700000.0,279707400000.0,75188000000.0,424040400.0,0.006,0,Financial Services
2001-12-31,0.176,16.92,2.942,11.941,0.174,0.013,0.225,49.295,549.99,475.0,503170000.0,239005750000.0,80057000000.0,24803765150.0,0.31,0,Financial Services
2002-12-31,0.214,11.369,2.003,11.652,0.176,0.021,0.241,56.14,408.38,342.0,507800000.0,173667600000.0,71308000000.0,28507892000.0,0.4,0,Financial Services
2003-12-31,0.231,14.116,2.571,11.896,0.182,0.023,0.323,-33.786,575.15,494.8,509330000.0,252016477786.174,77442000000.0,-17208223380.0,-0.222,0,Financial Services
2004-12-31,0.198,14.495,2.261,12.579,0.156,0.034,0.491,-10.603,576.7,483.8,510720000.0,247086329769.216,86190000000.0,-5415164160.0,-0.063,0,Financial Services
2005-12-30,0.294,9.649,2.108,12.276,0.218,0.039,0.374,62.75,577.28,468.2,506760000.0,237265038182.472,83642000000.0,31799190000.0,0.38,0,Financial Services
2006-12-29,0.24,12.315,2.214,14.731,0.18,0.037,0.456,-8.453,683.96,542.7,488730000.0,265233776962.506,89615000000.0,-4131234690.0,-0.046,0,Financial Services
2007-12-31,0.044,37.814,1.204,18.258,0.032,0.079,2.98,-153.763,498.08,278.8,490580000.0,136773698014.924,81698000000.0,-75433052540.0,-0.923,0,Financial Services
2008-12-31,-0.524,-0.675,0.132,12.687,-0.195,0.403,-0.272,178.522,414.55,35.5,526540000.0,18692170000.0,52793000000.0,93998973880.0,1.781,0,Financial Services
2009-12-31,-0.02,-23.915,0.252,11.144,-0.011,0.084,-2.016,-49.156,199.94,33.2,1156830000.0,38406756925.464,80285000000.0,-56865135480.0,-0.708,0,Financial Services
2010-12-31,0.121,12.811,0.831,10.694,0.065,0.0,0.001,11.58,113.37,47.2,2877600000.0,135822722302.08,87583000000.0,33322608000.0,0.38,0,Financial Services
2011-12-30,0.139,7.948,0.495,9.529,0.062,0.001,0.01,14.191,93.63,30.23,2909800000.0,87963252545.1,79653000000.0,41292971800.0,0.518,0,Financial Services
2012-12-31,0.106,16.303,0.65,8.853,0.04,0.001,0.019,3.64,89.24,41.95,2930600000.0,122938672344.48,71435000000.0,10667384000.0,0.149,1,Financial Services
2013-12-31,0.176,10.724,0.718,8.193,0.067,0.002,0.023,17.761,113.81,48.3,3035800000.0,146629137571.36,77498000000.0,53918843800.0,0.696,2,Financial Services
2014-12-31,0.094,19.462,0.676,7.745,0.035,0.004,0.087,13.87,99.79,46.95,3031500000.0,142328927425.2,77920000000.0,42046905000.0,0.54,3,Financial Services
2015-12-31,0.223,7.419,0.577,6.798,0.078,0.01,0.073,12.163,86.89,42.58,3004000000.0,127910325407.2,77472000000.0,36537652000.0,0.472,4,Financial Services
2016-12-30,0.21,10.964,0.726,6.956,0.066,0.014,0.153,17.72,112.18,56.61,2888100000.0,163495342732.86,71020000000.0,51177132000.0,0.721,5,Financial Services
2017-12-29,-0.094,-31.209,1.057,8.174,-0.034,0.018,-0.559,-4.428,145.51,78.62,2698500000.0,212156077285.95,72698000000.0,-11948958000.0,-0.164,6,Financial Services
2018-12-31,0.244,8.873,0.816,8.767,0.092,0.031,0.278,13.307,139.66,64.22,2493300000.0,160119728991.96,74036000000.0,33178343100.0,0.448,7,Financial Services
2019-12-31,0.258,8.977,0.901,9.093,0.1,0.031,0.281,-8.08,163.65,77.43,2249200000.0,174155556674.76,75067000000.0,-18173536000.0,-0.242,8,Financial Services
2020-12-31,0.146,10.949,0.606,10.328,0.055,0.044,0.484,-11.538,206.43,57.99,2085800000.0,120955545545.86,75494000000.0,-24065960400.0,-0.319,9,Financial Services
2021-12-31,0.305,5.848,0.636,10.342,0.109,0.04,0.237,28.791,196.74,64.69,1984300000.0,128364371762.32,71887000000.0,57129981300.0,0.795,10,Financial Services
