Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
2001-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5435000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
2002-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22409000.0,3.123,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
2003-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50991000.0,1.275,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology
2004-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96023000.0,0.883,1.362,4.912,0.0,0.0,0.0,0.0,0.0,0,Technology
2005-01-31,0.042,173.803,8.797,12.891,0.923,0.051,0.026,0.0,0.0,0.171,0.293,1.274,0.0,4.35,4.23,4.228,302012000.0,1276755730.0,176375000.0,0.837,1.09,1.733,0.0,0.0,0.0,0.0,51644052.0,1,Technology
2006-01-31,0.092,138.34,20.059,14.578,1.202,0.145,0.065,0.0,0.0,0.169,0.234,1.209,0.0,9.41,9.18,9.18,429096000.0,3939101280.0,309857000.0,0.757,2.876,0.405,0.0,0.0,0.0,0.0,72517224.0,2,Technology
2007-01-31,0.001,9962.867,17.006,1099.889,1.343,0.002,0.001,0.0,0.0,0.198,0.179,1.011,6705000.0,10.85,10.66,10.66,449544000.0,4792139040.0,497098000.0,0.604,-0.983,0.23,0.0,0.0,0.0,0.0,89009712.0,3,Technology
2008-01-31,0.025,380.131,15.435,43.629,1.391,0.041,0.017,0.0,0.0,0.344,0.215,1.107,8556000.0,15.53,14.93,14.93,467360000.0,6977684800.0,748700000.0,0.506,37.162,0.804,0.0,0.0,0.0,0.0,160771840.0,4,Technology
2009-02-02,0.04,76.235,4.928,9.075,1.187,0.065,0.029,0.0,0.0,0.348,0.157,1.257,44872000.0,7.83,6.83,6.83,484732000.0,3310719560.0,1076769000.0,0.438,1.366,0.048,0.0,0.0,0.0,0.0,168686736.0,5,Technology
2010-02-01,0.062,110.771,8.566,13.543,1.345,0.077,0.033,0.0,-0.0,0.436,0.166,1.721,48955000.0,19.99,17.96,17.96,497848000.0,8941350080.0,1305583000.0,0.213,0.859,0.288,0.0,0.0,0.0,0.0,217061728.0,6,Technology
2011-01-31,0.039,258.549,13.059,33.074,1.422,0.051,0.021,0.0,-0.0,0.173,0.054,0.724,396081000.0,32.82,32.0,32.002,520888000.0,16669718220.0,1657139000.0,0.269,-0.201,-0.584,0.0,0.0,0.0,0.0,90113624.0,7,Technology
