Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-07-28,0.163,51.379,12.563,28.424,0.271,0.245,0.192,0.0,0.0,2.184,0.0,8.73,8.69,8.688,6203871000.0,53896129312.5,6440000000.0,2363200000.0,0.572,0.149,0.426,0.0,0.0,0.0,0.0,0.367,7,Technology
1998-07-27,0.16,78.019,14.82,42.686,0.255,0.19,0.151,0.0,0.0,1.692,0.0,17.25,17.17,17.167,6135475999.0,105325679496.801,8459000000.0,2827333000.0,0.314,0.287,1.218,0.0,0.0,0.0,0.0,0.334,8,Technology
1999-08-02,0.172,102.322,18.296,58.634,0.256,0.179,0.142,0.0,0.0,1.085,157000000.0,33.5,33.38,33.375,6426000000.0,214467750000.0,12154000000.0,3802000000.0,0.437,0.553,0.563,0.0,0.0,0.0,0.0,0.313,9,Technology
2000-07-31,0.141,171.272,17.246,105.644,0.241,0.101,0.081,0.0,0.0,1.619,4087000000.0,66.67,66.06,66.062,6917000000.0,456954312500.0,18928000000.0,6314000000.0,0.557,0.273,0.196,0.0,0.0,0.0,0.0,0.334,10,Technology
2001-07-30,-0.045,-127.811,4.779,-82.016,0.299,-0.037,-0.029,0.0,0.0,1.084,4659000000.0,18.69,18.01,18.01,7196000000.0,129599960000.0,22293000000.0,1552000000.0,0.178,-1.38,-0.107,0.0,0.0,0.0,0.0,0.07,11,Technology
2002-07-29,0.1,55.886,3.692,36.385,0.319,0.066,0.05,0.0,0.0,1.672,3565000000.0,15.79,14.49,14.49,7301000000.0,105791490000.0,18915000000.0,5562000000.0,-0.152,2.867,-0.042,0.0,0.0,0.0,0.0,0.294,12,Technology
2003-07-28,0.19,37.79,4.824,24.007,0.324,0.128,0.096,0.0,0.0,1.206,4043000000.0,19.53,18.98,18.98,7124000000.0,135213520000.0,18878000000.0,6744000000.0,-0.002,0.89,0.146,0.0,0.0,0.0,0.0,0.357,13,Technology
2004-08-02,0.2,29.576,5.04,18.04,0.375,0.17,0.124,0.0,0.0,1.206,4198000000.0,19.57,19.03,19.03,6840000000.0,130165206840.0,22045000000.0,7868000000.0,0.168,0.23,0.439,0.0,0.0,0.0,0.0,0.357,14,Technology
2005-08-01,0.231,19.932,4.938,11.53,0.462,0.248,0.169,0.0,0.0,0.966,5295000000.0,18.37,17.64,17.64,6487000000.0,114430673513.0,24801000000.0,9692000000.0,0.125,0.304,0.057,0.0,0.0,0.0,0.0,0.391,15,Technology
2006-07-31,0.196,23.628,5.514,12.975,0.811,0.233,0.129,0.0,0.0,1.867,9227000000.0,21.95,21.41,21.41,6158000000.0,131842780000.0,28484000000.0,9657000000.0,0.149,-0.028,0.037,0.0,0.0,0.0,0.0,0.339,16,Technology
2007-07-30,0.21,25.68,5.982,13.866,0.694,0.233,0.137,0.0,0.0,1.965,12121000000.0,31.72,31.1,31.1,6055000000.0,188310500000.0,34922000000.0,11799000000.0,0.226,0.314,0.242,0.0,0.0,0.0,0.0,0.338,17,Technology
2008-07-28,0.204,17.998,4.219,9.607,0.71,0.234,0.137,0.0,0.0,2.169,12392000000.0,25.08,24.21,24.21,5986000000.0,144921054014.0,39540000000.0,12926000000.0,0.132,0.098,0.222,0.0,0.0,0.0,0.0,0.327,18,Technology
2009-07-27,0.17,20.96,3.327,10.893,0.763,0.159,0.09,0.0,-0.0,2.796,12925000000.0,23.04,22.06,22.06,5828000000.0,128565674172.0,36117000000.0,8962000000.0,-0.087,-0.238,-0.178,0.0,0.0,0.0,0.0,0.248,19,Technology
2010-08-02,0.194,14.996,2.631,7.665,0.832,0.175,0.096,0.0,-0.0,2.329,16674000000.0,21.12,20.32,20.32,5732000000.0,116474240000.0,40040000000.0,12068000000.0,0.109,0.266,0.031,0.0,0.0,0.0,0.0,0.301,20,Technology
2011-08-01,0.15,13.409,1.843,6.611,0.844,0.137,0.075,0.008,0.101,2.993,16818000000.0,17.13,15.74,15.74,5529000000.0,87026460000.0,43218000000.0,10939000000.0,0.079,-0.164,-0.028,0.0,0.0,0.13,696211680.0,0.253,21,Technology
2012-07-30,0.175,12.929,2.027,6.191,0.789,0.157,0.088,0.014,0.187,3.2,16998000000.0,21.18,19.36,19.36,5370000000.0,103963205370.0,46061000000.0,13357000000.0,0.066,0.239,0.164,1.349,0.0,0.27,1455484800.0,0.29,22,Technology
2013-07-29,0.205,12.721,2.148,6.045,0.712,0.169,0.099,0.026,0.332,2.709,21919000000.0,25.32,23.83,23.83,5329000000.0,126990070000.0,48607000000.0,14161000000.0,0.055,0.242,0.132,1.222,0.0,0.62,3301741820.0,0.291,23,Technology
2014-07-28,0.167,16.462,2.282,7.684,0.856,0.139,0.075,0.029,0.479,3.099,24239000000.0,25.99,24.7,24.7,5234000000.0,129279805234.0,47142000000.0,12711000000.0,-0.03,-0.213,-0.058,0.156,0.0,0.72,3749114200.0,0.27,24,Technology
2015-07-27,0.183,14.316,2.154,6.516,0.899,0.15,0.079,0.032,0.455,3.001,24469000000.0,26.54,25.19,25.19,5104000000.0,128569765104.0,49161000000.0,14209000000.0,0.043,0.144,0.024,0.115,0.0,0.81,4114232320.0,0.289,25,Technology
2016-08-01,0.218,14.859,2.51,6.696,0.913,0.169,0.088,0.03,0.442,3.046,26625000000.0,33.09,31.58,31.58,5053000000.0,159573740000.0,49247000000.0,15746000000.0,0.002,0.196,0.097,0.174,6.899,0.95,4787212200.0,0.32,26,Technology
2017-07-31,0.2,16.445,2.389,7.347,0.963,0.145,0.074,0.035,0.574,2.918,29766000000.0,33.88,31.54,31.54,5010000000.0,158015405010.0,48005000000.0,15434000000.0,-0.025,-0.105,0.039,0.17,2.935,1.1,5530539000.0,0.322,27,Technology
2018-07-30,0.002,2048.689,5.216,883.673,1.518,0.003,0.001,0.026,54.255,2.11,31706000000.0,48.44,46.59,46.59,4837000000.0,225355830000.0,49330000000.0,16174000000.0,0.028,-0.989,-0.006,0.122,0.986,1.21,5859251580.0,0.328,28,Technology
2019-07-29,0.224,17.91,6.2,7.058,1.913,0.346,0.119,0.029,0.514,1.415,33529000000.0,49.76,47.1,47.1,4419000000.0,208134891162.0,51904000000.0,16455000000.0,0.052,104.645,0.163,0.097,0.884,1.37,6035912100.0,0.317,29,Technology
2020-07-27,0.227,15.933,4.712,6.019,1.501,0.296,0.118,0.034,0.536,1.624,33806000000.0,44.97,42.18,42.18,4236000000.0,178674480000.0,49301000000.0,16363000000.0,-0.05,-0.035,-0.018,0.05,0.774,1.43,6074932320.0,0.332,30,Technology
2021-08-02,0.213,23.572,6.048,8.875,1.362,0.257,0.109,0.025,0.582,1.32,38168000000.0,61.3,59.13,59.13,4222000000.0,249646864222.0,49818000000.0,15558000000.0,0.01,-0.056,0.007,0.028,0.553,1.48,6241171500.0,0.312,31,Technology
