Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.09,5.446,1.179,-0.426,1.879,0.217,0.075,0.077,0.419,3.309,0.038,0.707,0.0,43.72,42.7,42.698,230599769.0,9846170382.541,20018000000.0,-0.002,-0.052,-0.629,0.081,0.263,3.29,758188980.5,763054635.621,0,Basic Materials
1998-12-31,0.071,7.128,1.167,-0.54,1.977,0.164,0.055,0.084,0.6,6.264,0.076,0.681,0.0,42.33,41.78,41.779,223499776.0,9337573897.527,18441000000.0,-0.079,-0.275,0.835,0.07,0.344,3.51,784376933.87,1400002596.864,0,Basic Materials
1999-12-31,0.07,9.002,1.291,-0.671,1.747,0.143,0.052,0.064,0.579,5.175,0.06,0.925,0.0,56.74,54.44,54.44,220099779.0,11982246715.445,18929000000.0,0.026,0.016,-0.186,-0.004,0.338,3.48,766862846.0,1139016356.325,0,Basic Materials
2000-12-29,0.066,7.059,1.058,-0.539,1.738,0.15,0.055,0.073,0.518,-0.599,-0.006,0.723,0.0,48.35,47.39,47.395,225333108.0,10679636064.353,23008000000.0,0.215,0.137,-1.119,-0.008,0.217,3.46,779533127.13,-134974531.692,0,Basic Materials
2001-12-31,-0.014,-31.604,1.176,3.219,2.431,-0.037,-0.011,0.087,-2.761,0.672,0.007,0.66,0.0,41.21,40.48,40.478,300599699.0,12167611790.785,27805000000.0,0.208,-1.254,2.496,0.018,0.163,3.52,1058639995.95,202002997.728,0,Basic Materials
2002-12-31,-0.012,-35.784,1.586,3.68,4.14,-0.044,-0.009,0.101,-3.601,1.598,0.018,0.797,0.0,44.74,39.85,39.852,303499696.0,12094934827.627,27609000000.0,-0.007,0.122,1.401,0.134,0.22,4.02,1221540751.45,484992514.208,0,Basic Materials
2003-12-31,0.053,10.57,1.993,-1.097,3.525,0.189,0.041,0.067,0.71,8.751,0.082,0.866,0.0,67.52,59.71,59.706,306266360.0,18285989824.109,32632000000.0,0.182,6.118,4.526,0.001,0.141,4.0,1225240011.83,2680136916.36,0,Basic Materials
2004-12-31,0.07,7.842,1.788,-0.833,2.703,0.228,0.061,0.057,0.448,4.267,0.033,1.004,0.0,79.91,70.0,69.996,313366353.0,21934518784.694,40161000000.0,0.231,0.617,-0.501,-0.004,0.141,3.99,1250331748.47,1337134228.251,0,Basic Materials
2005-12-30,0.098,4.299,1.267,-0.468,1.976,0.295,0.098,0.066,0.285,8.961,0.062,1.103,0.0,72.31,60.46,60.46,321066345.0,19411831430.806,46307000000.0,0.153,0.614,1.152,0.003,0.154,3.99,1281170300.43,2877075517.545,0,Basic Materials
2006-12-29,0.076,5.056,1.103,-0.55,1.65,0.218,0.082,0.075,0.377,6.768,0.044,1.034,3242000000.0,67.29,58.7,58.696,320766345.0,18827587193.301,49124000000.0,0.061,-0.175,-0.245,0.092,0.238,4.4,1412173833.86,2170946622.96,0,Basic Materials
