Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.093,30.387,6.539,6.683,6.975,0.215,0.027,0.014,0.416,4.665,0.066,1.129,0.0,203.39,198.72,198.718,1254375000.0,249266837311.875,88540000000.0,0.127,0.127,-0.42,0.106,0.415,2.78,3489771600.0,5851659375.0,105,Industrials
1998-12-31,0.093,35.462,7.639,7.621,7.248,0.215,0.026,0.012,0.421,8.466,0.104,1.122,0.0,272.43,268.91,268.91,1225875000.0,329650350267.0,99820000000.0,0.127,0.133,0.773,0.174,0.662,3.23,3955800555.0,10378257750.0,106,Industrials
1999-12-31,0.097,39.41,8.841,8.493,7.482,0.224,0.026,0.011,0.428,-2.085,-0.023,1.651,23106000000.0,350.55,343.59,343.59,1229250000.0,422357702646.0,110832000000.0,0.11,0.153,-1.247,0.169,0.942,3.78,4645938082.5,-2562986250.0,107,Industrials
2000-12-29,0.098,34.561,7.941,7.496,6.884,0.23,0.029,0.012,0.424,7.051,0.067,1.844,23512000000.0,362.39,355.77,355.769,1237125000.0,440131003715.25,129853000000.0,0.172,0.188,4.403,0.17,0.99,4.27,5281583535.0,8722968375.0,108,Industrials
2001-12-31,0.109,25.738,5.866,5.602,7.245,0.228,0.028,0.018,0.465,13.431,0.132,1.67,28287000000.0,291.01,283.69,283.692,1241500000.0,352204017763.0,125913000000.0,-0.03,0.075,0.912,0.173,1.083,5.11,6339620430.0,16674586500.0,109,Industrials
2002-12-31,0.107,15.277,3.386,3.33,7.944,0.222,0.025,0.033,0.507,12.978,0.123,2.087,39138000000.0,180.63,173.46,173.462,1243375000.0,215677733593.875,131698000000.0,0.046,0.032,-0.032,0.124,1.117,5.72,7117302307.5,16136520750.0,110,Industrials
2003-12-31,0.112,21.596,4.092,4.742,7.104,0.189,0.023,0.024,0.509,16.386,0.153,2.304,47487000000.0,268.8,258.69,258.692,1252375000.0,323979796764.75,134187000000.0,0.019,0.063,0.272,0.06,0.912,6.21,7775445330.0,20521416750.0,111,Industrials
2004-12-31,0.109,21.545,3.242,4.91,5.655,0.15,0.022,0.023,0.499,17.974,0.153,2.347,71191000000.0,286.79,275.0,275.0,1300000000.0,357500000000.0,152363000000.0,0.135,0.106,0.139,0.043,0.706,6.33,8222500000.0,23366200000.0,112,Industrials
2005-12-30,0.109,20.466,3.061,4.741,5.084,0.15,0.024,0.028,0.572,17.559,0.155,1.851,69611000000.0,260.13,253.31,253.308,1321250000.0,334682789376.25,149702000000.0,-0.017,-0.014,-0.007,0.112,0.621,7.09,9371203450.0,23199828750.0,113,Industrials
2006-12-29,0.127,17.23,3.195,3.911,5.14,0.185,0.03,0.029,0.5,10.809,0.086,1.938,73339000000.0,288.18,277.15,277.154,1294875000.0,358879577275.125,163391000000.0,0.091,0.274,-0.397,0.137,0.571,8.04,10407363581.25,13996303875.0,114,Industrials
2007-12-31,0.129,15.403,2.96,3.437,5.813,0.192,0.028,0.034,0.517,22.076,0.163,1.941,81116000000.0,281.14,268.77,268.769,1272750000.0,342076032391.5,172738000000.0,0.057,0.066,1.008,0.122,0.569,9.14,11630618595.0,28097229000.0,115,Industrials
2008-12-31,0.095,6.753,1.123,1.492,6.537,0.166,0.022,0.106,0.713,25.866,0.179,1.97,81759000000.0,131.55,93.31,93.308,1260000000.0,117567693180.0,182515000000.0,0.057,-0.216,0.16,0.091,0.614,9.89,12462483600.0,32591160000.0,116,Industrials
2009-12-31,0.07,14.885,1.399,3.462,5.599,0.094,0.014,0.055,0.815,12.029,0.102,2.697,65574000000.0,178.16,123.69,123.692,1326750000.0,164108768312.25,156783000000.0,-0.141,-0.367,-0.51,-0.312,0.064,6.8,9025813912.5,15959475750.0,117,Industrials
2010-12-31,0.078,17.707,1.734,4.119,5.272,0.098,0.016,0.023,0.411,19.838,0.175,2.384,64473000000.0,214.89,155.38,155.385,1326922000.0,206183261451.186,150211000000.0,-0.042,0.056,0.649,-0.467,-0.49,3.57,4742074228.28,26323478636.0,118,Industrials
2011-12-30,0.099,13.578,1.65,3.146,5.145,0.122,0.02,0.034,0.456,15.669,0.146,1.957,72625000000.0,209.32,145.38,145.385,1321627125.0,192144248098.428,142237000000.0,-0.053,0.215,-0.213,0.354,-0.393,4.94,6532697148.7,20708575421.625,119,Industrials
2012-12-31,0.094,16.305,1.808,3.718,4.526,0.111,0.02,0.032,0.527,12.459,0.113,2.061,73447000000.0,229.81,171.0,171.0,1315375000.0,224929125000.0,144796000000.0,0.018,-0.036,-0.217,0.118,-0.395,5.47,7197732000.0,16388257125.0,120,Industrials
2013-12-31,0.091,18.893,1.889,4.165,3.981,0.1,0.02,0.032,0.599,12.024,0.107,2.183,77648000000.0,265.46,196.15,196.154,1277750000.0,250635567782.25,142937000000.0,-0.013,-0.043,-0.067,0.12,-0.378,6.28,8020181200.0,15363666000.0,121,Industrials
