Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2001-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2002-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2003-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2004-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2005-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2006-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2007-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2008-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148979000000.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104589000000.0,0.0,0.0,0,Consumer Cyclical,Auto Manufacturers
2010-12-31,0.046,8.895,1.517,2.812,0.171,0.029,0.255,1.72,50.64,36.6,1500000000.0,54899997000.0,135592000000.0,2580000000.0,0.019,0,Consumer Cyclical,Auto Manufacturers
2011-12-30,0.061,4.05,0.976,2.771,0.241,0.025,0.1,0.708,34.32,24.23,1536000000.0,37217280000.0,150276000000.0,1087488000.0,0.007,1,Consumer Cyclical,Auto Manufacturers
2012-12-31,0.041,7.071,1.207,3.102,0.171,0.021,0.152,0.95,39.7,27.94,1566000000.0,43754041566.0,152256000000.0,1487700000.0,0.01,2,Consumer Cyclical,Auto Manufacturers
2013-12-31,0.034,9.599,1.204,2.891,0.125,0.033,0.316,2.018,51.21,36.84,1393000000.0,51318120000.0,155427000000.0,2811074000.0,0.018,3,Consumer Cyclical,Auto Manufacturers
2014-12-31,0.025,13.258,1.477,3.995,0.111,0.06,0.801,-1.127,44.43,32.62,1605000000.0,52355098395.0,155929000000.0,-1808835000.0,-0.012,4,Consumer Cyclical,Auto Manufacturers
2015-12-31,0.064,4.853,1.179,3.867,0.243,0.048,0.231,-6.97,39.25,29.64,1586000000.0,47009038414.0,152356000000.0,-11054420000.0,-0.073,5,Consumer Cyclical,Auto Manufacturers
2016-12-30,0.057,5.935,1.276,4.052,0.215,0.042,0.251,-8.195,44.75,36.33,1540000000.0,55948203080.0,166380000000.0,-12620300000.0,-0.076,6,Consumer Cyclical,Auto Manufacturers
2017-12-29,-0.027,-16.189,1.787,5.036,-0.11,0.036,-0.578,-7.034,53.29,42.7,1465000000.0,62555501465.0,145588000000.0,-10304810000.0,-0.071,7,Consumer Cyclical,Auto Manufacturers
2018-12-31,0.054,6.882,1.419,4.749,0.206,0.041,0.28,-7.258,53.86,39.09,1411000000.0,55155990000.0,147049000000.0,-10241038000.0,-0.07,8,Consumer Cyclical,Auto Manufacturers
2019-12-31,0.049,7.05,1.136,4.357,0.161,0.05,0.349,-6.303,46.72,33.33,1424000000.0,47461922848.0,137237000000.0,-8975472000.0,-0.065,9,Consumer Cyclical,Auto Manufacturers
2020-12-31,0.052,11.3,1.613,4.12,0.143,0.009,0.104,-2.696,64.63,50.68,1433000000.0,72624440000.0,122485000000.0,-3863368000.0,-0.032,10,Consumer Cyclical,Auto Manufacturers
2021-12-31,0.079,7.281,1.221,2.994,0.168,0.003,0.019,-4.768,64.06,50.24,1452000000.0,72948480000.0,127004000000.0,-6923136000.0,-0.055,11,Consumer Cyclical,Auto Manufacturers
