Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services,Capital Markets
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services,Capital Markets
1999-11-26,0.107,14.234,3.8,23.691,0.267,0.003,0.04,-28.225,87.42,81.0,475883756.0,38546584236.0,25363000000.0,-13431819013.1,-0.53,0,Financial Services,Capital Markets
2000-11-24,0.093,15.613,2.897,16.529,0.186,0.005,0.071,15.673,106.8,98.81,484600000.0,47884537500.0,33000000000.0,7595135800.0,0.23,1,Financial Services,Capital Markets
2001-11-30,0.146,20.58,2.608,16.126,0.127,0.005,0.1,-32.462,106.83,93.27,509700000.0,47539717267.02,15811000000.0,-16545881400.0,-1.046,2,Financial Services,Capital Markets
2002-11-29,0.093,15.923,1.771,17.711,0.111,0.007,0.108,-22.367,77.65,67.92,495600000.0,33661151107.92,22854000000.0,-11085085200.0,-0.485,3,Financial Services,Capital Markets
2003-11-28,0.127,15.918,2.211,17.667,0.139,0.007,0.116,-33.266,112.45,97.94,488400000.0,47833897172.16,23623000000.0,-16247114400.0,-0.688,4,Financial Services,Capital Markets
2004-11-26,0.153,11.219,2.037,20.188,0.182,0.01,0.109,-69.908,113.27,104.35,489500000.0,51079324265.75,29839000000.0,-34219966000.0,-1.147,5,Financial Services,Capital Markets
2005-11-25,0.13,10.887,2.187,24.241,0.201,0.008,0.091,-28.935,149.57,128.11,478100000.0,61249391286.86,43391000000.0,-13833823500.0,-0.319,6,Financial Services,Capital Markets
2006-11-24,0.138,9.326,2.485,22.423,0.267,0.008,0.079,-109.935,212.11,198.09,449000000.0,88942408338.7,69353000000.0,-49360815000.0,-0.712,7,Financial Services,Capital Markets
2007-11-30,0.252,7.912,2.144,24.994,0.271,0.009,0.072,-162.418,239.38,211.94,433000000.0,91770021039.2,45987000000.0,-70326994000.0,-1.529,8,Financial Services,Capital Markets
2008-11-28,0.043,14.298,0.516,12.742,0.036,0.026,0.366,-0.304,10.92,74.91,437000000.0,33198890524.4,53579000000.0,-132848000.0,-0.002,9,Financial Services,Capital Markets
2009-12-31,0.312,5.692,1.077,11.005,0.189,0.029,0.165,92.366,223.46,148.72,512300000.0,76189256614.76,42875000000.0,47319101800.0,1.104,10,Financial Services,Capital Markets
2010-12-31,0.213,10.495,1.133,10.781,0.108,0.016,0.173,-13.624,235.18,161.77,542000000.0,87679342330.6,39161000000.0,-7384208000.0,-0.189,11,Financial Services,Capital Markets
2011-12-30,0.154,12.959,0.818,12.118,0.063,0.048,0.624,39.003,216.49,109.73,524600000.0,57564359783.64,28811000000.0,20460973800.0,0.71,12,Financial Services,Capital Markets
2012-12-31,0.234,9.768,0.964,11.396,0.099,0.015,0.145,24.019,293.6,147.15,496200000.0,73015826973.18,31955000000.0,11918227800.0,0.373,13,Financial Services,Capital Markets
2013-12-31,0.252,9.721,0.996,10.616,0.102,0.017,0.162,8.141,295.55,165.84,471300000.0,78160390256.19,31865000000.0,3836853300.0,0.12,14,Financial Services,Capital Markets
2014-12-31,0.265,9.333,0.956,9.341,0.102,0.018,0.172,-18.089,297.93,172.41,458900000.0,79118950697.93,32027000000.0,-8301042100.0,-0.259,15,Financial Services,Capital Markets
2015-12-31,0.195,11.922,0.836,8.932,0.07,0.023,0.276,11.423,328.87,161.56,448900000.0,72524282922.64,31244000000.0,5127784700.0,0.164,16,Financial Services,Capital Markets
2016-12-30,0.264,13.513,1.15,8.899,0.085,0.017,0.231,6.303,518.67,233.9,427400000.0,99968857392.86,28053000000.0,2693902200.0,0.096,17,Financial Services,Capital Markets
2017-12-29,0.145,25.2,1.313,10.147,0.052,0.016,0.413,-52.109,542.97,268.94,401600000.0,108006304963.84,29533000000.0,-20926974400.0,-0.709,18,Financial Services,Capital Markets
2018-12-31,0.313,7.461,0.865,9.332,0.116,0.023,0.173,32.276,541.21,202.48,385400000.0,78035790342.78,33416000000.0,12439170400.0,0.372,19,Financial Services,Capital Markets
2019-12-31,0.232,10.716,1.005,10.001,0.094,0.023,0.249,41.51,603.51,244.13,371600000.0,90718709820.84,36546000000.0,15425116000.0,0.422,20,Financial Services,Capital Markets
2020-12-31,0.212,10.217,1.007,11.123,0.099,0.024,0.247,-56.221,708.44,271.17,356400000.0,96644992775.76,44559000000.0,-20037164400.0,-0.45,21,Financial Services,Capital Markets
2021-12-31,0.365,5.559,1.093,12.3,0.197,0.023,0.126,-10.808,1100.04,347.01,346600000.0,120273669396.68,59339000000.0,-3746052800.0,-0.063,22,Financial Services,Capital Markets
