Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-02-03,0.048,28.73,4.525,0.569,0.158,0.004,0.117,-0.043,12.34,12.28,2194884000.0,26948298487.752,19536000000.0,-94380012.0,-0.005,13,Consumer Cyclical,Home Improvement Retail
1998-02-02,0.048,40.487,6.617,0.582,0.163,0.003,0.12,-0.207,21.53,21.46,2188679245.0,46965405880.719,24156000000.0,-453056603.715,-0.019,14,Consumer Cyclical,Home Improvement Retail
1999-02-01,0.053,53.716,9.909,0.539,0.184,0.002,0.104,-0.183,39.32,39.29,2206500000.0,86697065442.0,30219000000.0,-403789500.0,-0.013,15,Consumer Cyclical,Home Improvement Retail
2000-01-31,0.06,55.616,10.455,0.384,0.188,0.002,0.11,-0.06,57.56,57.5,2244000000.0,129030000000.0,38434000000.0,-134640000.0,-0.004,16,Consumer Cyclical,Home Improvement Retail
2001-01-29,0.056,40.643,6.991,0.425,0.172,0.004,0.144,-0.324,44.67,44.6,0.0,0.0,45738000000.0,0.0,0.0,17,Consumer Cyclical,Home Improvement Retail
2002-02-04,0.057,36.436,6.134,0.46,0.168,0.004,0.13,1.101,48.56,47.5,2335000000.0,110912500000.0,53553000000.0,2570835000.0,0.048,18,Consumer Cyclical,Home Improvement Retail
2003-02-03,0.063,14.09,2.607,0.516,0.185,0.01,0.134,0.879,23.03,22.1,2336000000.0,51625600000.0,58247000000.0,2053344000.0,0.035,19,Consumer Cyclical,Home Improvement Retail
2004-02-02,0.066,19.642,3.773,0.537,0.192,0.007,0.138,1.068,38.27,37.03,2283000000.0,84539487717.0,64816000000.0,2438244000.0,0.038,20,Consumer Cyclical,Home Improvement Retail
2005-01-31,0.068,17.675,3.659,0.611,0.207,0.008,0.144,1.339,40.28,40.05,2207000000.0,88390347793.0,73094000000.0,2955173000.0,0.04,21,Consumer Cyclical,Home Improvement Retail
2006-01-30,0.072,15.436,3.349,0.653,0.217,0.01,0.147,1.217,42.52,42.15,2138000000.0,90116704276.0,81511000000.0,2601946000.0,0.032,22,Consumer Cyclical,Home Improvement Retail
2007-01-29,0.063,14.197,3.268,1.088,0.23,0.017,0.242,2.005,40.11,39.82,2054000000.0,81790280000.0,90837000000.0,4118270000.0,0.045,23,Consumer Cyclical,Home Improvement Retail
2008-02-04,0.057,11.304,2.805,1.502,0.248,0.034,0.389,1.173,27.11,26.87,1849000000.0,49682631849.0,77349000000.0,2168877000.0,0.028,24,Consumer Cyclical,Home Improvement Retail
2009-02-02,0.032,14.059,1.787,1.316,0.127,0.048,0.673,2.188,19.2,18.89,1682000000.0,31772978318.0,71288000000.0,3680216000.0,0.052,25,Consumer Cyclical,Home Improvement Retail
2010-02-01,0.04,19.834,2.722,1.108,0.137,0.029,0.573,2.471,32.2,31.36,1683000000.0,52778881683.0,66176000000.0,4158693000.0,0.063,26,Consumer Cyclical,Home Improvement Retail
2011-01-31,0.049,18.149,3.207,1.124,0.177,0.026,0.47,2.117,37.09,36.76,1648000000.0,60580476704.0,67997000000.0,3488816000.0,0.051,27,Consumer Cyclical,Home Improvement Retail
2012-01-30,0.055,18.999,4.122,1.264,0.217,0.022,0.42,3.476,48.5,47.23,1562000000.0,73773260000.0,70395000000.0,5429512000.0,0.077,28,Consumer Cyclical,Home Improvement Retail
2013-02-04,0.061,23.293,5.942,1.311,0.255,0.017,0.384,3.778,72.13,70.47,1499000000.0,105634531499.0,74754000000.0,5663222000.0,0.076,29,Consumer Cyclical,Home Improvement Retail
2014-02-03,0.068,21.929,9.431,2.236,0.43,0.019,0.417,4.378,84.22,82.87,1425000000.0,118089754275.0,78812000000.0,6238650000.0,0.079,30,Consumer Cyclical,Home Improvement Retail
2015-02-02,0.076,24.476,16.66,3.285,0.681,0.016,0.399,5.082,117.36,116.07,1338000000.0,155301660000.0,83176000000.0,6799716000.0,0.082,31,Consumer Cyclical,Home Improvement Retail
2016-02-01,0.079,22.902,25.415,5.737,1.11,0.019,0.432,6.163,127.44,125.7,1277000000.0,160518896169.0,88519000000.0,7870151000.0,0.089,32,Consumer Cyclical,Home Improvement Retail
2017-01-30,0.084,22.382,41.102,8.916,1.836,0.019,0.428,6.641,146.98,144.91,1229000000.0,178094394916.0,94595000000.0,8161789000.0,0.086,33,Consumer Cyclical,Home Improvement Retail
2018-01-29,0.086,25.25,149.867,29.625,5.935,0.019,0.488,8.603,188.03,184.98,1178000000.0,217906435288.0,100904000000.0,10134334000.0,0.1,34,Consumer Cyclical,Home Improvement Retail
2019-02-04,0.103,18.812,-111.399,-24.431,-5.922,0.022,0.423,9.319,185.56,184.0,1137000000.0,209208000000.0,108203000000.0,10595703000.0,0.098,35,Consumer Cyclical,Home Improvement Retail
2020-02-03,0.102,22.161,-79.955,-17.443,-3.608,0.024,0.53,10.105,229.89,227.94,1093000000.0,249138422186.0,110225000000.0,11044765000.0,0.1,36,Consumer Cyclical,Home Improvement Retail
2021-02-01,0.097,21.728,84.738,20.395,3.9,0.023,0.501,15.248,267.64,260.29,1074000000.0,279551469666.0,132110000000.0,16376352000.0,0.124,37,Consumer Cyclical,Home Improvement Retail
2022-01-31,0.109,20.93,-202.8,-43.38,-9.689,0.02,0.425,13.04,322.43,320.25,1074000000.0,343948500000.0,151157000000.0,14004960000.0,0.093,38,Consumer Cyclical,Home Improvement Retail
