Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.0808,17.9332,4.7838,2.1252,0.2668,0.0141,0.2521,2426000000.0,38.2,37.12,37.1218,565217391.0,20981901640.876,14472000000.0,0.5234,295830260.7103,12,Industrials,0.0,0.0
1998-12-31,0.088,15.6884,3.9421,1.9375,0.2513,0.0162,0.2539,2999000000.0,38.45,37.18,37.1814,561603376.0,20881206503.6469,15128000000.0,0.6023,338262699.0188,13,Industrials,0.1507,0.0
1999-12-31,0.0649,22.0925,3.9591,1.736,0.1792,0.0155,0.342,0.0,45.6,43.08,43.0804,790256410.0,34044548811.005,23735000000.0,0.6677,527685815.2134,14,Industrials,0.1086,0.0
2000-12-29,0.0663,21.817,3.7287,1.5935,0.1709,0.0165,0.3611,0.0,46.65,45.16,45.1611,801449275.0,36194342073.4923,25023000000.0,0.7451,597191912.7735,15,Industrials,0.1159,0.0
2001-12-31,-0.0042,-261.8588,2.827,1.6419,-0.0108,0.0235,-6.1515,0.0,33.11,31.42,31.4231,825000000.0,25924023675.0,23652000000.0,0.7384,609155250.0,16,Industrials,-0.009,0.0
2002-12-31,-0.0099,-82.9785,2.0454,2.0878,-0.0246,0.0336,-2.7909,0.0,24.88,22.4,22.4042,814814815.0,18255261041.186,22274000000.0,0.7526,613262222.3616,17,Industrials,0.0192,0.0771
2003-12-31,0.0573,22.3608,2.7594,1.735,0.1234,0.0218,0.4872,0.0,37.87,34.44,34.4357,859740260.0,29605763689.4638,23103000000.0,0.7508,645486109.2859,18,Industrials,-0.0024,0.0465
2004-12-31,0.05,22.8361,2.5998,1.7606,0.1138,0.022,0.502,0.0,38.2,34.03,34.0258,859731544.0,29253016601.3788,25601000000.0,0.7487,643646617.731,19,Industrials,-0.0028,0.0242
2005-12-30,0.0598,18.5931,2.7343,1.8696,0.1471,0.0227,0.423,0.0,37.71,36.26,36.2566,848717949.0,30771661987.1493,27653000000.0,0.8231,698581441.2578,20,Industrials,0.0994,0.0209
2006-12-29,0.0664,16.943,3.6309,2.1832,0.2143,0.0211,0.3572,8403000000.0,44.53,43.04,43.0351,820078740.0,35292169763.6953,31367000000.0,0.9081,744749587.2586,21,Industrials,0.1033,0.0433
2007-12-31,0.0707,17.3275,4.5921,2.6657,0.265,0.0181,0.3138,9175000000.0,57.84,55.45,55.448,763750000.0,42348387851.25,34589000000.0,1.0036,766533868.75,22,Industrials,0.1052,0.0605
2008-12-31,0.0764,8.2543,3.2066,3.9381,0.3885,0.0352,0.2905,10185000000.0,34.08,31.28,31.2801,736763174.0,23045991867.9314,36556000000.0,1.1011,811217513.3117,23,Industrials,0.0972,0.0805
2009-12-31,0.0697,12.884,3.1365,3.0586,0.2434,0.0331,0.4264,10494000000.0,40.56,36.84,36.8382,753000000.0,27739164600.0,30908000000.0,1.2194,918211212.0,24,Industrials,0.1074,0.1025
