Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-10-31,0.073,9.407,1.816,0.965,0.193,0.018,0.171,0.938,11.14,9.69,2114000000.0,20483788286.604,42895000000.0,1982932000.0,0.046,36,Technology,Computer Hardware
1998-11-02,0.063,9.975,1.736,0.99,0.174,0.021,0.212,1.666,11.87,9.92,2068000000.0,20506813143.577,47061000000.0,3445288000.0,0.073,37,Technology,Computer Hardware
1999-11-01,0.082,12.453,2.376,0.929,0.191,0.015,0.186,0.942,17.72,15.04,2018000000.0,30349164360.326,42370000000.0,1900956000.0,0.045,38,Technology,Computer Hardware
2000-10-31,0.076,7.688,2.0,1.393,0.26,0.022,0.173,1.358,11.77,10.04,1979000000.0,19874672924.84,48782000000.0,2687482000.0,0.055,39,Technology,Computer Hardware
2001-10-31,0.009,47.386,1.386,1.335,0.029,0.032,1.522,0.534,9.27,7.1,1936000000.0,13740083278.944,45226000000.0,1033824000.0,0.023,40,Technology,Computer Hardware
2002-10-31,-0.016,-24.482,0.61,0.95,-0.025,0.036,-0.887,1.494,10.87,6.39,2499000000.0,15974624049.667,56588000000.0,3733506000.0,0.066,41,Technology,Computer Hardware
2003-10-31,0.035,11.848,0.797,0.979,0.067,0.032,0.385,1.333,11.91,7.26,3047000000.0,22106547785.471,73061000000.0,4061651000.0,0.056,42,Technology,Computer Hardware
2004-11-01,0.044,7.854,0.731,1.027,0.093,0.035,0.278,0.979,10.94,6.75,3024000000.0,20420544585.37,79905000000.0,2960496000.0,0.037,43,Technology,Computer Hardware
2005-10-31,0.028,16.177,1.043,1.08,0.065,0.024,0.386,2.096,14.99,10.16,2879000000.0,29248869229.017,86696000000.0,6034384000.0,0.07,44,Technology,Computer Hardware
2006-10-31,0.068,8.044,1.307,1.149,0.162,0.018,0.144,3.169,19.54,13.65,2782000000.0,37964922075.522,91658000000.0,8816158000.0,0.096,45,Technology,Computer Hardware
2007-10-31,0.07,8.412,1.586,1.302,0.189,0.014,0.116,2.5,22.12,17.82,2630000000.0,46875594857.214,104286000000.0,6575000000.0,0.063,46,Technology,Computer Hardware
2008-10-31,0.07,4.776,1.022,1.91,0.214,0.02,0.096,4.672,16.46,12.37,2483000000.0,30723080465.137,118364000000.0,11600576000.0,0.098,47,Technology,Computer Hardware
2009-11-02,0.067,6.946,1.313,1.833,0.189,0.014,0.1,4.055,22.93,17.37,2388000000.0,41472868333.982,114552000000.0,9683340000.0,0.085,48,Technology,Computer Hardware
2010-11-01,0.07,5.04,1.092,2.07,0.217,0.017,0.088,3.359,19.66,14.95,2319000000.0,34659497847.219,126033000000.0,7789521000.0,0.062,49,Technology,Computer Hardware
2011-10-31,0.056,3.757,0.688,2.343,0.183,0.032,0.119,3.868,13.93,10.09,2094000000.0,21126545279.066,127245000000.0,8099592000.0,0.064,50,Technology,Computer Hardware
2012-10-31,-0.105,-0.921,0.519,3.83,-0.564,0.087,-0.08,3.478,10.52,4.8,1974000000.0,9471891702.928,120357000000.0,6865572000.0,0.057,51,Technology,Computer Hardware
2013-10-31,0.046,4.698,0.881,2.861,0.188,0.046,0.216,4.348,16.68,10.39,1934000000.0,20091844177.745,112298000000.0,8409032000.0,0.075,52,Technology,Computer Hardware
2014-10-31,0.045,6.659,1.249,2.846,0.188,0.035,0.236,4.506,23.16,15.12,1882000000.0,28463237396.54,111454000000.0,8480292000.0,0.076,53,Technology,Computer Hardware
2015-11-02,0.044,4.995,0.819,2.835,0.164,0.055,0.274,1.592,19.84,10.23,1814000000.0,18565757869.086,103355000000.0,2887888000.0,0.028,54,Technology,Computer Hardware
2016-10-31,0.052,10.674,-6.851,-8.46,-0.642,0.032,0.344,1.617,16.7,13.07,1730000000.0,22610191997.563,48238000000.0,2797410000.0,0.058,55,Technology,Computer Hardware
2017-10-31,0.049,14.334,-10.624,-10.658,-0.741,0.025,0.354,1.94,22.91,18.76,1688000000.0,31671053279.198,52056000000.0,3274720000.0,0.063,56,Technology,Computer Hardware
2018-10-31,0.091,6.973,-58.13,-55.182,-8.336,0.024,0.169,2.466,23.81,20.61,1615000000.0,33280438158.365,58472000000.0,3982590000.0,0.068,57,Technology,Computer Hardware
2019-10-31,0.054,9.651,-25.5,-29.053,-2.642,0.032,0.308,2.629,21.57,18.57,1515000000.0,28139213186.655,58756000000.0,3982935000.0,0.068,58,Technology,Computer Hardware
2020-11-02,0.05,10.896,-13.908,-16.566,-1.276,0.032,0.351,2.644,24.48,21.04,1413000000.0,29730712880.74,56639000000.0,3735972000.0,0.066,59,Technology,Computer Hardware
2021-11-01,0.102,6.554,-25.829,-24.4,-3.941,0.022,0.144,4.824,38.36,34.8,1208000000.0,42039448863.516,63487000000.0,5827392000.0,0.092,60,Technology,Computer Hardware
