Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-29,0.277,18.289,6.583,0.497,0.36,0.001,0.026,0.842,20.0,19.42,6540000000.0,127019062500.0,25070000000.0,5506680000.0,0.22,26,Technology
1998-12-28,0.231,35.907,9.32,0.346,0.26,0.001,0.036,0.709,32.94,32.66,6672000000.0,217882500000.0,26273000000.0,4730448000.0,0.18,27,Technology
1999-12-27,0.249,44.907,10.095,0.348,0.225,0.001,0.05,1.193,49.93,49.41,6648000000.0,328452750000.0,29389000000.0,7931064000.0,0.27,28,Technology
2000-12-29,0.312,23.602,6.662,0.285,0.282,0.002,0.045,0.917,37.51,37.06,6709000000.0,248652312500.0,33726000000.0,6152153000.0,0.182,29,Technology
2001-12-31,0.049,176.458,6.358,0.239,0.036,0.002,0.417,0.2,35.11,33.92,6716000000.0,227806707911.2,26539000000.0,1343200000.0,0.051,30,Technology
2002-12-30,0.116,33.884,2.978,0.247,0.088,0.005,0.171,0.665,16.99,15.88,6651000000.0,105617880665.1,26764000000.0,4422915000.0,0.165,31,Technology
2003-12-29,0.187,37.524,5.593,0.246,0.149,0.002,0.093,1.204,33.65,32.43,6527000000.0,211670611958.1,30141000000.0,7858508000.0,0.261,32,Technology
2004-12-27,0.22,18.725,3.648,0.248,0.195,0.007,0.136,1.449,23.3,21.99,6400000000.0,140735998720.0,34209000000.0,9273600000.0,0.271,33,Technology
2005-12-30,0.223,15.258,3.654,0.335,0.239,0.015,0.226,1.475,22.85,21.65,6106000000.0,132194897557.6,38826000000.0,9006350000.0,0.232,34,Technology
2006-12-29,0.143,24.009,3.295,0.316,0.137,0.019,0.46,0.835,22.03,20.89,5797000000.0,121099326521.8,35382000000.0,4840495000.0,0.137,35,Technology
2007-12-31,0.182,16.916,2.76,0.301,0.163,0.022,0.375,1.311,21.55,20.29,5816000000.0,118006645234.4,38334000000.0,7624776000.0,0.199,36,Technology
2008-12-29,0.141,14.318,1.938,0.28,0.135,0.041,0.586,1.012,13.97,13.38,5663000000.0,75770940566.3,37586000000.0,5730956000.0,0.152,37,Technology
2009-12-28,0.124,25.845,2.708,0.273,0.105,0.028,0.711,1.198,21.04,20.32,5557000000.0,112918238332.9,35127000000.0,6657286000.0,0.19,38,Technology
2010-12-27,0.263,10.292,2.387,0.278,0.232,0.03,0.306,2.068,22.23,21.24,5555000000.0,117988198889.0,43623000000.0,11487740000.0,0.263,39,Technology
2011-12-30,0.24,10.86,3.061,0.549,0.282,0.029,0.319,1.94,27.7,26.74,5256000000.0,140545438948.8,53999000000.0,10196640000.0,0.189,40,Technology
2012-12-31,0.206,9.556,2.054,0.647,0.215,0.041,0.395,1.41,22.75,21.05,4996000000.0,105165796003.2,53341000000.0,7044360000.0,0.132,41,Technology
2013-12-30,0.183,12.771,2.109,0.585,0.165,0.036,0.466,2.018,25.86,24.72,4970000000.0,122858396521.0,52708000000.0,10029460000.0,0.19,42,Technology
2014-12-29,0.209,14.995,3.142,0.645,0.21,0.025,0.377,2.085,36.33,35.81,4901000000.0,175504816861.4,55870000000.0,10218585000.0,0.183,43,Technology
2015-12-28,0.206,12.291,2.298,0.646,0.187,0.032,0.399,2.44,32.83,29.6,4742000000.0,140363201896.8,55355000000.0,11570480000.0,0.209,44,Technology
2016-12-30,0.174,17.157,2.673,0.698,0.156,0.028,0.477,2.576,38.6,37.42,4730000000.0,176996591486.0,59387000000.0,12184480000.0,0.205,45,Technology
2017-12-29,0.153,24.472,3.404,0.773,0.139,0.022,0.528,2.198,50.71,49.98,4701000000.0,234955977649.5,62761000000.0,10332798000.0,0.165,46,Technology
2018-12-31,0.297,10.23,2.889,0.711,0.282,0.026,0.263,3.091,47.36,46.71,4611000000.0,215379805850.1,70848000000.0,14252601000.0,0.201,47,Technology
2019-12-30,0.292,13.785,3.744,0.76,0.272,0.019,0.265,3.833,66.64,65.69,4417000000.0,290152740600.8,71965000000.0,16930361000.0,0.235,48,Technology
2020-12-28,0.268,11.139,2.873,0.889,0.258,0.024,0.266,4.985,56.84,55.44,4199000000.0,232792554121.4,77867000000.0,20932015000.0,0.269,49,Technology
2021-12-27,0.251,10.611,2.21,0.765,0.208,0.027,0.284,2.38,53.13,51.94,4059000000.0,210824454317.4,79024000000.0,9660420000.0,0.122,50,Technology
