Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.219,38.844,21.938,24.84,1.317,0.565,0.244,0.009,0.336,0.593,0.156,0.458,0.0,32.73,32.38,32.375,4954000000.0,160385750000.0,18868000000.0,0.017,0.182,0.189,0.12,0.436,0.29,1443694680.0,2937722000.0,78,Consumer Defensive
1998-12-31,0.188,45.606,19.175,29.046,1.278,0.42,0.185,0.009,0.419,0.521,0.137,0.402,0.0,32.99,32.66,32.656,4934000000.0,161125937500.0,18813000000.0,-0.003,-0.144,-0.126,0.071,0.539,0.29,1450299960.0,2570614000.0,79,Consumer Defensive
1999-12-31,0.123,57.828,14.778,36.86,1.273,0.256,0.112,0.011,0.65,0.57,0.142,0.366,0.0,28.79,28.47,28.469,4938000000.0,140578687500.0,19805000000.0,0.053,-0.312,0.095,0.067,0.641,0.31,1546433460.0,2814660000.0,80,Consumer Defensive
2000-12-29,0.106,65.89,15.397,42.135,1.236,0.234,0.104,0.012,0.774,0.576,0.139,0.391,0.0,29.32,28.96,28.955,4954000000.0,143443070000.0,20458000000.0,0.033,-0.104,0.014,0.063,0.547,0.35,1721614080.0,2853504000.0,81,Consumer Defensive
2001-12-31,0.198,27.477,9.595,17.642,0.972,0.349,0.177,0.016,0.451,0.672,0.166,0.453,0.0,22.3,21.92,21.925,4974000000.0,109054945026.0,20092000000.0,-0.018,0.823,0.171,0.059,0.44,0.35,1744481280.0,3342528000.0,82,Consumer Defensive
2002-12-31,0.156,31.848,8.232,20.374,1.076,0.258,0.124,0.02,0.651,0.785,0.199,0.605,0.0,20.03,19.6,19.6,4956000000.0,97137600000.0,19564000000.0,-0.026,-0.232,0.165,0.113,0.432,0.39,1942752000.0,3890460000.0,83,Consumer Defensive
2003-12-31,0.207,27.854,8.593,17.682,0.941,0.309,0.159,0.018,0.498,0.944,0.221,0.707,0.0,25.3,24.62,24.62,4918000000.0,121081164918.0,21044000000.0,0.076,0.425,0.194,0.099,0.468,0.44,2179460880.0,4642592000.0,84,Consumer Defensive
2004-12-31,0.221,20.766,6.317,13.006,0.966,0.304,0.155,0.024,0.501,1.074,0.237,0.815,0.0,22.13,20.75,20.745,4852000000.0,100654744852.0,21962000000.0,0.044,0.115,0.123,0.137,0.565,0.5,2416296000.0,5211048000.0,85,Consumer Defensive
2005-12-30,0.211,20.498,6.106,12.658,0.799,0.298,0.166,0.027,0.55,1.155,0.239,0.717,0.0,21.86,20.88,20.875,4784000000.0,99866000000.0,23104000000.0,0.052,0.005,0.06,0.118,0.646,0.56,2697027840.0,5525520000.0,86,Consumer Defensive
2006-12-29,0.211,22.098,6.635,13.395,0.771,0.3,0.17,0.026,0.573,0.969,0.189,0.582,1403000000.0,24.42,23.91,23.905,4696000000.0,112257884696.0,24088000000.0,0.043,0.043,-0.176,0.107,0.722,0.62,2919315360.0,4550424000.0,87,Consumer Defensive
2007-12-31,0.207,22.341,6.145,13.341,0.99,0.275,0.138,0.024,0.527,1.189,0.191,0.577,4256000000.0,29.77,28.89,28.885,4626000000.0,133622010000.0,28857000000.0,0.198,0.177,0.209,0.098,0.698,0.69,3207483360.0,5500314000.0,88,Consumer Defensive
2008-12-31,0.182,17.038,4.833,10.187,0.979,0.284,0.143,0.036,0.606,1.21,0.175,0.621,4029000000.0,22.37,21.36,21.36,4632000000.0,98939524632.0,31944000000.0,0.107,-0.029,0.018,0.117,0.726,0.77,3561822720.0,5604720000.0,89,Consumer Defensive
2009-12-31,0.22,18.396,5.062,10.99,0.941,0.275,0.14,0.03,0.557,1.338,0.2,0.945,4224000000.0,28.64,27.13,27.125,4628000000.0,125534500000.0,30990000000.0,-0.03,0.175,0.105,0.08,0.64,0.81,3766729200.0,6192264000.0,90,Consumer Defensive
2010-12-31,0.336,12.159,4.631,7.245,1.342,0.381,0.162,0.028,0.344,1.585,0.208,0.852,11665000000.0,32.95,31.11,31.105,4616000000.0,143580680000.0,35119000000.0,0.133,0.731,0.181,0.073,0.574,0.87,4020905280.0,7316360000.0,91,Consumer Defensive
2011-12-30,0.184,17.809,4.826,10.405,1.519,0.271,0.107,0.028,0.502,1.448,0.141,0.781,12219000000.0,36.56,33.73,33.73,4526000000.0,152661980000.0,46542000000.0,0.325,-0.274,-0.104,0.078,0.533,0.94,4274535440.0,6553648000.0,92,Consumer Defensive
2012-12-31,0.188,18.727,5.151,10.888,1.617,0.275,0.105,0.027,0.509,1.746,0.164,0.766,12255000000.0,39.37,37.5,37.5,4504000000.0,168900000000.0,48017000000.0,0.032,0.052,0.2,0.074,0.499,1.01,4560300000.0,7863984000.0,93,Consumer Defensive
2013-12-31,0.183,19.716,5.102,11.285,1.707,0.259,0.095,0.029,0.579,1.802,0.171,0.904,12312000000.0,40.52,38.17,38.17,4434000000.0,169245771132.0,46854000000.0,-0.024,-0.048,0.016,0.098,0.474,1.11,4908127620.0,7990068000.0,94,Consumer Defensive
2014-12-31,0.154,25.446,5.957,14.409,2.027,0.234,0.077,0.03,0.754,1.871,0.178,0.807,12100000000.0,43.21,41.17,41.17,4387000000.0,180612781226.0,45998000000.0,-0.018,-0.173,0.027,0.088,0.485,1.24,5418383700.0,8208077000.0,95,Consumer Defensive
2015-12-31,0.166,25.41,7.31,14.274,2.517,0.288,0.082,0.031,0.781,1.832,0.18,0.885,11289000000.0,44.6,42.92,42.92,4352000000.0,186787831296.0,44294000000.0,-0.037,0.036,-0.029,0.082,0.497,1.33,5790423040.0,7972864000.0,96,Consumer Defensive
2016-12-30,0.156,27.369,7.746,15.251,2.777,0.283,0.075,0.034,0.926,1.514,0.156,0.982,10629000000.0,43.36,41.38,41.38,4317000000.0,178637464317.0,41863000000.0,-0.055,-0.112,-0.181,0.061,0.473,1.41,6073673640.0,6535938000.0,97,Consumer Defensive
2017-12-29,0.035,162.288,11.864,89.492,4.037,0.073,0.014,0.031,5.064,1.271,0.153,0.895,9401000000.0,48.82,47.41,47.41,4272000000.0,202535520000.0,35410000000.0,-0.154,-0.809,-0.169,0.057,0.45,1.47,6278601120.0,5429712000.0,98,Consumer Defensive
2018-12-31,0.202,31.681,12.004,17.417,3.778,0.379,0.077,0.033,1.033,1.475,0.197,0.662,10263000000.0,49.96,47.86,47.86,4259000000.0,203835744259.0,31856000000.0,-0.1,4.155,0.156,0.054,0.392,1.58,6726579420.0,6282025000.0,99,Consumer Defensive
2019-12-31,0.239,28.216,13.26,15.574,3.439,0.47,0.103,0.027,0.767,1.968,0.226,0.562,16764000000.0,60.38,58.86,58.86,4276000000.0,251685364276.0,37266000000.0,0.17,0.386,0.34,0.026,0.313,1.59,6795504720.0,8415168000.0,100,Consumer Defensive
2020-12-31,0.235,26.695,10.716,14.8,3.42,0.401,0.089,0.034,0.91,2.018,0.263,0.963,17506000000.0,49.73,48.15,48.15,4295000000.0,206804258590.0,33014000000.0,-0.114,-0.132,0.03,0.025,0.244,1.64,7031344500.0,8667310000.0,101,Consumer Defensive
2021-12-31,0.253,26.886,11.423,14.986,3.022,0.425,0.104,0.028,0.742,2.607,0.29,0.809,19363000000.0,63.09,60.84,60.84,4295000000.0,261307800000.0,38655000000.0,0.171,0.261,0.299,0.029,0.206,1.7,7316618400.0,11197065000.0,102,Consumer Defensive
