Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-12-31,0.144,19.777,3.67,5.763,1.061,0.186,0.09,0.008,0.151,0.276,0.0,23.81,23.56,23.562,1378600000.0,32483262500.0,11408800000.0,3201100000.0,0.068,0.044,5.183,0.083,0.167,0.19,259838528.0,0.281,31,Consumer Cyclical
1998-12-31,0.125,34.708,5.684,10.017,1.09,0.164,0.078,0.004,0.155,0.364,0.0,39.63,39.41,39.406,1365300000.0,53801353125.0,12421400000.0,3188500000.0,0.089,-0.056,2.534,-0.02,0.144,0.16,215225892.0,0.257,32,Consumer Cyclical
1999-12-31,0.147,25.57,5.167,7.326,1.177,0.202,0.093,0.005,0.136,0.344,0.0,37.06,36.75,36.75,1355300000.0,49807275000.0,13259300000.0,3840400000.0,0.067,0.257,0.041,0.109,0.269,0.18,249036375.0,0.29,33,Consumer Cyclical
2000-12-29,0.139,19.708,4.234,5.513,1.356,0.215,0.091,0.007,0.142,0.516,0.0,29.77,29.45,29.45,1323200000.0,38968241323.2,14243000000.0,3893000000.0,0.074,0.015,-0.524,0.086,0.319,0.21,272777680.0,0.273,34,Consumer Cyclical
2001-12-31,0.11,21.269,3.669,5.799,1.375,0.172,0.073,0.008,0.176,0.578,0.0,27.31,26.99,26.99,1289700000.0,34809003000.0,14870000000.0,3416000000.0,0.044,-0.172,0.183,0.052,0.344,0.22,278472024.0,0.23,35,Consumer Cyclical
2002-12-31,0.058,20.603,1.791,5.545,1.332,0.087,0.037,0.016,0.333,0.489,0.0,14.72,14.46,14.46,1273100000.0,18409026000.0,15405700000.0,2614300000.0,0.036,-0.454,-0.25,0.047,0.3,0.23,294544416.0,0.17,36,Consumer Cyclical
2003-12-31,0.086,22.213,2.728,5.963,1.13,0.123,0.058,0.015,0.342,0.494,0.0,26.13,25.74,25.74,1269800000.0,32684652000.0,17140500000.0,3457800000.0,0.113,0.647,3.693,0.697,1.251,0.39,490269780.0,0.202,37,Consumer Cyclical
2004-12-31,0.12,17.692,2.838,4.711,0.96,0.16,0.082,0.017,0.305,0.604,0.0,33.1,32.0,32.0,1259700000.0,40310400000.0,19064700000.0,4403400000.0,0.112,0.549,0.472,0.391,1.825,0.54,685276800.0,0.231,38,Consumer Cyclical
2005-12-30,0.127,16.962,2.914,4.519,0.98,0.172,0.087,0.019,0.324,1.253,1950700000.0,38.4,35.02,35.02,1260400000.0,44139208000.0,20460200000.0,4951100000.0,0.073,0.142,0.169,0.211,2.149,0.67,838644952.0,0.242,39,Consumer Cyclical
2006-12-29,0.164,15.24,3.494,3.975,0.878,0.229,0.122,0.023,0.343,1.011,2209200000.0,45.5,43.77,43.77,1234000000.0,54012180000.0,21586400000.0,6087500000.0,0.055,0.362,-0.048,0.476,3.419,1.01,1242280140.0,0.282,40,Consumer Cyclical
2007-12-31,0.105,25.308,3.967,6.357,0.924,0.157,0.081,0.029,0.737,0.675,2301300000.0,52.68,51.01,51.01,1188300000.0,60615180623.4,22786600000.0,4846300000.0,0.056,-0.324,0.127,0.507,5.36,1.48,1757840307.0,0.213,41,Consumer Cyclical
2008-12-31,0.183,15.204,4.9,3.633,1.127,0.322,0.152,0.028,0.423,1.18,2237400000.0,59.85,58.02,58.02,1130300000.0,65580006000.0,23522400000.0,7888400000.0,0.032,0.801,0.291,0.086,3.068,1.62,1836240168.0,0.335,42,Consumer Cyclical
2009-12-31,0.2,15.05,4.88,3.49,1.154,0.324,0.151,0.033,0.491,0.956,2425200000.0,64.07,62.43,62.43,1097100000.0,68491953000.0,22744700000.0,8176400000.0,-0.033,0.055,0.005,0.263,2.693,2.06,2260234449.0,0.359,43,Consumer Cyclical
2010-12-31,0.205,15.609,5.276,3.477,1.185,0.338,0.155,0.031,0.487,1.219,2586100000.0,75.55,73.28,73.28,1053599999.0,77207806873.12,24074600000.0,8727400000.0,0.058,0.087,0.107,0.122,2.421,2.27,2393442045.73,0.363,44,Consumer Cyclical
2011-12-30,0.204,18.317,7.005,3.955,1.293,0.382,0.167,0.026,0.474,1.046,2653200000.0,100.98,98.69,98.69,1021400000.0,100801968042.8,27006000000.0,9920000000.0,0.122,0.113,0.051,0.118,1.592,2.57,2620851116.0,0.367,45,Consumer Cyclical
2012-12-31,0.198,17.37,6.207,3.682,1.314,0.357,0.154,0.031,0.53,1.091,2804000000.0,97.0,94.67,94.67,1002700000.0,94925606994.6,27567000000.0,10084100000.0,0.021,-0.007,-0.114,0.131,0.944,2.93,2942693879.0,0.366,46,Consumer Cyclical
2013-12-31,0.199,16.631,5.803,3.482,1.288,0.349,0.153,0.034,0.558,1.299,2872700000.0,96.63,93.8,93.8,990400000.0,92899522971.2,28105700000.0,10311500000.0,0.02,0.022,0.097,0.089,0.949,3.19,3158583680.0,0.367,47,Consumer Cyclical
2014-12-31,0.173,18.708,6.925,3.808,1.667,0.37,0.139,0.036,0.676,1.198,2735300000.0,94.6,92.44,92.44,962900000.0,89010477925.8,27441300000.0,9587000000.0,-0.024,-0.148,-0.035,0.062,0.639,3.33,3204377136.0,0.349,48,Consumer Cyclical
2015-12-31,0.178,24.782,15.836,4.75,4.353,0.639,0.119,0.029,0.713,3.045,2516300000.0,132.26,123.78,123.78,906800000.0,112243703093.2,25413000000.0,8749700000.0,-0.074,-0.048,0.139,0.067,0.559,3.59,3255067416.0,0.344,49,Consumer Cyclical
2016-12-30,0.19,21.507,-45.724,3.725,-15.074,-2.126,0.151,0.03,0.653,0.778,2336500000.0,124.51,123.02,123.02,819300000.0,100790283542.1,24621900000.0,9267300000.0,-0.031,0.035,-0.103,0.048,0.461,3.69,3023708580.0,0.376,50,Consumer Cyclical
