Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Defensive
1998-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24140000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Defensive
1999-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23430000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Defensive
2000-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26532000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Defensive
2001-12-31,0.056,30.342,2.432,13.729,1.377,0.08,0.034,0.004,0.12,1.384,0.066,0.371,0.0,35.6,35.5,35.5,1608547009.0,57103418819.5,33875000000.0,0.277,-0.059,1.169,-0.798,0.0,0.14,228413675.28,2226229060.456,0,Consumer Defensive
2002-12-31,0.114,15.296,2.01,7.451,1.21,0.131,0.059,0.018,0.276,1.465,0.085,0.465,0.0,30.1,29.98,29.98,1731632653.0,51914346936.94,29723000000.0,-0.123,0.803,0.139,2.864,2.864,0.54,934458244.86,2536841836.645,1,Consumer Defensive
2003-12-31,0.112,16.025,1.952,7.795,1.078,0.122,0.059,0.02,0.313,1.754,0.098,0.494,0.0,32.51,32.21,32.21,1729353234.0,55702465937.787,31010000000.0,0.043,0.024,0.196,0.165,3.502,0.64,1114049353.34,3033285572.436,2,Consumer Defensive
2004-12-31,0.083,21.321,1.9,10.245,1.004,0.089,0.044,0.023,0.48,1.757,0.093,0.421,0.0,33.43,33.26,33.26,1708333333.0,56819163238.913,32168000000.0,0.037,-0.233,-0.011,0.19,4.357,0.76,1306840833.08,3001541666.081,3,Consumer Defensive
2005-12-30,0.077,19.231,1.71,9.127,0.947,0.089,0.046,0.028,0.546,1.359,0.067,0.424,0.0,30.19,30.0,30.0,1687179487.0,50615384610.0,34113000000.0,0.06,-0.012,-0.236,0.137,5.089,0.84,1417230769.08,2292876922.833,4,Consumer Defensive
2006-12-29,0.089,18.726,2.007,8.666,0.946,0.107,0.055,0.027,0.51,1.551,0.074,0.392,25553000000.0,34.98,34.83,34.83,1645161290.0,57300971021.023,34356000000.0,0.007,0.163,0.113,0.115,5.788,0.94,1547126128.73,2551645160.79,5,Consumer Defensive
2007-12-31,0.07,17.957,1.704,7.977,1.491,0.095,0.038,0.035,0.632,1.475,0.063,0.337,31193000000.0,29.81,29.45,29.45,1579268293.0,46509452808.118,37241000000.0,0.084,-0.154,-0.087,0.092,0.919,1.03,1627830793.01,2329420732.175,6,Consumer Defensive
2008-12-31,0.069,14.417,1.884,6.046,1.841,0.131,0.046,0.04,0.573,1.86,0.066,0.539,27581000000.0,28.88,28.05,28.05,1491000000.0,41822548509.0,42201000000.0,0.133,0.12,0.191,0.075,0.771,1.12,1672902000.0,2773260000.0,7,Consumer Defensive
2009-12-31,0.075,13.532,1.58,5.626,1.575,0.117,0.045,0.042,0.567,2.54,0.093,0.635,28764000000.0,29.08,27.66,27.66,1478000000.0,40881480000.0,40386000000.0,-0.043,0.041,0.353,0.039,0.546,1.16,1717022160.0,3754120000.0,8,Consumer Defensive
2010-12-31,0.084,12.727,1.461,6.14,1.656,0.115,0.043,0.042,0.529,1.217,0.042,0.576,37856000000.0,31.98,30.53,30.53,1715000000.0,52358951715.0,49207000000.0,0.218,0.362,-0.444,0.095,0.489,1.28,2199075900.0,2087155000.0,9,Consumer Defensive
2011-12-30,0.065,19.106,1.913,9.486,1.661,0.1,0.038,0.03,0.579,1.558,0.051,0.452,37297000000.0,39.3,38.18,38.18,1765000000.0,67387700000.0,54365000000.0,0.105,-0.143,0.317,-0.087,0.219,1.15,2021631000.0,2749870000.0,10,Consumer Defensive
2012-12-31,0.086,16.274,1.53,8.134,1.339,0.094,0.04,0.042,0.68,1.302,0.066,0.713,25801000000.0,30.25,27.73,27.73,1777000000.0,49276210000.0,35015000000.0,-0.356,-0.141,-0.159,0.001,0.117,1.16,2069600820.0,2313654000.0,11,Consumer Defensive
2013-12-31,0.111,14.922,1.805,7.446,1.236,0.121,0.054,0.016,0.241,2.699,0.136,0.56,25597000000.0,34.43,32.93,32.93,1774000000.0,58417820000.0,35299000000.0,0.008,0.293,1.07,-0.541,-0.523,0.53,934685120.0,4788026000.0,12,Consumer Defensive
2014-12-31,0.064,27.285,2.147,12.979,1.404,0.079,0.033,0.016,0.441,1.135,0.056,0.456,23389000000.0,36.2,35.24,35.24,1691000000.0,59590843382.0,34244000000.0,-0.03,-0.442,-0.599,0.072,-0.508,0.56,953453440.0,1919285000.0,13,Consumer Defensive
2015-12-31,0.245,9.596,2.489,4.368,1.24,0.259,0.116,0.014,0.139,1.368,0.075,0.523,20664000000.0,44.26,43.1,43.1,1618000000.0,69735796764.0,29636000000.0,-0.135,2.327,0.153,0.093,-0.509,0.6,976301200.0,2213424000.0,14,Consumer Defensive
2016-12-30,0.064,41.672,2.748,18.239,1.444,0.066,0.027,0.016,0.659,1.037,0.062,0.361,20276000000.0,45.55,44.43,44.43,1556000000.0,69133080000.0,25923000000.0,-0.125,-0.772,-0.271,0.129,-0.393,0.71,1106129280.0,1613572000.0,15,Consumer Defensive
2017-12-29,0.113,22.959,2.569,9.771,1.414,0.112,0.046,0.018,0.41,1.044,0.061,0.271,21085000000.0,44.84,44.34,44.34,1513000000.0,67086420000.0,25896000000.0,-0.001,0.761,-0.022,0.126,-0.316,0.8,1207555560.0,1579572000.0,16,Consumer Defensive
2018-12-31,0.13,19.074,2.515,7.898,1.444,0.132,0.054,0.021,0.402,1.938,0.11,0.245,20725000000.0,44.56,43.81,43.81,1472000000.0,64488321472.0,25938000000.0,0.002,0.157,0.807,0.166,0.737,0.92,1354254720.0,2852736000.0,17,Consumer Defensive
2019-12-31,0.15,21.955,3.115,8.924,1.364,0.142,0.06,0.018,0.398,2.104,0.118,0.275,20848000000.0,59.69,58.8,58.8,1445000000.0,84965998555.0,25868000000.0,-0.003,0.145,0.066,0.156,0.872,1.06,1529388000.0,3040280000.0,18,Consumer Defensive
2020-12-31,0.134,22.316,2.877,8.983,1.456,0.129,0.052,0.021,0.472,2.167,0.117,0.434,21895000000.0,57.97,55.44,55.44,1431000000.0,79334638569.0,26581000000.0,0.028,-0.081,0.02,0.099,0.882,1.16,1666027440.0,3100977000.0,19,Consumer Defensive
2021-12-31,0.15,22.104,3.362,8.898,1.371,0.152,0.064,0.019,0.425,2.219,0.111,0.481,21978000000.0,68.9,66.42,66.42,1431000000.0,95047017138.0,28720000000.0,0.08,0.21,0.024,0.088,0.815,1.26,1805893380.0,3175389000.0,20,Consumer Defensive
