Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.141,16.247,5.815,1.173,0.358,0.025,0.413,0.363,42.03,41.75,825400000.0,34460450000.0,15070000000.0,299620200.0,0.02,51,Industrials,Conglomerates
1998-12-31,0.078,26.644,5.274,1.319,0.198,0.028,0.755,1.17,39.07,38.81,806600000.0,31306162500.0,15021000000.0,943722000.0,0.063,52,Industrials,Conglomerates
1999-12-31,0.113,21.035,5.897,1.151,0.28,0.024,0.511,2.486,46.61,46.13,804000000.0,37084500000.0,15659000000.0,1998744000.0,0.128,53,Industrials,Conglomerates
2000-12-29,0.107,24.737,6.749,1.171,0.273,0.021,0.515,1.53,56.08,55.7,791400000.0,44080980633.12,16724000000.0,1210842000.0,0.072,54,Industrials,Conglomerates
2001-12-31,0.089,30.295,7.118,1.313,0.235,0.022,0.663,2.66,55.72,54.94,788600000.0,43321742104.04,16079000000.0,2097676000.0,0.13,55,Industrials,Conglomerates
2002-12-31,0.121,24.481,8.064,1.558,0.329,0.02,0.49,2.858,62.75,61.96,780000000.0,48324901404.0,16332000000.0,2229240000.0,0.136,56,Industrials,Conglomerates
2003-12-31,0.132,25.764,7.852,1.232,0.305,0.017,0.43,3.955,81.44,79.09,782800000.0,61911649103.64,18232000000.0,3095974000.0,0.17,57,Industrials,Conglomerates
2004-12-31,0.149,21.731,6.261,0.995,0.288,0.017,0.376,4.286,86.78,83.25,780500000.0,64976625000.0,20011000000.0,3345223000.0,0.167,58,Industrials,Conglomerates
2005-12-30,0.151,17.371,5.502,1.031,0.317,0.023,0.402,4.334,74.05,72.65,764900000.0,55569986147.35,21167000000.0,3315076600.0,0.157,59,Industrials,Conglomerates
2006-12-29,0.168,14.5,5.607,1.138,0.387,0.025,0.357,3.573,76.64,74.7,747500000.0,55838247682.75,22923000000.0,2670817500.0,0.117,60,Industrials,Conglomerates
2007-12-31,0.167,13.717,4.783,1.102,0.349,0.025,0.337,3.972,80.86,78.22,718300000.0,56185426861.96,24462000000.0,2853087600.0,0.117,61,Industrials,Conglomerates
2008-12-31,0.137,10.87,3.807,1.586,0.35,0.037,0.404,4.379,56.43,53.79,699200000.0,37609968629.28,25269000000.0,3061796800.0,0.121,62,Industrials,Conglomerates
2009-12-31,0.138,17.658,4.417,1.093,0.25,0.025,0.448,5.764,84.83,80.49,700500000.0,56383243528.95,23123000000.0,4037682000.0,0.175,63,Industrials,Conglomerates
2010-12-31,0.153,15.277,3.984,0.903,0.261,0.024,0.367,5.721,92.17,87.44,713700000.0,62405929712.88,26662000000.0,4083077700.0,0.153,64,Industrials,Conglomerates
2011-12-30,0.145,14.448,4.013,1.022,0.278,0.025,0.363,5.512,90.47,87.34,708500000.0,61880387378.55,29611000000.0,3905252000.0,0.132,65,Industrials,Conglomerates
2012-12-31,0.149,15.739,3.98,0.901,0.253,0.023,0.368,5.499,104.95,100.8,693900000.0,69945122151.09,29904000000.0,3815756100.0,0.128,66,Industrials,Conglomerates
2013-12-31,0.151,18.742,4.989,0.891,0.266,0.02,0.371,6.089,131.84,128.05,681900000.0,87317297113.89,30871000000.0,4152089100.0,0.134,67,Industrials,Conglomerates
2014-12-31,0.156,21.26,8.038,1.383,0.378,0.021,0.447,7.907,165.22,162.3,649200000.0,105365162012.52,31821000000.0,5133224400.0,0.161,68,Industrials,Conglomerates
2015-12-31,0.16,19.546,8.068,1.791,0.413,0.027,0.53,7.927,153.87,151.0,625600000.0,94465600000.0,30274000000.0,4959131200.0,0.164,69,Industrials,Conglomerates
2016-12-30,0.168,21.005,10.301,2.191,0.49,0.025,0.53,8.669,179.39,175.42,604700000.0,106076472911.54,30109000000.0,5242144300.0,0.174,70,Industrials,Conglomerates
2017-12-29,0.153,30.938,12.998,2.28,0.42,0.019,0.577,8.146,256.65,251.54,597500000.0,150295145996.75,31657000000.0,4867235000.0,0.154,71,Industrials,Conglomerates
2018-12-31,0.163,21.924,11.971,2.721,0.546,0.027,0.597,8.262,204.12,199.27,588500000.0,117270397530.55,32765000000.0,4862187000.0,0.148,72,Industrials,Conglomerates
2019-12-31,0.142,20.518,9.318,3.432,0.454,0.035,0.726,9.308,166.59,162.51,577000000.0,93768266826.5,32136000000.0,5370716000.0,0.167,73,Industrials,Conglomerates
2020-12-31,0.167,18.845,7.885,2.675,0.418,0.033,0.629,11.447,183.68,175.66,577600000.0,101461218137.12,32184000000.0,6611787200.0,0.205,74,Industrials,Conglomerates
2021-12-31,0.167,15.949,6.276,2.124,0.394,0.036,0.578,10.105,170.98,163.1,579000000.0,94434903531.9,35355000000.0,5850795000.0,0.165,75,Industrials,Conglomerates
