Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.112,15.9,6.725,17.88,2.75,0.423,0.113,0.039,0.616,2.675,0.115,0.436,0.0,42.44,41.5,41.5,2417624521.0,100331417621.5,56114000000.0,0.029,0.001,0.235,0.143,0.681,1.62,3912925287.24,6467145593.675,74,Consumer Defensive
1998-12-31,0.093,21.21,7.035,23.98,2.699,0.332,0.09,0.035,0.742,2.591,0.109,0.536,0.0,48.55,46.88,46.875,2430769231.0,113942307703.125,57812000000.0,0.03,-0.149,-0.026,0.02,0.714,1.64,3988406154.22,6298123077.521,75,Consumer Defensive
1999-12-31,0.124,6.464,3.242,7.189,3.011,0.501,0.125,0.087,0.565,4.026,0.156,0.522,0.0,22.88,20.75,20.75,2390965732.0,49612538939.0,61751000000.0,0.068,0.429,0.528,0.107,0.897,1.81,4316290887.69,9626028037.032,76,Consumer Defensive
2000-12-29,0.134,11.912,6.756,12.507,4.269,0.567,0.108,0.044,0.529,4.147,0.148,0.221,0.0,45.33,44.91,44.91,2257294430.0,101375092851.3,63276000000.0,0.025,0.109,-0.027,0.099,0.711,1.98,4460504085.46,9361000001.21,77,Consumer Defensive
2001-12-31,0.117,12.645,5.517,12.843,3.126,0.436,0.101,0.044,0.557,3.192,0.096,0.271,0.0,49.78,49.57,49.57,2183673469.0,108244693858.33,72944000000.0,0.153,0.006,-0.255,0.096,0.553,2.18,4762766529.77,6970285713.048,78,Consumer Defensive
2002-12-31,0.179,7.006,3.993,6.877,3.27,0.57,0.127,0.065,0.456,4.076,0.138,0.299,0.0,37.12,36.85,36.85,2110646388.0,77777315176.507,62182000000.0,-0.148,0.297,0.234,0.099,0.494,2.4,5055525760.86,8602994677.488,79,Consumer Defensive
2003-12-31,0.152,12.244,4.494,11.546,2.645,0.367,0.096,0.047,0.574,4.361,0.146,0.422,0.0,57.45,55.59,55.59,2027312775.0,112698317162.25,60704000000.0,-0.024,-0.171,0.028,0.086,0.591,2.61,5296820906.63,8841111011.775,80,Consumer Defensive
2004-12-31,0.147,13.739,4.212,13.081,2.154,0.307,0.093,0.044,0.602,4.386,0.14,0.488,0.0,66.01,63.2,63.2,2046956522.0,129367654237.357,63963000000.0,0.054,0.023,0.015,0.063,0.527,2.78,5692176696.38,8977951305.492,81,Consumer Defensive
2005-12-30,0.151,14.665,4.286,14.122,1.907,0.292,0.097,0.04,0.593,4.276,0.128,0.444,0.0,76.93,73.91,73.91,2070436508.0,153025970588.026,68920000000.0,0.077,0.108,-0.014,0.079,0.5,2.96,6121038492.25,8853186508.208,82,Consumer Defensive
2006-12-29,0.171,15.198,4.612,14.754,1.543,0.303,0.115,0.037,0.567,5.334,0.158,0.436,33235000000.0,89.95,87.54,87.54,2087152778.0,182709356273.273,70324000000.0,0.02,0.152,0.257,0.092,0.495,3.24,6760246104.89,11132872917.852,83,Consumer Defensive
