Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.1952,29.2371,10.6951,0.9525,0.3658,0.0151,0.4421,0.0,56.47,56.0,55.9995,2409000000.0,134902850907.0,23636900000.0,0.8456,2037050400.0,51,Healthcare,0.0,0.0
1998-12-31,0.1951,31.7347,13.0099,1.1988,0.41,0.0135,0.4293,0.0,71.11,70.01,70.0143,2378800000.0,166550047764.4,26898200000.0,0.9451,2248287138.0,52,Healthcare,0.1177,0.0
1999-12-31,0.1801,29.0617,12.928,1.4298,0.4448,0.0151,0.4396,0.0,73.74,72.88,72.8769,2349000000.0,171187854543.0,32714000000.0,1.1005,2585046312.0,53,Healthcare,0.1644,0.0
2000-12-29,0.169,26.1373,12.021,1.3522,0.4599,0.0157,0.4102,0.0,78.39,77.29,77.2901,2306900000.0,178300478631.3,40363200000.0,1.2135,2799314725.7,54,Healthcare,0.1027,0.0
2001-12-31,0.1526,17.6435,8.0047,1.4404,0.4537,0.0245,0.4319,0.0,57.08,56.15,56.145,2288300000.0,128476692743.7,47715700000.0,1.3757,3147957102.5,55,Healthcare,0.1337,0.0
2002-12-31,0.138,16.4235,6.4515,1.3424,0.3928,0.0272,0.4464,0.0,53.01,52.01,52.0134,2257500000.0,117420157942.5,51790300000.0,1.4147,3193622040.0,56,Healthcare,0.0283,0.1094
2003-12-31,0.3038,14.8722,6.5221,1.3544,0.4385,0.032,0.4758,0.0,45.96,45.42,45.4198,2236700000.0,101590569548.2,22485900000.0,1.4534,3250909248.0,57,Healthcare,0.0274,0.0913
2004-12-31,0.2534,10.2055,3.4317,1.3233,0.3363,0.0558,0.5695,0.0,28.03,26.74,26.7366,2219000000.0,59328606379.0,22938600000.0,1.4921,3310952148.0,58,Healthcare,0.0266,0.0637
2005-12-30,0.2104,15.5984,4.0321,1.3687,0.2585,0.0464,0.7233,0.0,37.24,32.88,32.8817,2197000000.0,72241050960.0,22011900000.0,1.5256,3351813504.0,59,Healthcare,0.0225,0.0477
2006-12-29,0.1959,21.0467,5.3143,1.4012,0.2525,0.0356,0.7494,1431600000.0,45.57,42.85,42.8531,2177600000.0,93316810390.4,22636000000.0,1.5255,3321841696.0,60,Healthcare,-0.0001,0.0209
