Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-06-02,0.087,21.786,5.493,0.699,0.252,0.006,0.127,-0.06,7.48,7.3,2376000000.0,17337375000.0,9186500000.0,-142560000.0,-0.016,7,Consumer Cyclical
1998-06-01,0.042,35.281,4.322,0.655,0.123,0.009,0.319,0.005,6.13,6.09,2316521739.0,14098207679.206,9553100000.0,11582608.695,0.001,8,Consumer Cyclical
1999-05-31,0.051,39.858,5.395,0.574,0.135,0.008,0.302,0.254,8.01,7.92,2271194969.0,17992122645.047,8776900000.0,576883522.126,0.066,9,Consumer Cyclical
2000-05-31,0.064,18.958,3.501,0.867,0.185,0.012,0.23,0.154,5.09,4.98,2206095238.0,10978771935.907,8995100000.0,339738666.652,0.038,10,Consumer Cyclical
2001-05-31,0.062,19.261,3.25,0.665,0.169,0.011,0.22,0.157,5.39,5.25,2164036697.0,11358487613.379,9488800000.0,339753761.429,0.036,11,Consumer Cyclical
2002-05-31,0.067,21.633,3.738,0.678,0.173,0.009,0.194,0.373,6.98,6.71,2139677419.0,14349211691.169,9893000000.0,798099677.287,0.081,12,Consumer Cyclical
2003-06-02,0.044,29.883,3.549,0.682,0.119,0.01,0.291,0.345,6.99,6.69,2118435754.0,14164391060.183,10697000000.0,730860335.13,0.068,13,Consumer Cyclical
2004-05-31,0.077,21.084,4.17,0.65,0.198,0.009,0.19,0.618,9.86,9.47,2105600000.0,19937400000.0,12253100000.0,1301260800.0,0.106,14,Consumer Cyclical
2005-05-31,0.088,18.785,4.032,0.558,0.215,0.01,0.195,0.625,11.49,10.83,2102559653.0,22760208243.725,13739700000.0,1314099783.125,0.096,15,Consumer Cyclical
2006-05-31,0.093,15.084,3.341,0.57,0.221,0.014,0.209,0.643,10.59,10.13,2073743017.0,20996648047.125,14954900000.0,1333416759.931,0.089,16,Consumer Cyclical
2007-05-31,0.091,19.693,4.181,0.521,0.212,0.012,0.23,0.777,15.49,14.57,2015540541.0,29371464533.722,16325900000.0,1566075000.357,0.096,17,Consumer Cyclical
2008-06-02,0.101,15.686,3.775,0.59,0.241,0.014,0.219,0.75,15.98,14.9,1982400000.0,29542716000.0,18627000000.0,1486800000.0,0.08,18,Consumer Cyclical
2009-06-01,0.078,16.888,2.888,0.524,0.171,0.019,0.314,0.66,14.13,12.95,1939600000.0,25108122000.0,19176100000.0,1280136000.0,0.067,19,Consumer Cyclical
2010-05-31,0.1,17.2,3.362,0.478,0.195,0.015,0.265,1.457,18.47,16.89,1942000000.0,32795526942.0,19014000000.0,2829494000.0,0.149,20,Consumer Cyclical
2011-05-31,0.102,20.059,4.347,0.524,0.217,0.013,0.26,0.726,23.52,22.5,1902000000.0,42785491902.0,20862000000.0,1380852000.0,0.066,21,Consumer Cyclical
2012-05-31,0.092,18.164,3.89,0.49,0.214,0.015,0.278,0.708,23.2,21.95,1840000000.0,40378800000.0,24128000000.0,1302720000.0,0.054,22,Consumer Cyclical
2013-05-31,0.098,22.994,5.122,0.576,0.223,0.012,0.283,1.332,33.7,31.84,1794600000.0,57140064000.0,25313000000.0,2390407200.0,0.094,23,Consumer Cyclical
2014-06-02,0.097,25.439,6.329,0.718,0.249,0.012,0.297,1.202,40.03,38.78,1766800000.0,68507673533.6,27799000000.0,2123693600.0,0.076,24,Consumer Cyclical
2015-06-01,0.107,28.439,7.325,0.7,0.258,0.01,0.275,2.157,56.25,54.01,1723400000.0,93080830553.2,30601000000.0,3717373800.0,0.121,25,Consumer Cyclical
2016-05-31,0.116,24.927,7.646,0.745,0.307,0.011,0.272,1.15,57.05,55.2,1697900000.0,93724081697.9,32376000000.0,1952585000.0,0.06,26,Consumer Cyclical
2017-05-31,0.123,23.068,7.883,0.875,0.342,0.012,0.267,1.529,61.3,59.0,1657800000.0,97810200000.0,34350000000.0,2534776200.0,0.074,27,Consumer Cyclical
2018-05-31,0.053,66.934,13.186,1.297,0.197,0.01,0.643,2.418,82.3,79.68,1623800000.0,129384384000.0,36397000000.0,3926348400.0,0.108,28,Consumer Cyclical
2019-05-31,0.103,32.915,14.67,1.624,0.446,0.01,0.331,3.028,86.78,83.95,1579700000.0,132615810260.9,39117000000.0,4783331600.0,0.122,29,Consumer Cyclical
2020-06-01,0.068,60.197,18.975,2.891,0.315,0.01,0.572,0.897,103.41,98.05,1558800000.0,152840344676.4,37403000000.0,1398243600.0,0.037,30,Consumer Cyclical
2021-05-31,0.129,42.433,19.034,1.956,0.449,0.007,0.286,3.79,160.78,154.49,1573000000.0,243012777865.0,44538000000.0,5961670000.0,0.134,31,Consumer Cyclical
2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.63,102.2,1578800000.0,161353360000.0,46710000000.0,0.0,0.0,32,Consumer Cyclical
