Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-06-30,0.095,30.497,8.646,1.287,0.283,0.013,0.389,1.379,39.15,38.28,2720600000.0,104147968750.0,35764000000.0,3751707400.0,0.105,47,Consumer Defensive,Household & Personal Products
1998-06-30,0.102,29.68,9.169,1.531,0.309,0.013,0.387,0.867,42.39,41.81,2683211679.0,112191788328.188,37154000000.0,2326344525.693,0.063,48,Consumer Defensive,Household & Personal Products
1999-06-30,0.099,31.978,9.98,1.663,0.312,0.014,0.432,1.022,46.14,45.28,2657454545.0,120332863615.781,38125000000.0,2715918544.99,0.071,49,Consumer Defensive,Household & Personal Products
2000-06-30,0.089,21.944,6.326,1.783,0.288,0.023,0.507,0.631,30.13,29.59,2626400000.0,77725025000.0,39951000000.0,1657258400.0,0.041,50,Consumer Defensive,Household & Personal Products
2001-07-02,0.074,31.64,7.698,1.863,0.243,0.021,0.665,1.276,36.44,35.55,2600600000.0,92451327919.52,39244000000.0,3318365600.0,0.085,51,Consumer Defensive,Household & Personal Products
2002-07-01,0.108,26.02,8.262,1.975,0.318,0.019,0.481,2.337,44.96,43.64,2594800000.0,113237070443.12,40238000000.0,6064047600.0,0.151,52,Consumer Defensive,Household & Personal Products
2003-06-30,0.12,21.939,7.029,1.7,0.32,0.02,0.433,2.783,46.15,43.88,2593200000.0,113776650000.0,43377000000.0,7216875600.0,0.166,53,Consumer Defensive,Household & Personal Products
2004-06-30,0.126,20.761,7.787,2.302,0.375,0.019,0.392,2.844,54.27,52.15,2580100000.0,134552218870.15,51407000000.0,7337804400.0,0.143,54,Consumer Defensive,Household & Personal Products
2005-06-30,0.128,19.284,8.007,2.52,0.415,0.02,0.376,2.6,58.17,55.63,2515600000.0,139942830767.16,56741000000.0,6540560000.0,0.115,55,Consumer Defensive,Household & Personal Products
2006-06-30,0.127,19.985,2.759,1.157,0.138,0.021,0.426,2.851,59.0,56.81,3054900000.0,173548873276.86,68222000000.0,8709519900.0,0.128,56,Consumer Defensive,Household & Personal Products
2007-07-02,0.135,19.33,2.994,1.067,0.155,0.021,0.407,3.321,64.96,63.27,3159000000.0,199869931579.5,76476000000.0,10491039000.0,0.137,57,Consumer Defensive,Household & Personal Products
2008-06-30,0.145,16.985,2.951,1.072,0.174,0.023,0.386,4.144,67.65,66.57,3080800000.0,205088855075.76,83503000000.0,12766835200.0,0.153,58,Consumer Defensive,Household & Personal Products
2009-06-30,0.17,12.523,2.667,1.137,0.213,0.03,0.375,3.904,57.83,56.23,2992427617.0,168264203407.696,79029000000.0,11682437416.768,0.148,59,Consumer Defensive,Household & Personal Products
2010-06-30,0.161,14.157,2.95,1.092,0.208,0.03,0.429,4.411,62.14,61.16,2948148148.0,180308740142.05,78938000000.0,13004281480.828,0.165,60,Consumer Defensive,Household & Personal Products
2011-06-30,0.143,14.615,2.549,1.04,0.174,0.033,0.489,3.54,62.48,61.49,2804000000.0,172417964766.8,82559000000.0,9926160000.0,0.12,61,Consumer Defensive,Household & Personal Products
2012-07-02,0.129,17.042,2.889,1.075,0.17,0.033,0.571,3.31,66.68,65.1,2815706806.0,183302508847.04,83680000000.0,9319989527.86,0.111,62,Consumer Defensive,Household & Personal Products
2013-07-01,0.134,19.911,3.309,1.037,0.166,0.029,0.576,3.88,82.56,80.44,2800000000.0,225232006720.0,84167000000.0,10864000000.0,0.129,63,Consumer Defensive,Household & Personal Products
2014-06-30,0.14,18.654,3.138,1.073,0.168,0.032,0.594,3.638,81.24,78.16,2778758950.0,217187809813.408,83062000000.0,10109125060.1,0.122,64,Consumer Defensive,Household & Personal Products
2015-06-30,0.092,30.956,3.489,1.064,0.113,0.033,1.036,3.863,79.82,77.39,2814400000.0,217806414311.36,76279000000.0,10872027200.0,0.143,65,Consumer Defensive,Household & Personal Products
2016-06-30,0.161,22.524,4.128,1.206,0.183,0.031,0.708,4.383,88.16,85.59,2765263158.0,236678863461.746,65299000000.0,12120148421.514,0.186,66,Consumer Defensive,Household & Personal Products
2017-06-30,0.236,15.553,4.32,1.171,0.278,0.03,0.472,3.546,92.32,90.21,2642413793.0,238372145888.358,65058000000.0,9369999309.978,0.144,67,Consumer Defensive,Household & Personal Products
2018-07-02,0.146,20.805,3.879,1.251,0.186,0.036,0.75,4.408,81.22,80.2,2529300000.0,202849852159.17,66832000000.0,11149154400.0,0.167,68,Consumer Defensive,Household & Personal Products
2019-07-01,0.058,83.041,6.857,1.431,0.083,0.023,1.924,4.426,121.99,120.41,2687586207.0,323612265128.939,67684000000.0,11895256552.182,0.176,69,Consumer Defensive,Household & Personal Products
2020-06-30,0.184,25.618,7.174,1.587,0.28,0.023,0.598,5.643,137.79,131.42,2539376218.0,333724817998.683,70950000000.0,14329699998.174,0.202,70,Consumer Defensive,Household & Personal Products
2021-06-30,0.188,24.996,7.711,1.567,0.308,0.023,0.578,6.198,146.32,142.23,2514235501.0,357599704496.017,76118000000.0,15583231635.198,0.205,71,Consumer Defensive,Household & Personal Products
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.23,138.91,2410300000.0,334814773000.0,80187000000.0,0.0,0.0,72,Consumer Defensive,Household & Personal Products
