Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24495000000.0,2493000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,63,Industrials
1998-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25687000000.0,2732000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,64,Industrials
1999-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23844000000.0,2700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,65,Industrials
2000-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26206000000.0,3520000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,66,Industrials
2001-12-31,0.069,10.071,2.332,-2.691,2.157,0.232,0.072,0.022,0.218,0.675,6802000000.0,22.41,20.76,20.755,940400000.0,19518182556.8,27897000000.0,4024000000.0,0.065,0.072,0.336,-0.271,0.0,0.46,429499488.0,0.144,67,Industrials
2002-12-31,0.079,8.39,2.245,-2.252,2.411,0.268,0.077,0.025,0.207,0.804,6981000000.0,22.06,19.86,19.855,944800000.0,18759244924.0,28212000000.0,4231000000.0,0.011,0.154,0.084,0.087,0.087,0.5,469093200.0,0.15,68,Industrials
2003-12-31,0.076,12.066,2.433,-3.249,1.899,0.202,0.068,0.019,0.226,0.661,9329000000.0,31.78,30.06,30.063,947600000.0,28487635310.8,31034000000.0,4476000000.0,0.1,0.056,0.034,0.15,0.25,0.57,541212264.0,0.144,69,Industrials
2004-12-31,0.074,11.282,2.245,-3.142,1.793,0.199,0.07,0.021,0.237,0.663,10111000000.0,34.41,32.1,32.096,980000000.0,31453743860.0,37445000000.0,5214000000.0,0.207,0.181,0.238,0.197,0.497,0.67,660618000.0,0.139,70,Industrials
2005-12-30,0.072,11.86,2.142,-3.34,1.657,0.181,0.067,0.023,0.271,0.618,13007000000.0,38.99,36.73,36.728,991000000.0,36396953491.0,42725000000.0,5804000000.0,0.141,0.101,0.173,0.247,0.866,0.84,837186890.0,0.136,71,Industrials
2006-12-29,0.078,11.064,2.387,-3.081,1.677,0.216,0.079,0.023,0.255,0.672,14146000000.0,44.73,42.13,42.133,980000000.0,41290746700.0,47829000000.0,6865000000.0,0.119,0.216,0.13,0.156,1.157,0.97,949610200.0,0.144,72,Industrials
2007-12-31,0.077,10.449,2.067,-2.862,1.513,0.198,0.077,0.024,0.256,0.673,16120000000.0,48.8,45.78,45.784,964000000.0,44135305568.0,54759000000.0,7899000000.0,0.145,0.132,0.085,0.154,1.291,1.1,1059166080.0,0.144,73,Industrials
2008-12-31,0.08,6.042,1.78,-1.61,2.484,0.295,0.083,0.043,0.258,0.692,15363000000.0,34.81,30.2,30.201,938000000.0,28328899130.0,58681000000.0,8582000000.0,0.072,0.11,0.184,0.151,1.293,1.3,1218086800.0,0.146,74,Industrials
2009-12-31,0.072,10.17,1.941,-2.65,1.732,0.191,0.069,0.035,0.354,0.721,16298000000.0,47.32,42.47,42.467,917000000.0,38942203237.0,52920000000.0,7373000000.0,-0.098,-0.183,-0.085,0.146,1.196,1.49,1363074650.0,0.139,75,Industrials
2010-12-31,0.08,10.641,2.176,-2.746,1.676,0.204,0.075,0.032,0.339,0.734,17721000000.0,55.74,51.25,51.246,908000000.0,46531428836.0,54326000000.0,8306000000.0,0.027,0.142,0.114,0.104,0.944,1.64,1489120000.0,0.153,76,Industrials
2011-12-30,0.086,8.75,1.991,-2.218,1.749,0.228,0.081,0.037,0.322,0.833,17943000000.0,55.52,48.84,48.842,892000000.0,43567097004.0,58190000000.0,9230000000.0,0.071,0.139,0.112,0.1,0.851,1.81,1611915360.0,0.159,77,Industrials
2012-12-31,0.089,9.786,1.937,-2.49,2.406,0.198,0.057,0.035,0.342,0.737,27801000000.0,61.46,56.07,56.073,895287958.0,50201483459.51,57708000000.0,9258000000.0,-0.008,0.03,-0.338,0.09,0.747,1.96,1756957853.18,0.16,78,Industrials
2013-12-31,0.091,11.366,2.041,-2.91,1.801,0.18,0.063,0.029,0.334,0.791,28168000000.0,77.3,72.17,72.171,901000000.0,65026234081.0,62626000000.0,10814000000.0,0.085,0.115,0.203,0.082,0.642,2.09,1885729930.0,0.173,79,Industrials
