Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.059,36.421,5.427,3.259,0.149,0.03,1.1,0.659,0.0,0.0,1828395000.0,53684935582.729,24856000000.0,1204912305.0,0.048,14,Communication Services,Telecom Services
1998-12-31,0.14,19.836,6.244,2.526,0.315,0.023,0.45,1.254,0.0,0.0,1956610000.0,79801316372.356,28777000000.0,2453588940.0,0.085,15,Communication Services,Telecom Services
1999-12-31,0.165,12.386,3.781,2.114,0.305,0.033,0.403,1.84,29.79,29.65,3409000000.0,101059858521.3,49489000000.0,6272560000.0,0.127,16,Communication Services,Telecom Services
2000-12-29,0.155,15.41,4.03,2.238,0.262,0.028,0.429,0.346,36.38,36.19,3392000000.0,122767848966.4,51476000000.0,1173632000.0,0.023,17,Communication Services,Telecom Services
2001-12-31,0.158,12.743,2.84,1.965,0.223,0.037,0.477,1.074,27.63,27.42,3366000000.0,92285345314.8,45908000000.0,3615084000.0,0.079,18,Communication Services,Telecom Services
2002-12-31,0.131,10.611,1.807,1.863,0.17,0.059,0.629,2.523,19.08,18.01,3330000000.0,59985273348.0,43138000000.0,8401590000.0,0.195,19,Communication Services,Telecom Services
2003-12-31,0.208,7.514,1.671,1.619,0.222,0.071,0.534,2.501,20.71,19.26,3318000000.0,63904079442.0,40843000000.0,8298318000.0,0.203,20,Communication Services,Telecom Services
2004-12-31,0.144,10.031,1.458,1.687,0.145,0.07,0.703,1.769,18.07,17.84,3310000000.0,59049996511.0,40787000000.0,5855390000.0,0.144,21,Communication Services,Telecom Services
2005-12-30,0.109,13.846,1.212,1.663,0.088,0.064,0.889,2.197,20.04,19.68,3368000000.0,66266161841.6,43862000000.0,7399496000.0,0.169,22,Communication Services,Telecom Services
2006-12-29,0.117,14.784,0.941,1.342,0.064,0.047,0.701,1.879,28.64,28.01,3882000000.0,108748778119.2,63055000000.0,7294278000.0,0.116,23,Communication Services,Telecom Services
2007-12-31,0.1,14.463,1.498,1.389,0.104,0.051,0.732,2.669,28.53,28.21,6127000000.0,172842489253.5,118928000000.0,16352963000.0,0.138,24,Communication Services,Telecom Services
2008-12-31,0.104,8.566,1.144,1.753,0.134,0.086,0.739,2.359,18.9,18.6,5927000000.0,110213544733.1,124028000000.0,13981793000.0,0.113,25,Communication Services,Telecom Services
2009-12-31,0.102,9.015,1.109,1.633,0.123,0.086,0.771,3.025,19.8,19.15,5900000000.0,113009068460.0,123018000000.0,17847500000.0,0.145,26,Communication Services,Telecom Services
2010-12-31,0.16,6.181,1.1,1.402,0.178,0.081,0.499,2.615,21.01,20.76,5913000000.0,122770674693.9,124280000000.0,15462495000.0,0.124,27,Communication Services,Telecom Services
2011-12-30,0.031,33.308,1.245,1.559,0.037,0.077,2.579,2.452,22.7,22.16,5928000000.0,131365202623.2,126723000000.0,14535456000.0,0.115,28,Communication Services,Telecom Services
2012-12-31,0.057,20.797,1.636,1.945,0.079,0.068,1.41,3.398,26.88,26.04,5801000000.0,151071356195.5,127434000000.0,19711798000.0,0.155,29,Communication Services,Telecom Services
2013-12-31,0.142,7.409,1.486,2.048,0.201,0.072,0.531,2.58,25.81,25.19,5368000000.0,135213595422.4,128752000000.0,13849440000.0,0.108,30,Communication Services,Telecom Services
2014-12-31,0.047,20.793,1.498,2.384,0.072,0.074,1.535,1.948,26.52,24.86,5205000000.0,129417369840.0,132447000000.0,10139340000.0,0.077,31,Communication Services,Telecom Services
2015-12-31,0.091,11.486,1.25,2.275,0.109,0.067,0.764,2.961,28.15,27.24,5628000000.0,153282233134.8,146801000000.0,16664508000.0,0.114,32,Communication Services,Telecom Services
2016-12-30,0.079,15.014,1.582,2.272,0.105,0.061,0.909,2.89,32.52,31.59,6168000000.0,194823085771.2,163786000000.0,17825520000.0,0.109,33,Communication Services,Telecom Services
2017-12-29,0.183,5.919,1.237,2.145,0.209,0.069,0.409,3.002,36.47,28.28,6164000000.0,174305262226.0,160546000000.0,18504328000.0,0.115,34,Communication Services,Telecom Services
2018-12-31,0.113,7.762,0.817,1.836,0.105,0.089,0.692,3.37,22.95,22.18,6778000000.0,150354878095.4,170756000000.0,22841860000.0,0.134,35,Communication Services,Telecom Services
2019-12-31,0.077,14.882,1.123,1.898,0.075,0.072,1.071,3.994,29.93,28.27,7319000000.0,206911009294.6,181193000000.0,29232086000.0,0.161,36,Communication Services,Telecom Services
2020-12-31,-0.03,-29.9,0.957,2.143,-0.032,0.097,-2.889,3.836,22.98,21.62,7157000000.0,154762016119.0,171760000000.0,27454252000.0,0.16,37,Communication Services,Telecom Services
2021-12-31,0.119,6.786,0.819,2.211,0.121,0.111,0.75,3.553,22.0,19.04,7157000000.0,136274896813.6,168864000000.0,25428821000.0,0.151,38,Communication Services,Telecom Services
