Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.113,5.57,0.849,3.602,0.152,0.042,0.235,3.785,20.6,23.06,170404106.0,3929618937.782,6219273000.0,644979541.21,0.104,6,Financial Services
1998-12-31,0.01,44.064,0.593,4.699,0.013,0.057,2.533,-0.064,12.55,16.07,244993939.0,3937055741.165,9108401000.0,-15679612.096,-0.002,7,Financial Services
1999-12-31,0.11,4.696,0.605,4.941,0.129,0.063,0.295,-0.978,11.72,16.95,231024931.0,3916371114.116,7569000000.0,-225942382.518,-0.03,8,Financial Services
2000-12-29,0.115,6.218,0.854,4.637,0.137,0.039,0.243,-3.047,22.81,28.21,218888889.0,6174426329.486,8608000000.0,-666954444.783,-0.077,9,Financial Services
2001-12-31,-0.122,-5.041,1.072,6.493,-0.213,0.045,-0.225,4.325,16.43,25.87,212000000.0,5484486545.618,8943000000.0,916900000.0,0.103,10,Financial Services
2002-12-31,0.024,19.639,0.745,5.947,0.038,0.059,1.161,0.296,11.32,19.82,216000000.0,4281278391.634,8918000000.0,63936000.0,0.007,11,Financial Services
2003-12-31,0.075,9.223,0.979,5.356,0.106,0.045,0.411,0.373,15.52,26.74,228000000.0,6096556366.543,8854000000.0,85044000.0,0.01,12,Financial Services
2004-12-31,0.042,15.454,0.696,4.274,0.045,0.044,0.683,8.616,16.26,24.26,608300000.0,14758441624.099,22934000000.0,5241112800.0,0.229,13,Financial Services
2005-12-30,0.067,12.964,0.943,4.075,0.073,0.03,0.387,5.342,24.49,31.09,676300000.0,21027234575.056,24365000000.0,3612794600.0,0.148,14,Financial Services
2006-12-29,0.168,5.792,0.97,3.526,0.167,0.029,0.167,6.948,28.95,35.47,687100000.0,24371553929.922,25090000000.0,4773970800.0,0.19,15,Financial Services
2007-12-31,0.177,4.765,0.824,3.329,0.173,0.034,0.161,8.099,26.06,33.59,652700000.0,21923734075.795,26017000000.0,5286217300.0,0.203,16,Financial Services
2008-12-31,0.119,5.681,0.656,3.335,0.115,0.043,0.245,5.262,28.44,27.85,596400000.0,16610992413.341,24477000000.0,3138256800.0,0.128,17,Financial Services
2009-12-31,0.147,5.941,0.785,2.996,0.132,0.032,0.191,7.387,38.01,37.57,572800000.0,21518488716.155,24680000000.0,4231273600.0,0.171,18,Financial Services
2010-12-31,0.128,6.299,0.795,3.129,0.126,0.033,0.209,6.409,42.94,42.52,476500000.0,20258931897.037,25112000000.0,3053888500.0,0.122,19,Financial Services
2011-12-30,0.056,13.278,0.774,3.273,0.058,0.035,0.466,5.216,46.05,45.54,415800000.0,18934122975.879,25446000000.0,2168812800.0,0.085,20,Financial Services
2012-12-31,0.096,9.763,0.95,3.131,0.097,0.029,0.281,8.364,63.37,62.51,386200000.0,24142924691.603,25740000000.0,3230176800.0,0.125,21,Financial Services
2013-12-31,0.14,6.85,1.015,3.187,0.148,0.029,0.198,10.305,68.74,67.95,370300000.0,25160881377.65,26191000000.0,3815941500.0,0.146,22,Financial Services
2014-12-31,0.136,7.964,1.184,3.15,0.149,0.025,0.197,10.9,87.89,86.78,338800000.0,29401569599.405,27162000000.0,3692920000.0,0.136,23,Financial Services
2015-12-31,0.128,8.349,1.217,3.245,0.146,0.026,0.215,11.056,93.66,92.44,310600000.0,28711240576.943,26800000000.0,3433993600.0,0.128,24,Financial Services
2016-12-30,0.109,9.922,1.288,3.317,0.13,0.025,0.251,14.585,104.87,103.8,288100000.0,29905421946.235,27625000000.0,4201938500.0,0.152,25,Financial Services
2017-12-29,0.071,18.044,1.563,3.361,0.087,0.021,0.382,13.63,135.66,134.42,276000000.0,37099346148.28,28902000000.0,3761880000.0,0.13,26,Financial Services
2018-12-31,0.083,12.341,1.36,3.553,0.11,0.026,0.323,16.38,117.84,116.44,267400000.0,31136465736.378,30282000000.0,4380012000.0,0.145,27,Financial Services
2019-12-31,0.083,12.594,1.273,3.245,0.101,0.026,0.322,20.019,128.91,127.01,260000000.0,33021599877.058,31581000000.0,5204940000.0,0.165,28,Financial Services
2020-12-31,0.084,12.463,1.151,2.999,0.092,0.026,0.319,25.716,135.44,132.59,253500000.0,33612260233.941,31981000000.0,6519006000.0,0.204,29,Financial Services
2021-12-31,0.105,11.489,1.456,3.17,0.127,0.021,0.237,28.694,169.36,165.97,253500000.0,42072822362.259,34816000000.0,7273929000.0,0.209,30,Financial Services
