Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2001-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2002-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2003-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980000000.0,0.0,0.0,0,Financial Services
2004-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services
2005-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664605000.0,0.0,0.0,0,Financial Services
2006-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2948126000.0,0.0,0.0,0,Financial Services
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589796000.0,0.0,0.0,0,Financial Services
2008-09-30,0.128,45.073,1.714,0.655,0.038,0.003,0.116,0.043,15.43,13.56,2672000000.0,36239000000.0,6263000000.0,114896000.0,0.018,0,Financial Services
2009-09-30,0.34,14.521,1.473,0.392,0.101,0.009,0.135,0.14,21.5,18.94,1804000000.0,34167760902.0,6911000000.0,252560000.0,0.037,1,Financial Services
2010-09-30,0.368,22.109,2.622,0.336,0.119,0.006,0.124,0.73,20.69,19.54,3356000000.0,65576243020.4,8065000000.0,2449880000.0,0.304,2,Financial Services
2011-09-30,0.397,21.469,2.964,0.315,0.138,0.005,0.116,1.068,24.42,23.77,3296000000.0,78362398681.6,9188000000.0,3520128000.0,0.383,3,Financial Services
2012-10-01,0.206,52.253,4.055,0.448,0.078,0.005,0.278,1.43,35.22,34.58,3240000000.0,112031098056.0,10421000000.0,4633200000.0,0.445,4,Financial Services
2013-09-30,0.423,26.644,4.938,0.338,0.185,0.007,0.173,0.98,51.79,50.96,2604000000.0,132686824687.2,11778000000.0,2551920000.0,0.217,5,Financial Services
2014-09-30,0.428,27.286,5.413,0.407,0.198,0.007,0.185,2.652,59.95,59.16,2508000000.0,148379546238.0,12702000000.0,6651216000.0,0.524,6,Financial Services
2015-09-30,0.456,29.987,6.359,0.348,0.212,0.006,0.186,2.522,79.02,77.58,2446000000.0,189760684402.8,13880000000.0,6168812000.0,0.444,7,Financial Services
2016-09-30,0.397,32.745,5.961,0.946,0.182,0.007,0.225,2.117,83.18,82.22,2386000000.0,196176922863.2,15082000000.0,5051162000.0,0.335,8,Financial Services
2017-10-02,0.365,37.863,7.742,1.075,0.204,0.006,0.236,3.688,114.32,110.04,2305000000.0,253642202074.5,18358000000.0,8500840000.0,0.463,9,Financial Services
2018-10-01,0.5,28.86,8.742,1.036,0.303,0.006,0.186,5.357,134.82,132.76,2239301000.0,297289588443.844,20609000000.0,11995935457.0,0.582,10,Financial Services
2019-09-30,0.526,32.486,11.315,1.092,0.348,0.006,0.188,5.494,180.9,179.25,2189301000.0,392432204250.0,22977000000.0,12028019694.0,0.523,11,Financial Services
2020-09-30,0.497,35.792,10.741,1.235,0.3,0.007,0.245,4.534,189.32,181.71,2140301000.0,388914109050.017,21846000000.0,9704124734.0,0.444,12,Financial Services
2021-09-30,0.511,36.645,12.002,1.205,0.328,0.006,0.227,6.817,219.51,211.77,2130301000.0,451133851930.294,24105000000.0,14522261917.0,0.602,13,Financial Services
