Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.081,26.31,4.646,2.882,0.177,0.036,0.953,1.431,41.83,41.62,1551800000.0,64588678824.72,30193900000.0,2220625800.0,0.074,13,Communication Services,Telecom Services
1998-12-31,0.094,28.26,6.182,3.068,0.219,0.028,0.802,1.65,54.11,53.96,1553000000.0,83798895087.4,31565900000.0,2562450000.0,0.081,14,Communication Services,Telecom Services
1999-12-31,0.127,19.153,4.866,2.786,0.254,0.03,0.571,0.95,52.53,51.82,1553000000.0,80481856519.7,33174000000.0,1475350000.0,0.044,15,Communication Services,Telecom Services
2000-12-29,0.182,11.146,2.331,1.92,0.209,0.034,0.375,-0.666,48.74,48.46,2713000000.0,131484199894.6,64707000000.0,-1806858000.0,-0.028,16,Communication Services,Telecom Services
2001-12-31,0.006,287.573,2.046,2.123,0.007,0.037,10.715,0.886,41.64,41.28,2710000000.0,111865860734.0,67190000000.0,2401060000.0,0.036,17,Communication Services,Telecom Services
2002-12-31,0.06,22.364,2.797,3.394,0.125,0.046,1.03,3.707,33.95,33.43,2729000000.0,91224536881.1,67625000000.0,10116403000.0,0.15,18,Communication Services,Telecom Services
2003-12-31,0.045,29.691,2.73,3.232,0.092,0.046,1.378,3.845,33.4,33.15,2756000000.0,91358744318.4,67752000000.0,10596820000.0,0.156,19,Communication Services,Telecom Services
2004-12-31,0.11,11.35,2.366,2.751,0.208,0.048,0.544,3.091,32.91,32.09,2770000000.0,88883309044.0,71283000000.0,8562070000.0,0.12,20,Communication Services,Telecom Services
2005-12-30,0.098,10.728,2.0,2.563,0.186,0.056,0.598,2.418,28.97,28.69,2766000000.0,79352104719.0,75112000000.0,6688188000.0,0.089,21,Communication Services,Telecom Services
2006-12-29,0.07,16.924,2.161,2.306,0.128,0.045,0.761,2.406,37.12,36.02,2912000000.0,104879255062.4,88144000000.0,7006272000.0,0.079,22,Communication Services,Telecom Services
2007-12-31,0.059,18.738,2.045,2.058,0.109,0.046,0.865,2.83,36.1,35.7,2898000000.0,103455186156.0,93469000000.0,8201340000.0,0.088,23,Communication Services,Telecom Services
2008-12-31,0.066,12.417,1.914,2.96,0.154,0.063,0.777,3.293,31.45,28.01,2849000000.0,79814005086.2,97354000000.0,9381757000.0,0.096,24,Communication Services,Telecom Services
2009-12-31,0.034,21.471,1.884,3.434,0.088,0.067,1.444,5.11,28.3,27.59,2841000000.0,78390841665.3,107808000000.0,14517510000.0,0.135,25,Communication Services,Telecom Services
2010-12-31,0.024,39.558,2.614,3.451,0.066,0.054,2.123,5.973,37.99,35.63,2830000000.0,100832903113.0,106565000000.0,16903590000.0,0.159,26,Communication Services,Telecom Services
2011-12-30,0.022,44.322,2.962,4.019,0.067,0.052,2.311,4.778,42.33,37.61,2833000000.0,106549131699.8,110875000000.0,13536074000.0,0.122,27,Communication Services,Telecom Services
2012-12-31,0.008,142.194,3.752,4.213,0.026,0.042,5.977,3.987,44.69,43.61,2853000000.0,124419331711.8,115846000000.0,11374911000.0,0.098,28,Communication Services,Telecom Services
2013-12-31,0.095,11.873,3.515,4.601,0.296,0.043,0.516,7.548,66.31,47.63,2866000000.0,136507583152.6,120550000000.0,21632568000.0,0.179,29,Communication Services,Telecom Services
2014-12-31,0.076,18.873,14.771,17.81,0.783,0.043,0.811,3.293,48.38,45.71,3974000000.0,181651536423.4,127079000000.0,13086382000.0,0.103,30,Communication Services,Telecom Services
2015-12-31,0.136,11.417,12.426,13.806,1.088,0.042,0.478,2.745,51.06,49.97,4085000000.0,204127454902.0,131620000000.0,11213325000.0,0.085,31,Communication Services,Telecom Services
2016-12-30,0.104,15.345,8.943,9.774,0.583,0.046,0.706,1.255,50.08,49.37,4080000000.0,201429595512.0,125980000000.0,5120400000.0,0.041,32,Communication Services,Telecom Services
2017-12-29,0.239,7.313,5.108,4.93,0.698,0.043,0.315,1.83,54.41,53.9,4084000000.0,220127606126.0,126034000000.0,7473720000.0,0.059,33,Communication Services,Telecom Services
2018-12-31,0.119,14.355,4.194,3.954,0.292,0.044,0.629,3.937,54.66,54.0,4128000000.0,222912000000.0,130863000000.0,16251936000.0,0.124,34,Communication Services,Telecom Services
2019-12-31,0.146,12.75,4.001,3.728,0.314,0.041,0.52,4.086,59.99,59.36,4138000000.0,245631682482.8,131868000000.0,16907868000.0,0.128,35,Communication Services,Telecom Services
2020-12-31,0.139,12.733,3.341,3.644,0.262,0.045,0.575,5.181,60.11,54.75,4140000000.0,226665000000.0,128292000000.0,21449340000.0,0.167,36,Communication Services,Telecom Services
2021-12-31,0.165,9.925,2.678,3.465,0.27,0.048,0.473,-6.846,53.6,52.9,4148000000.0,219429206222.0,133613000000.0,-28397208000.0,-0.213,37,Communication Services,Telecom Services
