Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,9.08,0.0,0.0,13363000000.0,0.0,0.0,0,Healthcare,Pharmaceutical Retailers
1998-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87,15.73,0.0,0.0,15307000000.0,0.0,0.0,0,Healthcare,Pharmaceutical Retailers
1999-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,18.2,0.0,0.0,17838800000.0,0.0,0.0,0,Healthcare,Pharmaceutical Retailers
2000-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.35,27.34,0.0,0.0,21206900000.0,0.0,0.0,0,Healthcare,Pharmaceutical Retailers
2001-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49,24.9,0.0,0.0,24623000000.0,0.0,0.0,0,Healthcare,Pharmaceutical Retailers
2002-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.79,22.36,0.0,0.0,28681100000.0,0.0,0.0,0,Healthcare,Pharmaceutical Retailers
2003-09-01,0.036,26.71,4.364,0.585,0.163,0.005,0.13,0.679,31.63,30.64,1024908276.0,31403188961.695,32505400000.0,695912719.404,0.021,0,Healthcare,Pharmaceutical Retailers
2004-08-31,0.036,26.987,4.461,0.622,0.165,0.005,0.13,0.696,37.48,35.83,1024512865.0,36708297797.073,37508200000.0,713060954.04,0.019,0,Healthcare,Pharmaceutical Retailers
2005-08-31,0.037,28.41,4.984,0.643,0.175,0.005,0.138,0.131,44.02,43.45,1019669630.0,44304646239.236,42201600000.0,133576721.53,0.003,0,Healthcare,Pharmaceutical Retailers
2006-08-31,0.037,25.617,4.433,0.693,0.173,0.006,0.15,1.091,45.3,44.39,1010252562.0,44845110621.028,47409000000.0,1102185545.142,0.023,0,Healthcare,Pharmaceutical Retailers
2007-08-31,0.038,23.11,4.248,0.739,0.184,0.007,0.152,0.572,47.5,47.24,998633559.0,47175451024.837,53762000000.0,571218395.748,0.011,0,Healthcare,Pharmaceutical Retailers
2008-09-01,0.037,14.22,2.383,0.741,0.168,0.012,0.174,0.822,31.41,30.96,990609865.0,30669280528.851,59034300000.0,814281309.03,0.014,0,Healthcare,Pharmaceutical Retailers
2009-08-31,0.032,18.492,2.58,0.749,0.14,0.012,0.222,2.206,39.58,37.47,990000000.0,37095301188.0,63335000000.0,2183940000.0,0.034,0,Healthcare,Pharmaceutical Retailers
2010-08-31,0.031,15.728,2.284,0.825,0.145,0.016,0.259,2.781,35.42,33.5,981700000.0,32886950000.0,67420000000.0,2730107700.0,0.04,0,Healthcare,Pharmaceutical Retailers
2011-08-31,0.038,11.09,2.027,0.849,0.183,0.021,0.238,2.655,34.59,32.89,915100000.0,30097638450.94,72184000000.0,2429590500.0,0.034,0,Healthcare,Pharmaceutical Retailers
2012-08-31,0.03,14.985,1.748,0.835,0.117,0.025,0.37,3.294,37.92,36.44,874700000.0,31874066775.42,71633000000.0,2881261800.0,0.04,0,Healthcare,Pharmaceutical Retailers
2013-09-02,0.034,20.773,2.616,0.824,0.126,0.02,0.424,3.265,56.03,53.8,946000000.0,50894799243.2,72217000000.0,3088690000.0,0.043,0,Healthcare,Pharmaceutical Retailers
2014-09-01,0.025,29.239,2.761,0.812,0.094,0.021,0.621,2.924,62.05,59.27,953100000.0,56490237476.55,76392000000.0,2786864400.0,0.036,0,Healthcare,Pharmaceutical Retailers
2015-08-31,0.041,20.543,2.809,1.215,0.137,0.016,0.328,4.23,85.98,83.1,1043200000.0,86689918435.2,103444000000.0,4412736000.0,0.043,1,Healthcare,Pharmaceutical Retailers
2016-08-31,0.036,20.925,2.922,1.419,0.14,0.018,0.375,6.022,89.67,80.62,1083100000.0,87319524924.37,117351000000.0,6522428200.0,0.056,2,Healthcare,Pharmaceutical Retailers
2017-08-31,0.034,20.328,3.018,1.374,0.148,0.021,0.423,5.496,80.29,77.22,1073500000.0,82895671288.2,118214000000.0,5899956000.0,0.05,3,Healthcare,Pharmaceutical Retailers
2018-08-31,0.038,14.38,2.778,1.593,0.193,0.024,0.346,6.961,73.69,72.9,991000000.0,72243901486.5,131537000000.0,6898351000.0,0.052,4,Healthcare,Pharmaceutical Retailers
2019-09-02,0.029,12.8,2.168,1.848,0.169,0.032,0.413,4.224,56.42,55.31,921500000.0,50968166290.1,136866000000.0,3892416000.0,0.028,5,Healthcare,Pharmaceutical Retailers
2020-08-31,0.003,69.272,1.531,3.2,0.022,0.055,3.831,4.674,36.51,35.92,879400000.0,31588046417.08,139537000000.0,4110315600.0,0.029,6,Healthcare,Pharmaceutical Retailers
2021-08-31,0.019,16.007,1.737,2.454,0.109,0.04,0.636,4.829,0.0,0.0,864800000.0,40688839308.16,132509000000.0,4176119200.0,0.032,7,Healthcare,Pharmaceutical Retailers
