Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-01-31,0.029,19.831,3.535,1.31,0.178,0.008,0.157,0.715,13.38,13.19,0.0,0.0,106146000000.0,0.0,0.0,25,Consumer Defensive,Discount Stores
1998-02-02,0.03,30.018,5.72,1.453,0.191,0.006,0.173,0.994,23.76,23.44,0.0,0.0,119299000000.0,0.0,0.0,26,Consumer Defensive,Discount Stores
1999-02-01,0.032,43.047,9.033,1.368,0.21,0.004,0.156,0.862,43.14,42.72,0.0,0.0,139208000000.0,0.0,0.0,27,Consumer Defensive,Discount Stores
2000-01-31,0.033,39.121,8.442,1.723,0.216,0.004,0.16,0.452,49.42,49.0,0.0,0.0,166809000000.0,0.0,0.0,28,Consumer Defensive,Discount Stores
2001-01-31,0.033,34.699,6.969,1.493,0.201,0.005,0.17,0.35,49.38,48.92,0.0,0.0,193295000000.0,0.0,0.0,29,Consumer Defensive,Discount Stores
2002-01-31,0.03,42.04,7.989,1.377,0.19,0.004,0.187,0.42,63.29,62.81,0.0,0.0,219812000000.0,0.0,0.0,30,Consumer Defensive,Discount Stores
2003-01-31,0.033,26.484,5.412,1.407,0.204,0.006,0.165,0.717,48.68,48.06,4430000000.0,212905804430.0,246525000000.0,3176310000.0,0.013,31,Consumer Defensive,Discount Stores
2004-02-02,0.035,29.13,6.046,1.405,0.208,0.006,0.173,1.304,61.64,60.45,4363000000.0,263743354363.0,258681000000.0,5689352000.0,0.022,32,Consumer Defensive,Discount Stores
2005-01-31,0.036,21.55,4.479,1.434,0.208,0.01,0.216,0.505,53.24,51.95,4259000000.0,221255054259.0,287989000000.0,2150795000.0,0.007,33,Consumer Defensive,Discount Stores
2006-01-31,0.036,16.783,3.545,1.599,0.211,0.013,0.224,0.734,46.59,45.06,4183000000.0,188485984183.0,315654000000.0,3070322000.0,0.01,34,Consumer Defensive,Discount Stores
2007-01-31,0.032,17.643,3.233,1.456,0.183,0.014,0.248,1.08,49.58,47.81,4164000000.0,199080844164.0,348650000000.0,4497120000.0,0.013,35,Consumer Defensive,Discount Stores
2008-01-31,0.034,15.838,3.121,1.531,0.197,0.018,0.282,1.332,50.96,49.59,4066000000.0,201632940000.0,378799000000.0,5415912000.0,0.014,36,Consumer Defensive,Discount Stores
2009-02-02,0.033,14.712,3.02,2.503,0.205,0.019,0.28,2.957,51.9,50.05,3939000000.0,189229563939.0,405607000000.0,11647623000.0,0.029,37,Consumer Defensive,Discount Stores
2010-02-01,0.035,14.453,2.928,1.382,0.203,0.02,0.294,3.638,55.64,53.59,3866000000.0,207178940000.0,408214000000.0,14064508000.0,0.034,38,Consumer Defensive,Discount Stores
2011-01-31,0.039,11.593,2.772,1.596,0.239,0.023,0.271,2.993,53.99,51.97,3656000000.0,190002323656.0,421849000000.0,10942408000.0,0.026,39,Consumer Defensive,Discount Stores
2012-01-31,0.035,12.964,2.854,1.65,0.22,0.025,0.322,3.105,60.71,58.82,3460000000.0,203517200000.0,446950000000.0,10743300000.0,0.024,40,Consumer Defensive,Discount Stores
2013-01-31,0.036,14.239,3.171,1.59,0.223,0.022,0.315,3.762,74.05,71.74,3374000000.0,242050753252.0,469162000000.0,12692988000.0,0.027,41,Consumer Defensive,Discount Stores
2014-01-31,0.034,15.241,3.202,1.618,0.21,0.025,0.383,3.102,76.93,74.7,3269000000.0,244194290193.0,476294000000.0,10140438000.0,0.021,42,Consumer Defensive,Discount Stores
2015-02-02,0.034,16.573,3.332,1.447,0.201,0.023,0.378,5.074,86.79,83.96,3230000000.0,271190796770.0,485651000000.0,16389020000.0,0.034,43,Consumer Defensive,Discount Stores
2016-02-01,0.03,14.505,2.646,1.44,0.182,0.03,0.428,4.962,69.17,66.46,3207000000.0,213137216793.0,482130000000.0,15913134000.0,0.033,44,Consumer Defensive,Discount Stores
2017-01-31,0.028,16.083,2.82,1.52,0.175,0.028,0.456,6.743,72.97,70.76,3101000000.0,219426766202.0,485873000000.0,20910043000.0,0.043,45,Consumer Defensive,Discount Stores
2018-01-31,0.02,26.959,3.414,1.589,0.127,0.023,0.621,6.106,91.03,88.77,2995000000.0,265866141015.0,500343000000.0,18287470000.0,0.037,46,Consumer Defensive,Discount Stores
2019-01-31,0.013,43.004,3.957,1.926,0.092,0.021,0.915,5.944,100.57,97.93,2929000000.0,286836970000.0,514405000000.0,17409976000.0,0.034,47,Consumer Defensive,Discount Stores
2020-01-31,0.028,20.623,4.11,2.075,0.199,0.02,0.406,5.105,111.0,107.68,2850000000.0,306888000000.0,523964000000.0,14549250000.0,0.028,48,Consumer Defensive,Discount Stores
2021-02-01,0.024,27.264,4.552,2.038,0.167,0.017,0.453,9.117,146.96,141.2,2831000000.0,368341412831.0,559151000000.0,25810227000.0,0.046,49,Consumer Defensive,Discount Stores
2022-01-31,0.024,27.804,4.566,1.837,0.164,0.016,0.45,3.967,141.45,136.16,2792000000.0,380158731168.0,572754000000.0,11075864000.0,0.019,50,Consumer Defensive,Discount Stores
