Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-12-31,0.07,17.394,3.197,-3.846,1.087,0.184,0.088,0.03,0.514,0.75,0.0,30.47,29.66,29.656,4961876833.0,147150659828.656,120279000000.0,18272000000.0,0.03,0.126,0.223,0.04,0.069,0.89,4415078006.0,0.152,17,Energy
1998-12-31,0.063,26.873,3.758,-5.836,1.033,0.14,0.069,0.024,0.648,0.565,0.0,35.42,35.13,35.125,4873563218.0,171183908032.25,100697000000.0,14326000000.0,-0.163,-0.247,-0.63,-0.034,0.032,0.84,4108998620.36,0.142,18,Energy
1999-12-31,0.049,34.437,4.056,-10.6,1.152,0.118,0.055,0.022,0.77,0.54,0.0,39.68,39.44,39.438,6907017544.0,272395504391.5,160883000000.0,19454000000.0,0.598,0.242,0.544,0.041,0.075,0.87,5993080982.58,0.121,19,Energy
2000-12-29,0.076,16.075,3.85,-4.978,1.014,0.24,0.119,0.022,0.36,0.788,0.0,42.01,40.99,40.99,6949019608.0,284840327629.959,232748000000.0,36941000000.0,0.447,1.24,2.48,0.04,0.126,0.9,6266486902.1,0.159,20,Energy
2001-12-31,0.072,17.35,3.498,-5.312,0.884,0.202,0.107,0.024,0.421,0.867,0.0,39.64,38.69,38.69,6869955157.0,265798558154.375,213488000000.0,32278000000.0,-0.083,-0.135,-0.11,0.023,0.113,0.93,6379165560.58,0.151,21,Energy
2002-12-31,0.056,19.663,3.021,-5.942,1.009,0.154,0.075,0.028,0.557,0.856,0.0,34.3,33.23,33.23,6781065089.0,225334792907.47,204506000000.0,26269000000.0,-0.042,-0.252,-0.238,0.003,0.074,0.93,6309374201.41,0.128,22,Energy
2003-12-31,0.087,12.59,3.012,-3.725,0.901,0.239,0.123,0.026,0.323,0.91,0.0,42.39,40.79,40.79,6638888889.0,270800284421.199,246738000000.0,41563000000.0,0.207,0.877,0.591,0.111,0.235,1.06,7040807222.34,0.168,23,Energy
2004-12-31,0.085,13.113,3.264,-3.785,0.88,0.249,0.13,0.021,0.281,1.021,0.0,54.13,51.27,51.27,6478260870.0,332140434804.9,298035000000.0,51008000000.0,0.208,0.178,0.827,0.049,0.245,1.08,6974949130.9,0.171,24,Energy
2005-12-30,0.097,10.957,3.56,-3.063,0.842,0.325,0.173,0.019,0.207,1.213,0.0,67.68,63.11,63.11,6272569444.0,395861863883.409,370680000000.0,69685000000.0,0.244,0.426,0.201,0.086,0.3,1.2,7521375294.61,0.188,25,Energy
2006-12-29,0.105,11.136,3.864,-2.935,0.924,0.347,0.18,0.017,0.193,1.171,0.0,79.17,74.39,74.39,5913173653.0,439880982133.496,377635000000.0,78818000000.0,0.019,0.093,-0.014,0.082,0.374,1.26,7477976796.79,0.209,26,Energy
2007-12-31,0.1,11.587,3.864,-2.849,0.953,0.334,0.168,0.016,0.188,1.217,0.0,91.44,85.28,85.28,5517663043.0,470546298789.377,404552000000.0,82724000000.0,0.071,0.028,0.083,0.071,0.467,1.36,7528740868.91,0.204,27,Energy
2008-12-31,0.095,8.708,3.486,-1.998,0.978,0.4,0.198,0.02,0.178,1.155,0.0,82.59,76.48,76.48,5149000000.0,393795535447.0,477359000000.0,94129000000.0,0.18,0.114,0.104,0.133,0.496,1.53,7875910400.0,0.197,28,Energy
2009-12-31,0.064,16.148,2.816,-3.477,1.067,0.174,0.083,0.026,0.416,0.74,0.0,66.64,64.43,64.43,4832000000.0,311325760000.0,303443000000.0,34947000000.0,-0.364,-0.574,-0.853,0.061,0.513,1.68,8094469760.0,0.115,29,Energy
2010-12-31,0.082,12.668,2.628,-2.758,1.02,0.207,0.101,0.022,0.279,0.64,0.0,80.59,78.99,78.99,4885000000.0,385866140230.0,372544000000.0,52280000000.0,0.228,0.58,2.622,0.048,0.459,1.74,8489055300.0,0.14,30,Energy
2011-12-30,0.087,10.141,2.697,-2.201,1.103,0.266,0.124,0.022,0.22,0.662,0.0,88.09,85.49,85.49,4870699881.0,416396123085.29,471140000000.0,72358000000.0,0.265,0.348,0.131,0.065,0.436,1.88,9160714922.19,0.154,31,Energy
2012-12-31,0.099,9.35,2.53,-1.928,0.978,0.271,0.134,0.024,0.225,0.695,0.0,92.74,90.67,90.67,4628000000.0,419620750744.0,453123000000.0,92140000000.0,-0.038,0.093,-0.101,0.178,0.579,2.18,10070898240.0,0.203,32,Energy
2013-12-31,0.077,12.753,2.388,-2.512,0.956,0.187,0.094,0.026,0.334,0.527,0.0,95.04,93.99,93.99,4420624152.0,415494455205.232,420836000000.0,74034000000.0,-0.071,-0.274,-0.487,0.128,0.572,2.44,10802856065.21,0.176,33,Energy
2014-12-31,0.083,11.503,2.145,-2.193,0.966,0.186,0.093,0.031,0.356,0.505,0.0,88.5,87.42,87.42,4278947368.0,374065570352.665,394105000000.0,68118000000.0,-0.064,-0.002,0.082,0.099,0.628,2.71,11596032946.23,0.173,34,Energy
2015-12-31,0.062,20.221,1.912,-3.78,0.936,0.095,0.048,0.037,0.749,0.437,0.0,78.73,77.85,77.85,4194805195.0,326565576041.14,259488000000.0,39924000000.0,-0.342,-0.503,-0.683,0.066,0.657,2.88,12082926623.94,0.154,35,Energy
2016-12-30,0.036,45.138,2.115,-8.388,0.935,0.047,0.024,0.035,1.588,0.526,0.0,85.74,84.86,84.86,4170212766.0,353884259492.973,218608000000.0,30195000000.0,-0.158,-0.515,0.536,0.036,0.613,2.97,12385948936.3,0.138,36,Energy
2017-12-29,0.083,18.738,1.968,-3.554,0.822,0.105,0.057,0.035,0.66,0.498,0.0,87.53,86.78,86.78,4256000000.0,369335675744.0,237162000000.0,39030000000.0,0.085,1.514,1.477,0.023,0.401,3.04,12926748800.0,0.165,37,Energy
2018-12-31,0.075,14.697,1.597,-2.775,0.77,0.109,0.06,0.045,0.662,0.486,0.0,73.01,72.29,72.29,4237000000.0,306292734237.0,279332000000.0,49883000000.0,0.178,0.057,0.121,0.066,0.324,3.25,13783172850.0,0.179,38,Energy
2019-12-31,0.056,19.13,1.431,-3.609,0.854,0.075,0.04,0.053,1.022,0.47,0.0,65.52,64.79,64.79,4234000000.0,274320864234.0,255583000000.0,20452000000.0,-0.085,-0.312,-0.674,0.063,0.28,3.43,14539005580.0,0.08,39,Energy
2020-12-31,-0.126,-8.533,1.218,1.624,1.073,-0.143,-0.067,0.078,-0.662,1.215,0.0,45.86,44.84,44.84,4274285714.0,191658971415.76,178574000000.0,19095000000.0,-0.301,-2.565,-1.488,0.005,0.207,3.5,14949399770.43,0.107,40,Energy
2021-12-31,0.083,13.968,1.909,-2.661,0.968,0.137,0.068,0.046,0.648,0.692,0.0,76.87,75.28,75.28,4274285714.0,321768224275.634,276692000000.0,52230000000.0,0.549,2.027,14.792,0.004,0.169,3.46,14801338513.3,0.189,41,Energy
