Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-09-26,-0.1476,-1.998,1.7399,2.5275,-0.8708,0.0,0.0,0.0,0.23,0.15,0.1479,14118944000.0,2087895319.776,7081000000.0,0.0,0.0,17,Technology,0.0,0.0
1998-09-25,0.052,15.162,2.8533,1.6121,0.1882,0.0,0.0,0.0,0.42,0.32,0.317,14781088000.0,4685072776.832,5941000000.0,0.0,0.0,18,Technology,0.0,0.0
1999-09-27,0.098,17.7458,3.436,0.6627,0.1936,0.0,0.0,0.0,0.75,0.67,0.6652,16033584000.0,10665203371.536,6134000000.0,0.0,0.0,19,Technology,0.0,0.0
2000-10-02,0.0985,7.9748,1.5262,0.6564,0.1914,0.0,0.0,0.0,0.41,0.34,0.3449,18175808000.0,6268218201.728,7983000000.0,0.0,0.0,20,Technology,0.0,0.0
2001-10-01,-0.0047,-243.726,1.5544,0.536,-0.0064,0.0,0.0,66000000.0,0.43,0.31,0.3148,19354328000.0,6093148895.288,5363000000.0,0.0,0.0,21,Technology,0.0,0.0
2002-09-30,0.0113,85.2599,1.3533,0.538,0.0159,0.0,0.0,85000000.0,0.39,0.28,0.2787,19881232000.0,5541893420.0,5742000000.0,0.0,0.0,22,Technology,0.0,0.0
2003-09-29,0.0111,118.1196,1.93,0.6138,0.0163,0.0,0.0,85000000.0,0.57,0.4,0.4036,20195336000.0,8150251944.856,6207000000.0,0.0,0.0,23,Technology,0.0,0.0
2004-09-27,0.0333,64.0185,3.4809,0.5859,0.0544,0.0,0.0,80000000.0,0.99,0.85,0.8491,20809040000.0,17669101527.28,8279000000.0,0.0,0.0,24,Technology,0.0,0.0
2005-09-26,0.0958,34.3904,6.1494,0.5471,0.1788,0.0,0.0,69000000.0,2.18,2.03,2.0282,22636292000.0,45911244342.488,13931000000.0,0.0,0.0,25,Technology,0.0,0.0
2006-10-02,0.103,34.1273,6.7988,0.7233,0.1992,0.0,0.0,38000000.0,3.14,2.87,2.8721,23633624000.0,67879147736.232,19315000000.0,0.0,0.0,26,Technology,0.0,0.0
2007-10-01,0.1456,45.7746,11.0121,0.7442,0.2406,0.0,0.0,38000000.0,7.0,6.61,6.6104,24208660000.0,160027880249.888,24006000000.0,0.0,0.0,27,Technology,0.0,0.0
2008-09-29,0.1488,16.7947,3.8605,0.8817,0.2299,0.0,0.0,207000000.0,3.77,3.29,3.2889,24684576000.0,81185817859.104,32479000000.0,0.0,0.0,28,Technology,0.0,0.0
2009-09-28,0.1561,31.7002,6.4968,0.9349,0.2049,0.0,-0.0,206000000.0,7.44,7.23,7.2314,25004448000.0,180817892896.6368,36537000000.0,0.0,0.0,29,Technology,0.0,0.0
2010-09-27,0.2148,20.0441,5.8772,0.5732,0.2932,0.0,-0.0,741000000.0,11.47,11.03,11.03,25464908000.0,280877927600.5276,65225000000.0,0.0,0.0,30,Technology,0.0,0.0
2011-09-26,0.2395,14.4679,4.8951,0.5189,0.3383,0.0,-0.0,896000000.0,14.87,14.49,14.4918,25879224000.0,375036176054.064,108249000000.0,0.0,0.0,31,Technology,0.0,0.0
2012-10-01,0.2667,13.5296,4.7765,0.4894,0.353,0.0044,0.0596,1135000000.0,21.98,21.57,21.5714,26174904000.0,564630064895.3832,156508000000.0,0.0949,2484207788.832,32,Technology,1.0,0.2
2013-09-30,0.2167,13.2385,3.9686,0.6754,0.2998,0.0215,0.2852,1577000000.0,19.47,18.92,18.9243,25909268000.0,490314395091.7213,170910000000.0,0.4068,10539372037.04,33,Technology,3.2866,0.8573
2014-09-29,0.2161,16.1897,5.7344,1.0784,0.3542,0.0174,0.2816,4616000000.0,26.85,26.28,26.2775,24342288000.0,639654477788.4575,182795000000.0,0.4573,11131046718.336,34,Technology,0.1241,0.8821
2015-09-28,0.2285,12.4219,5.557,1.4337,0.4474,0.0174,0.2165,5116000000.0,29.74,28.82,28.82,23013684000.0,663254365975.8948,233715000000.0,0.5015,11540626088.112,35,Technology,0.0967,0.9015
2016-09-26,0.2119,14.0881,5.0187,1.5083,0.3562,0.0189,0.2659,5414000000.0,30.35,29.41,29.4125,21883280000.0,643641981753.312,215639000000.0,0.5558,12163799304.72,36,Technology,0.1083,0.9231
2017-10-02,0.2109,17.9897,6.4889,1.7999,0.3607,0.0147,0.2641,5717000000.0,42.65,41.68,41.68,20868968000.0,869818592500.6904,229234000000.0,0.6127,12786333217.728,37,Technology,0.1024,0.7436
2018-10-01,0.2241,17.6669,9.8158,2.4133,0.5556,0.013,0.2303,0.0,54.37,53.06,53.06,19821508000.0,1051729242230.1112,265595000000.0,0.6898,13672479788.24,38,Technology,0.1258,0.1115
2019-09-30,0.2124,20.8135,12.7097,2.741,0.6106,0.0123,0.2555,0.0,64.91,62.26,62.2625,18471336000.0,1150071572477.0688,260174000000.0,0.7658,14145312166.128,39,Technology,0.1102,0.1087
2020-09-28,0.2091,34.7732,30.5539,3.957,0.8787,0.0071,0.2453,0.0,117.24,115.05,115.05,17352119000.0,1996361344741.5688,274515000000.0,0.8169,14174165165.745,40,Technology,0.0667,0.1027
2021-09-27,0.2588,26.2197,39.3482,4.5635,1.5007,0.0058,0.1528,0.0,150.73,148.64,148.64,16701272000.0,2482477060059.237,365817000000.0,0.8621,14398367006.464,41,Technology,0.0553,0.0921
