Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.1183,17.0712,3.5501,11.5343,0.208,0.0124,0.2125,0.0,27.42,24.42,24.4172,1392000000.0,33988774416.0,16836000000.0,0.3028,421508736.0,20,Financial Services,0.0,0.0
1998-12-31,0.1181,19.0944,4.0087,11.4469,0.2099,0.0101,0.1934,0.0,33.02,30.02,30.0155,1362000000.0,40881104190.0,18133000000.0,0.3032,412961124.0,21,Financial Services,0.0013,0.0
1999-12-31,0.1224,25.0169,6.1334,13.7119,0.2452,0.0065,0.1632,0.0,51.74,46.17,46.1721,1341000000.0,61916749893.0,20227000000.0,0.3001,402440805.0,22,Financial Services,-0.0102,0.0
2000-12-30,0.1259,19.8038,4.7628,12.2166,0.2405,0.0076,0.1498,0.0,48.33,41.94,41.9356,1327000000.0,55648571721.0,22321000000.0,0.3187,422973288.0,23,Financial Services,0.062,0.0
2001-12-31,0.0622,31.2045,3.3986,11.553,0.1089,0.0104,0.3234,0.0,36.35,30.9,30.8981,1324000000.0,40909071160.0,21081000000.0,0.3214,425480640.0,24,Financial Services,0.0085,0.0
2002-12-31,0.1175,15.0188,2.8941,10.345,0.1927,0.0107,0.161,0.0,38.18,30.39,30.3904,1320000000.0,40115347800.0,22725000000.0,0.3252,429228360.0,25,Financial Services,0.0118,0.0147
2003-12-31,0.1197,19.5053,3.8023,10.4208,0.1949,0.0081,0.1577,0.0,49.84,45.38,45.3756,1284000000.0,58262210052.0,24961000000.0,0.3676,471970152.0,26,Financial Services,0.1304,0.0405
2004-12-31,0.122,16.8899,3.6321,11.0248,0.215,0.0092,0.1553,0.0,54.08,46.22,46.2158,1259000000.0,58185741301.0,28248000000.0,0.4252,535357016.0,27,Financial Services,0.1567,0.0739
2005-12-29,0.1599,17.3954,6.1574,9.8029,0.354,0.0092,0.1599,0.0,58.46,52.68,52.68,1233000000.0,64954440000.0,23347000000.0,0.4847,597580848.0,28,Financial Services,0.1399,0.0895
2006-12-30,0.1431,18.9663,6.689,11.1637,0.3527,0.0094,0.1783,0.0,64.65,58.01,58.01,1212000000.0,70308117576.0,25900000000.0,0.5453,660896328.0,29,Financial Services,0.125,0.1128
2007-12-31,0.1447,13.8409,5.0349,12.5851,0.3638,0.0128,0.1775,1508000000.0,57.42,47.34,47.34,1173000000.0,55529820000.0,27731000000.0,0.606,710781696.0,30,Financial Services,0.1113,0.1327
2008-12-31,0.0952,7.1532,1.6305,9.6472,0.2279,0.0433,0.3097,2301000000.0,34.61,16.73,16.73,1154000000.0,19306420000.0,28365000000.0,0.7244,835967986.0,31,Financial Services,0.1954,0.1457
2009-12-31,0.0869,20.6511,3.0534,7.6136,0.1479,0.021,0.4338,2328000000.0,51.04,37.66,37.66,1168000000.0,43986880000.0,24312000000.0,0.7909,923724480.0,32,Financial Services,0.0918,0.1327
2010-12-31,0.1458,12.8434,3.2105,8.0599,0.25,0.0166,0.2137,2639000000.0,58.04,43.86,43.86,1188000000.0,52105681188.0,27639000000.0,0.7281,864954288.0,33,Financial Services,-0.0794,0.0888
2011-12-29,0.1647,11.7251,3.0788,7.1588,0.2626,0.0149,0.1745,3172000000.0,70.36,49.12,49.12,1178000000.0,57863358822.0,29962000000.0,0.7319,862164064.0,34,Financial Services,0.0052,0.0649
2012-12-31,0.1419,15.0244,3.5656,7.1087,0.2373,0.0134,0.2012,3181000000.0,79.04,59.33,59.33,1135000000.0,67339552270.0,31582000000.0,0.795,902349970.0,35,Financial Services,0.0862,0.0598
2013-12-31,0.1625,17.4889,4.8073,6.867,0.2749,0.01,0.1752,3198000000.0,104.73,86.62,86.62,1082000000.0,93722843246.0,32970000000.0,0.8662,937228400.0,36,Financial Services,0.0896,0.0387
2014-12-31,0.1716,14.3281,4.0788,6.6962,0.2847,0.0123,0.1769,3024000000.0,102.05,80.69,80.69,1045000000.0,84321052090.0,33548000000.0,0.9925,1037148915.0,37,Financial Services,0.1458,0.0495
2015-12-31,0.2082,10.3518,2.5853,6.7968,0.2497,0.0219,0.227,2749000000.0,76.31,53.5,53.5,999000000.0,53446500000.0,32757000000.0,1.1716,1170478350.0,38,Financial Services,0.1805,0.1015
2016-12-29,0.2128,13.3325,3.517,6.7505,0.2638,0.0167,0.2232,2927000000.0,104.2,77.28,77.28,933000000.0,72102239067.0,33337000000.0,1.2906,1204107408.0,39,Financial Services,0.1016,0.1207
2017-12-30,0.112,31.8571,4.782,8.939,0.1501,0.0144,0.4572,3009000000.0,135.97,98.71,98.71,883000000.0,87160929117.0,33471000000.0,1.4214,1255117392.0,40,Financial Services,0.1013,0.1238
2018-12-31,0.2398,12.6984,3.9428,7.4613,0.3105,0.0151,0.1913,3072000000.0,134.68,102.67,102.67,856000000.0,87885518288.0,40315000000.0,1.5503,1327071352.0,41,Financial Services,0.0907,0.124
2019-12-31,0.2188,16.3199,4.7812,7.5961,0.293,0.0129,0.2104,3315000000.0,162.05,133.22,133.22,828000000.0,110306160828.0,43556000000.0,1.7185,1422949464.0,42,Financial Services,0.1085,0.1165
2020-12-31,0.0869,29.853,4.0719,7.3261,0.1364,0.0157,0.4702,3852000000.0,157.06,116.26,116.26,805000000.0,93589301610.0,36087000000.0,1.8253,1469352010.0,43,Financial Services,0.0621,0.0928
2021-12-31,0.1902,16.8712,6.181,7.5909,0.3664,0.0106,0.1797,3804000000.0,204.36,177.06,177.06,789000000.0,139700338422.0,43147000000.0,1.8768,1480823604.0,44,Financial Services,0.0282,0.0782
