Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,-0.0039,-259.5562,3.5668,1.9355,-0.0137,0.0121,-3.1292,2395000000.0,52.18,47.63,47.625,970100000.0,46201012500.0,45800000000.0,0.5763,559090942.3,63,Industrials,0.0,0.0
1998-12-31,0.0199,29.9458,2.7232,1.9776,0.0909,0.0168,0.5036,2312000000.0,36.95,34.69,34.6875,966900000.0,33539343750.0,56154000000.0,0.5828,563501584.8,64,Industrials,0.0113,0.0
1999-12-31,0.0398,17.7244,3.5705,2.1536,0.2014,0.0131,0.2326,0.0,48.28,44.63,44.625,917100000.0,40925587500.0,57993000000.0,0.5847,536185266.3,65,Industrials,0.0033,0.0
2000-12-30,0.0415,22.679,4.3794,2.8138,0.1931,0.0104,0.2368,0.0,57.33,56.15,56.15,859500000.0,48260926719.0,51321000000.0,0.584,501913620.0,66,Industrials,-0.0012,0.0
2001-12-31,0.0486,11.5486,3.016,3.4659,0.2612,0.0178,0.2059,0.0,40.78,40.0,40.0,816200000.0,32648000000.0,58198000000.0,0.712,581134400.0,67,Industrials,0.2192,0.0
2002-12-31,0.0091,49.7913,3.1831,5.8012,0.0639,0.0233,1.1606,2760000000.0,33.58,30.66,30.66,799000000.0,24497340000.0,54069000000.0,0.7144,570788022.0,68,Industrials,0.0034,0.0472
2003-12-31,0.0142,46.5239,4.1042,5.5162,0.0882,0.0171,0.7967,1913000000.0,47.54,41.75,41.75,800100000.0,33404175000.0,50485000000.0,0.7139,571211392.5,69,Industrials,-0.0007,0.0448
2004-12-31,0.0357,21.52,3.5695,3.7814,0.1659,0.0161,0.3462,1948000000.0,53.89,49.92,49.92,807000000.0,40285438386.0,52457000000.0,0.8037,648595584.0,70,Industrials,0.1258,0.0693
2005-12-29,0.0469,21.1626,4.9218,4.4307,0.2326,0.0151,0.3188,1924000000.0,75.89,69.03,69.03,788500000.0,54430154211.5,54845000000.0,1.0424,821895340.5,71,Industrials,0.297,0.1289
2006-12-30,0.036,29.935,13.9916,9.9293,0.4674,0.0144,0.4316,3047000000.0,93.94,86.0,86.0,771000000.0,66306000000.0,61530000000.0,1.2384,954806400.0,72,Industrials,0.188,0.1227
