Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.0776,15.037,2.8022,1.0303,0.1864,0.0305,0.4585,0.0,38.15,37.38,37.375,1309981842.0,48960571344.75,41950000000.0,1.1401,1493497198.2458,76,Energy,0.0,0.0
1998-12-31,0.0438,36.3691,2.8589,1.1451,0.0786,0.0328,1.1919,0.0,37.69,37.25,37.25,1307333718.0,48698180995.5,30557000000.0,1.2218,1597300336.6524,77,Energy,0.0717,0.0
1999-12-31,0.0379,16.693,1.7757,1.4695,0.1064,0.0493,0.8229,0.0,42.8,41.28,41.2812,1313000000.0,54202281250.0,85713000000.0,2.0351,2672091552.0,78,Energy,0.6657,0.0
2000-12-30,0.0649,6.9141,1.566,1.2753,0.2265,0.0522,0.3609,0.0,42.71,40.93,40.93,1305282000.0,53425192260.0,119130000000.0,2.1365,2788795035.972,79,Energy,0.0498,0.0
2001-12-31,0.0309,26.7575,2.5694,1.2655,0.096,0.0325,0.8692,0.0,42.55,41.55,41.55,2117419355.0,87978772082.8306,106245000000.0,1.3504,2859310161.5081,80,Energy,-0.3679,0.0
2002-12-31,0.0114,60.0,2.1491,1.4382,0.0358,0.044,2.6422,0.0,33.5,32.1,32.1,2115887850.0,67919995753.2243,99049000000.0,1.4124,2988479999.34,81,Energy,0.0459,0.093
2003-12-31,0.0594,12.3888,2.4679,1.2373,0.1992,0.0343,0.4246,0.0,45.23,43.17,43.175,2074605452.0,89571088315.4946,121761000000.0,1.4807,3071932605.5454,82,Energy,0.0484,0.0884
2004-12-31,0.0858,8.527,2.5127,1.057,0.2947,0.0288,0.2459,0.0,58.11,53.72,53.72,2115555556.0,113647646583.8756,155300000000.0,1.5471,3273052160.6876,83,Energy,0.0448,-0.0358
2005-12-29,0.0711,9.2325,2.0769,1.0045,0.225,0.0298,0.2749,4636000000.0,65.44,60.75,60.75,2142705167.0,130169338895.25,198200000000.0,1.8103,3879046299.0784,84,Energy,0.1701,-0.0117
2006-12-30,0.0816,9.3202,2.3171,0.9209,0.2486,0.0275,0.2565,4623000000.0,77.87,73.07,73.07,2185969388.0,159728783181.16,210118000000.0,2.0094,4392541537.4819,85,Energy,0.11,0.0838
