Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.0926,30.3873,6.539,6.9751,0.2152,0.0137,0.4158,0.0,203.39,198.72,198.718,1254375000.0,249266837311.875,88540000000.0,2.7225,3414990780.0,105,Industrials,0.0,0.0
1998-12-31,0.0931,35.4615,7.6388,7.2478,0.2154,0.0119,0.4209,0.0,272.43,268.91,268.9102,1225875000.0,329650350267.0,99820000000.0,3.2,3922835550.375,106,Industrials,0.1754,0.0
1999-12-31,0.0967,39.4101,8.8413,7.4821,0.2243,0.0109,0.428,23106000000.0,350.55,343.59,343.5898,1229250000.0,422357702646.0,110832000000.0,3.7451,4603702281.75,107,Industrials,0.1703,0.0
2000-12-30,0.0981,34.5607,7.9406,6.8842,0.2298,0.0123,0.4241,23512000000.0,362.39,355.77,355.7692,1237125000.0,440131003715.25,129853000000.0,4.376,5413623123.375,108,Industrials,0.1685,0.0
2001-12-31,0.1087,25.7384,5.8663,7.245,0.2279,0.0181,0.4646,28287000000.0,291.01,283.69,283.6923,1241500000.0,352204017763.0,125913000000.0,5.1348,6374840543.5,109,Industrials,0.1734,0.0
2002-12-31,0.1072,15.2768,3.3855,7.9438,0.2216,0.0332,0.5069,39138000000.0,180.63,173.46,173.4615,1243375000.0,215677733593.875,131698000000.0,5.7589,7160437473.0,110,Industrials,0.1215,0.1618
2003-12-31,0.1118,21.5958,4.0917,7.1044,0.1895,0.0236,0.5095,47487000000.0,268.8,258.69,258.6923,1252375000.0,323979796764.75,134187000000.0,6.1051,7645854574.5,111,Industrials,0.0601,0.1388
2004-12-31,0.1089,21.5452,3.2416,5.6551,0.1505,0.0232,0.4989,71191000000.0,286.79,275.0,275.0,1300000000.0,357500000000.0,152363000000.0,6.38,8294000000.0,112,Industrials,0.045,0.1137
2005-12-29,0.1092,20.4661,3.0605,5.0838,0.1495,0.0279,0.5719,69611000000.0,260.13,253.31,253.3077,1321250000.0,334682789376.25,149702000000.0,7.0673,9337734866.25,113,Industrials,0.1077,0.1015
2006-12-30,0.1275,17.2298,3.1953,5.1405,0.1855,0.029,0.5003,73339000000.0,288.18,277.15,277.1538,1294875000.0,358879577275.125,163391000000.0,8.0373,10407363581.25,114,Industrials,0.1373,0.0943
2007-12-31,0.1286,15.4033,2.9602,5.8133,0.1922,0.0336,0.5175,81116000000.0,281.14,268.77,268.7692,1272750000.0,342076032391.5,172738000000.0,9.0307,11493787788.0,115,Industrials,0.1236,0.0947
