Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2001-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2002-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2003-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2004-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2005-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2006-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2007-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2008-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148979000000.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30672000000.0,0.0,0.0,0.0,0.0,0.0,104589000000.0,0.0,0.0,0,Consumer Cyclical,0.0,0.0
2010-12-31,0.0455,8.895,1.5174,2.812,0.1706,0.0286,0.2547,31778000000.0,50.64,36.6,36.6,1500000000.0,54899997000.0,135592000000.0,1.0468,1570140000.0,0,Consumer Cyclical,1.0,0.2
2011-12-29,0.0612,4.0498,0.9763,2.7705,0.2411,0.0246,0.0997,29019000000.0,34.32,24.23,24.23,1536000000.0,37217280000.0,150276000000.0,0.5961,915545088.0,1,Consumer Cyclical,-0.4306,0.1139
2012-12-31,0.0406,7.0708,1.2072,3.1018,0.1707,0.0215,0.1517,1973000000.0,39.7,27.94,27.94,1566000000.0,43754041566.0,152256000000.0,0.6007,940711860.0,2,Consumer Cyclical,0.0077,0.1154
2013-12-31,0.0344,9.5993,1.2045,2.8908,0.1255,0.0329,0.3156,1560000000.0,51.21,36.84,36.84,1393000000.0,51318120000.0,155427000000.0,1.212,1688366148.0,3,Consumer Cyclical,1.0176,0.3189
2014-12-31,0.0253,13.2578,1.4766,3.9951,0.1114,0.0605,0.8015,1427000000.0,44.43,32.62,32.62,1605000000.0,52355098395.0,155929000000.0,1.9735,3167483550.0,4,Consumer Cyclical,0.6283,0.4446
2015-12-31,0.0636,4.8528,1.179,3.8674,0.243,0.0477,0.2314,1371000000.0,39.25,29.64,29.64,1586000000.0,47009038414.0,152356000000.0,1.4138,2242331208.0,5,Consumer Cyclical,-0.2836,0.1879
2016-12-29,0.0567,5.9349,1.2763,4.0518,0.2151,0.0423,0.2512,1868000000.0,44.75,36.33,36.33,1540000000.0,55948203080.0,166380000000.0,1.5368,2366608860.0,6,Consumer Cyclical,0.087,0.2914
2017-12-30,-0.0265,-16.1893,1.7872,5.0365,-0.1104,0.0357,-0.5779,1857000000.0,53.29,42.7,42.7,1465000000.0,62555501465.0,145588000000.0,1.5244,2233231350.0,7,Consumer Cyclical,-0.0081,0.2882
2018-12-31,0.0545,6.8825,1.4194,4.7494,0.2062,0.0406,0.2798,1861000000.0,53.86,39.09,39.09,1411000000.0,55155990000.0,147049000000.0,1.5871,2239333194.0,8,Consumer Cyclical,0.0411,0.0929
2019-12-31,0.0491,7.0502,1.1357,4.3568,0.1611,0.0495,0.3491,1859000000.0,46.72,33.33,33.33,1424000000.0,47461922848.0,137237000000.0,1.6498,2349365040.0,9,Consumer Cyclical,0.0395,-0.0248
2020-12-31,0.0525,11.2999,1.6128,4.1199,0.1427,0.0092,0.1041,1910000000.0,64.63,50.68,50.68,1433000000.0,72624440000.0,122485000000.0,0.4663,668144848.0,10,Consumer Cyclical,-0.7174,-0.1116
2021-12-31,0.0789,7.281,1.221,2.9945,0.1677,0.0025,0.0186,1914000000.0,64.06,50.24,50.24,1452000000.0,72948480000.0,127004000000.0,0.1256,182371200.0,11,Consumer Cyclical,-0.7306,-0.2751
