Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services,0.0,0.0
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Financial Services,0.0,0.0
1999-11-26,0.1068,14.5369,3.8803,23.6911,0.2669,0.0027,0.0395,0.0,87.42,81.0,81.0,475883756.0,38546584236.0,25363000000.0,0.2187,104075777.4372,0,Financial Services,1.0,0.0
2000-11-24,0.0929,16.4956,3.0606,16.5293,0.1855,0.0043,0.0708,0.0,106.8,98.81,98.8125,484600000.0,47884537500.0,33000000000.0,0.4249,205898301.8,1,Financial Services,0.9428,0.0
2001-11-30,0.1461,20.58,2.6076,16.1257,0.1267,0.0049,0.1,0.0,106.83,93.27,93.27,509700000.0,47539717470.9,15811000000.0,0.457,232944623.1,2,Financial Services,0.0755,0.0
2002-11-29,0.0925,16.8675,1.8764,17.7115,0.1112,0.0064,0.1079,0.0,77.65,67.92,67.92,495600000.0,33661151008.8,22854000000.0,0.4347,215431372.8,3,Financial Services,-0.0488,0.3939
2003-11-28,0.1272,16.6873,2.3181,17.6667,0.1389,0.007,0.1165,0.0,112.45,97.94,97.94,488400000.0,47833896976.8,23623000000.0,0.6856,334837272.0,4,Financial Services,0.5772,0.5093
2004-11-26,0.1526,11.7116,2.1262,20.1882,0.1815,0.0093,0.1092,0.0,113.27,104.35,104.35,489500000.0,51079324021.0,29839000000.0,0.9705,475037722.5,5,Financial Services,0.4155,0.3924
2005-11-25,0.1297,11.3855,2.2875,24.2412,0.2009,0.008,0.0908,0.0,149.57,128.11,128.11,478100000.0,61249391478.1,43391000000.0,1.0249,489995128.0,6,Financial Services,0.0561,0.2151
2006-11-24,0.1375,9.9076,2.6404,22.4226,0.2665,0.008,0.0791,0.0,212.11,198.09,198.09,449000000.0,88942408204.0,69353000000.0,1.5847,711539280.0,7,Financial Services,0.5462,0.3092
2007-11-30,0.2522,7.9119,2.1442,24.9937,0.271,0.0091,0.0716,0.0,239.38,211.94,211.94,433000000.0,91770020866.0,45987000000.0,1.9287,835107182.0,8,Financial Services,0.2171,0.3624
2008-11-28,0.0433,14.9192,0.5382,12.7418,0.0361,0.0245,0.3661,0.0,10.92,74.91,75.97,437000000.0,33198890437.0,53579000000.0,1.8353,802023915.0,9,Financial Services,-0.0484,0.2373
2009-12-31,0.3122,5.6921,1.0774,11.0053,0.1893,0.0289,0.1647,3543000000.0,223.46,148.72,148.72,512300000.0,76189256512.3,42875000000.0,4.298,2201869498.4,10,Financial Services,1.3419,0.4226
2010-12-31,0.2133,10.4955,1.1335,10.781,0.108,0.0165,0.1727,3495000000.0,235.18,161.77,161.77,542000000.0,87679342168.0,39161000000.0,2.6692,1446709110.0,11,Financial Services,-0.379,0.3356
2011-12-29,0.1542,12.9591,0.8179,12.1179,0.0631,0.0481,0.6238,3802000000.0,216.49,109.73,109.73,524600000.0,57564359573.8,28811000000.0,5.278,2768845619.8,12,Financial Services,0.9774,0.4218
2012-12-31,0.2339,9.768,0.9643,11.3957,0.0987,0.0149,0.1453,0.0,293.6,147.15,147.15,496200000.0,73015827022.8,31955000000.0,2.1925,1087935867.0,13,Financial Services,-0.5846,0.2615
2013-12-31,0.2523,9.7214,0.9961,10.6164,0.1025,0.0167,0.1619,0.0,295.55,165.84,165.84,471300000.0,78160390114.8,31865000000.0,2.7695,1305278546.4,14,Financial Services,0.2632,0.3238
2014-12-31,0.2647,9.3334,0.9556,9.3414,0.1024,0.0184,0.1715,0.0,297.93,172.41,172.41,458900000.0,79118950835.6,32027000000.0,3.1723,1455788661.6,15,Financial Services,0.1454,0.0845
2015-12-31,0.1947,11.9225,0.8362,8.9321,0.0701,0.0232,0.2763,0.0,328.87,161.56,161.56,448900000.0,72524283102.2,31244000000.0,3.7482,1682563388.8,16,Financial Services,0.1815,0.1966
2016-12-29,0.2637,13.513,1.1505,8.8991,0.0851,0.0171,0.2306,0.0,518.67,233.9,233.9,427400000.0,99968857435.6,28053000000.0,3.9997,1709467506.0,17,Financial Services,0.0671,0.0145
2017-12-30,0.1451,25.1998,1.3133,10.1472,0.0521,0.0164,0.4127,0.0,542.97,268.94,268.94,401600000.0,108006304803.2,29533000000.0,4.4106,1771303385.6,18,Financial Services,0.1027,0.152
2018-12-31,0.313,7.4611,0.8653,9.3321,0.116,0.0232,0.1731,0.0,541.21,202.48,202.48,385400000.0,78035790458.4,33416000000.0,4.6975,1810430374.4,19,Financial Services,0.065,0.1123
2019-12-31,0.2317,10.7157,1.005,10.0006,0.0938,0.0232,0.2485,4196000000.0,603.51,244.13,244.13,371600000.0,90718709858.0,36546000000.0,5.6638,2104674025.6,20,Financial Services,0.2057,0.1244
2020-12-31,0.2123,10.2173,1.0074,11.1235,0.0986,0.0242,0.247,4332000000.0,708.44,271.17,271.17,356400000.0,96644992633.2,44559000000.0,6.5623,2338808709.6,21,Financial Services,0.1586,0.1198
2021-12-31,0.3646,5.5592,1.0934,12.3,0.1967,0.0227,0.126,0.0,1100.04,347.01,347.01,346600000.0,120273669466.0,59339000000.0,7.8771,2730212218.2,22,Financial Services,0.2004,0.1465
