Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-29,0.146,27.9714,7.4755,0.7358,0.2673,0.0123,0.3442,0.0,34.48,33.72,33.7188,2674493927.0,90180592101.0312,22629000000.0,0.4148,1109262403.1868,53,Healthcare,0.0,0.0
1998-12-28,0.1293,37.185,8.37,0.9287,0.2251,0.0115,0.4266,0.0,41.16,41.47,41.4688,2695154185.0,111764675109.2188,23657000000.0,0.4769,1285332506.5974,54,Healthcare,0.1497,0.0
1999-12-28,0.1517,28.8611,7.4178,0.7987,0.257,0.0123,0.3549,0.0,42.61,42.41,42.4062,2778000000.0,117804562500.0,27471000000.0,0.5216,1449124254.0,55,Healthcare,0.0937,0.0
2000-12-30,0.1647,26.5507,6.776,0.6653,0.2552,0.0135,0.3592,0.0,47.03,45.8,45.8,2782608696.0,127443475494.1913,29139000000.0,0.6183,1720486956.7368,56,Healthcare,0.1854,0.0
2001-12-31,0.1717,30.5882,7.1545,0.5882,0.2339,0.0118,0.3612,0.0,58.44,57.2,57.2,3031016043.0,173374120690.6161,33004000000.0,0.675,2045814588.3833,57,Healthcare,0.0917,0.0
2002-12-30,0.1817,24.5542,7.1368,0.7868,0.2907,0.0147,0.3609,4653000000.0,54.01,53.04,53.04,2998636364.0,159047675745.1964,36298000000.0,0.7797,2338000789.3744,58,Healthcare,0.1551,0.1351
2003-12-29,0.1719,22.2685,5.9647,0.7962,0.2679,0.0171,0.3815,5390000000.0,55.09,53.28,53.28,2973966942.0,158452955695.7931,41862000000.0,0.9111,2709545593.2529,59,Healthcare,0.1685,0.1389
2004-12-28,0.1797,23.0957,6.1774,0.676,0.2675,0.0165,0.3821,5863000000.0,68.52,65.42,65.42,2964808362.0,193957757112.4233,47348000000.0,1.0794,3200303090.1937,60,Healthcare,0.1847,0.1571
2005-12-28,0.2061,16.6524,4.5779,0.5322,0.2749,0.0219,0.3643,5990000000.0,62.94,57.54,57.54,2974571429.0,171156842999.2314,50514000000.0,1.2601,3748334796.5401,61,Healthcare,0.1674,0.1535
2006-12-30,0.2073,17.6569,4.9637,0.7945,0.2811,0.0219,0.386,13340000000.0,67.78,66.39,66.39,2939627660.0,195161877407.7723,53324000000.0,1.4539,4274045179.6081,62,Healthcare,0.1538,0.1659
2007-12-31,0.1731,16.6118,4.0556,0.8688,0.2441,0.0266,0.4416,14123000000.0,65.67,62.97,62.97,2881743869.0,181463414312.6739,61095000000.0,1.675,4826926744.0627,63,Healthcare,0.1521,0.1653
2008-12-29,0.2031,12.4287,3.7858,0.9974,0.3046,0.0312,0.388,13719000000.0,61.37,57.54,57.54,2811900000.0,161796728811.9,63747000000.0,1.7952,5048057851.2,64,Healthcare,0.0718,0.146
