Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Consumer Defensive,0.0,0.0
1998-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24140000000.0,0.0,0.0,0,Consumer Defensive,0.0,0.0
1999-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23430000000.0,0.0,0.0,0,Consumer Defensive,0.0,0.0
2000-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26532000000.0,0.0,0.0,0,Consumer Defensive,0.0,0.0
2001-12-31,0.0556,30.3419,2.4322,1.3766,0.0802,0.0039,0.1196,0.0,35.6,35.5,35.5,1608547009.0,57103418819.5,33875000000.0,0.1384,222703333.396,0,Consumer Defensive,1.0,0.0
2002-12-31,0.1142,15.2959,2.0097,1.2104,0.1314,0.018,0.2758,0.0,30.1,29.98,29.98,1731632653.0,51914346936.94,29723000000.0,0.5396,934458244.8649,1,Consumer Defensive,2.8988,0.7798
2003-12-31,0.1121,16.0249,1.9524,1.078,0.1218,0.0196,0.3133,0.0,32.51,32.21,32.21,1729353234.0,55702465937.7868,31010000000.0,0.6313,1091768366.2759,2,Consumer Defensive,0.1699,0.8137
2004-12-31,0.0828,21.3205,1.8996,1.0035,0.0891,0.0225,0.4803,0.0,33.43,33.26,33.26,1708333333.0,56819163238.9133,32168000000.0,0.7483,1278431249.7506,3,Consumer Defensive,0.1853,0.8508
2005-12-29,0.0772,19.2308,1.7104,0.9474,0.0889,0.0284,0.546,0.0,30.19,30.0,30.0,1687179487.0,50615384610.0,34113000000.0,0.852,1437476922.924,4,Consumer Defensive,0.1386,0.8785
2006-12-30,0.0891,18.7258,2.0067,0.9462,0.1072,0.0273,0.5105,25553000000.0,34.98,34.83,34.83,1645161290.0,57300971021.0226,34356000000.0,0.9509,1564316419.0481,5,Consumer Defensive,0.1161,0.7017
2007-12-31,0.0695,17.9573,1.704,1.491,0.0949,0.0352,0.6324,31193000000.0,29.81,29.45,29.45,1579268293.0,46509452808.1183,37241000000.0,1.0366,1637132683.2555,6,Consumer Defensive,0.0901,0.14
2008-12-31,0.0687,14.4166,1.8839,1.8414,0.1307,0.0398,0.5733,27581000000.0,28.88,28.05,28.05,1491000000.0,41822548509.0,42201000000.0,1.1164,1664537490.0,7,Consumer Defensive,0.077,0.1214
2009-12-31,0.0748,13.5324,1.5799,1.5745,0.1167,0.0419,0.5667,28764000000.0,29.08,27.66,27.66,1478000000.0,40881480000.0,40386000000.0,1.159,1712934012.0,8,Consumer Defensive,0.0382,0.092
2010-12-31,0.0836,12.727,1.4612,1.6562,0.1148,0.0415,0.5287,37856000000.0,31.98,30.53,30.53,1715000000.0,52358951715.0,49207000000.0,1.267,2172896425.0,9,Consumer Defensive,0.0932,0.0829
2011-12-29,0.0649,19.1062,1.9135,1.6614,0.1002,0.0303,0.5792,37297000000.0,39.3,38.18,38.18,1765000000.0,67387700000.0,54365000000.0,1.1569,2041847310.0,10,Consumer Defensive,-0.0869,0.0423
2012-12-31,0.0865,16.2735,1.5296,1.3386,0.094,0.0418,0.6797,25801000000.0,30.25,27.73,27.73,1777000000.0,49276210000.0,35015000000.0,1.1591,2059745578.0,11,Consumer Defensive,0.0019,0.0247
2013-12-31,0.1109,14.9215,1.8045,1.2364,0.1209,0.0161,0.2409,25597000000.0,34.43,32.93,32.93,1774000000.0,58417820000.0,35299000000.0,0.5302,940526902.0,12,Consumer Defensive,-0.5426,-0.0992
2014-12-31,0.0638,27.2852,2.1474,1.404,0.0787,0.0162,0.4414,23389000000.0,36.2,35.24,35.24,1691000000.0,59590843382.0,34244000000.0,0.5709,965371608.0,13,Consumer Defensive,0.0768,-0.0915
2015-12-31,0.2452,9.5962,2.4895,1.2403,0.2594,0.0145,0.1387,20664000000.0,44.26,43.1,43.1,1618000000.0,69735796764.0,29636000000.0,0.625,1011169100.0,14,Consumer Defensive,0.0948,-0.0912
2016-12-29,0.064,41.6715,2.7476,1.4436,0.0659,0.0158,0.6594,20276000000.0,45.55,44.43,44.43,1556000000.0,69133080000.0,25923000000.0,0.702,1092302664.0,15,Consumer Defensive,0.1232,-0.0492
2017-12-30,0.1128,22.9591,2.5693,1.4139,0.1119,0.0179,0.41,21085000000.0,44.84,44.34,44.34,1513000000.0,67086420000.0,25896000000.0,0.7937,1200846918.0,16,Consumer Defensive,0.1306,-0.0234
2018-12-31,0.1303,19.0737,2.5154,1.4439,0.1319,0.0211,0.402,20725000000.0,44.56,43.81,43.81,1472000000.0,64488321472.0,25938000000.0,0.9244,1360703552.0,17,Consumer Defensive,0.1647,0.118
2019-12-31,0.1496,21.955,3.1152,1.3638,0.1419,0.0181,0.3984,20848000000.0,59.69,58.8,58.8,1445000000.0,84965998555.0,25868000000.0,1.0643,1537884600.0,18,Consumer Defensive,0.1513,0.1329
2020-12-31,0.1337,22.3164,2.8767,1.4561,0.1289,0.0212,0.472,21895000000.0,57.97,55.44,55.44,1431000000.0,79334638569.0,26581000000.0,1.1753,1681894368.0,19,Consumer Defensive,0.1043,0.1348
2021-12-31,0.1497,22.104,3.3622,1.3714,0.1521,0.0192,0.4247,21978000000.0,68.9,66.42,66.42,1431000000.0,95047017138.0,28720000000.0,1.2753,1824902784.0,20,Consumer Defensive,0.0851,0.1272
