Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.1407,16.2473,5.8151,1.173,0.3579,0.0254,0.413,0.0,42.03,41.75,41.75,825400000.0,34460450000.0,15070000000.0,1.0604,875295430.0,51,Industrials,0.0,0.0
1998-12-31,0.0782,26.6435,5.2739,1.3186,0.1979,0.0283,0.7549,0.0,39.07,38.81,38.8125,806600000.0,31306162500.0,15021000000.0,1.0983,885907331.8,52,Industrials,0.0357,0.0
1999-12-31,0.1126,21.0349,5.8967,1.1506,0.2803,0.0243,0.5111,0.0,46.61,46.13,46.125,804000000.0,37084500000.0,15659000000.0,1.121,901251036.0,53,Industrials,0.0207,0.0
2000-12-30,0.1066,24.7368,6.7495,1.1706,0.2729,0.0208,0.5152,0.0,56.08,55.7,55.7,791400000.0,44080980791.4,16724000000.0,1.1586,916884384.0,54,Industrials,0.0335,0.0
2001-12-31,0.0889,30.2949,7.1183,1.3133,0.235,0.0219,0.6629,0.0,55.72,54.94,54.935,788600000.0,43321741788.6,16079000000.0,1.2032,948832479.6,55,Industrials,0.0385,0.0
2002-12-31,0.1209,24.4807,8.0636,1.5578,0.3294,0.02,0.4904,0.0,62.75,61.96,61.955,780000000.0,48324901560.0,16332000000.0,1.2392,966576000.0,56,Industrials,0.0299,0.0317
2003-12-31,0.1318,25.7643,7.8518,1.2321,0.3048,0.0167,0.4303,2419000000.0,81.44,79.09,79.09,782800000.0,61911648868.8,18232000000.0,1.3208,1033924588.4,57,Industrials,0.0658,0.0377
2004-12-31,0.1494,21.7313,6.261,0.9954,0.2881,0.0173,0.3763,2655000000.0,86.78,83.25,83.25,780500000.0,64976625000.0,20011000000.0,1.4402,1124095612.5,58,Industrials,0.0904,0.0516
2005-12-29,0.1511,17.371,5.502,1.031,0.3167,0.0231,0.402,3473000000.0,74.05,72.65,72.65,764900000.0,55569986529.8,21167000000.0,1.6782,1283666653.5,59,Industrials,0.1653,0.078
2006-12-30,0.168,14.4997,5.6068,1.1382,0.3867,0.0246,0.3573,4082000000.0,76.64,74.7,74.7,747500000.0,55838247757.5,22923000000.0,1.8376,1373620950.0,60,Industrials,0.095,0.0893
2007-12-31,0.1674,13.7171,4.783,1.1022,0.3487,0.0246,0.3369,4589000000.0,80.86,78.22,78.22,718300000.0,56185426718.3,24462000000.0,1.9242,1382161479.6,61,Industrials,0.0471,0.0927
2008-12-31,0.1369,10.8699,3.8071,1.586,0.3502,0.0372,0.404,5753000000.0,56.43,53.79,53.79,699200000.0,37609968699.2,25269000000.0,2.001,1399090809.6,62,Industrials,0.0399,0.0875
2009-12-31,0.1381,17.6584,4.4174,1.0928,0.2502,0.0254,0.4482,5832000000.0,84.83,80.49,80.49,700500000.0,56383243599.0,23123000000.0,2.0444,1432134423.0,63,Industrials,0.0217,0.0738
