Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-12-31,0.039,20.8342,2.1138,0.6813,0.1015,0.0037,0.0761,0.0,6.57,6.41,6.4062,1496000000.0,9583750000.0,11794000000.0,0.0237,35480632.0,13,Healthcare,0.0,0.0
1998-12-31,-0.0096,-51.4895,2.1167,1.4024,-0.0411,0.004,-0.2048,0.0,6.67,5.59,5.5938,1528000000.0,8547250000.0,17355000000.0,0.0224,34166080.0,14,Healthcare,-0.0549,0.0
1999-12-31,0.029,16.1303,2.3717,1.6593,0.147,0.0007,0.0106,0.0,7.73,6.58,6.5781,1392800000.0,9162012500.0,19562000000.0,0.0046,6415236.8,15,Healthcare,-0.7946,0.0
2000-12-30,0.0348,25.1431,5.0177,1.997,0.1996,0.0003,0.0068,0.0,15.36,14.27,14.27,1296800000.0,18505336000.0,21122000000.0,0.0043,5551600.8,16,Healthcare,-0.0652,0.0
2001-12-31,0.0389,24.8072,5.8209,2.2089,0.2346,0.0004,0.0099,0.0,19.36,18.13,18.125,1249600000.0,22649000000.0,23454000000.0,0.0073,9062099.2,17,Healthcare,0.6977,0.0
2002-12-31,0.054,19.2318,5.872,2.1987,0.3053,0.0003,0.0067,3363000000.0,22.36,21.42,21.425,1213600000.0,26001378786.4,25020000000.0,0.0064,7798593.6,18,Healthcare,-0.1233,-0.0681
2003-12-31,0.0639,19.6484,6.9927,2.4388,0.3559,0.0003,0.0049,3509000000.0,32.36,30.44,30.44,1178000000.0,35858321178.0,28566000000.0,0.0091,10757496.0,19,Healthcare,0.4219,0.0273
2004-12-31,0.0702,21.3305,5.149,1.6014,0.2414,0.0003,0.007,9470000000.0,47.26,44.08,44.075,1252000000.0,55181901252.0,36830000000.0,0.0132,16556448.0,20,Healthcare,0.4505,0.2763
2005-12-29,0.0736,22.1452,4.1211,1.3332,0.1861,0.0003,0.0058,16206000000.0,62.06,57.77,57.77,1265000000.0,73079050000.0,44866000000.0,0.0173,21923715.0,21,Healthcare,0.3106,0.3515
2006-12-30,0.0589,16.8719,3.3719,1.322,0.1999,0.0006,0.0099,16822000000.0,59.89,52.21,52.21,1344000000.0,70170238656.0,70671000000.0,0.0313,42102144.0,22,Healthcare,0.8092,0.3738
