Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,dividendPerShare,dividendPaid,company_age,sector,oneYearDividendGrowthRate,fiveYearDividendGrowthRate
1997-01-31,0.0288,19.8308,3.5351,1.3102,0.1783,0.0079,0.1574,0.0,13.38,13.19,0.0,0.0,0.0,106146000000.0,0.1042,0.0,25,Consumer Defensive,0.0,0.0
1998-02-02,0.0296,30.0181,5.7204,1.4528,0.1906,0.0058,0.1733,0.0,23.76,23.44,0.0,0.0,0.0,119299000000.0,0.136,0.0,26,Consumer Defensive,0.3052,0.0
1999-02-01,0.0318,43.0466,9.0326,1.3681,0.2098,0.0036,0.1564,0.0,43.14,42.72,0.0,0.0,0.0,139208000000.0,0.1538,0.0,27,Consumer Defensive,0.1309,0.0
2000-01-31,0.0334,39.1209,8.4423,1.7231,0.2158,0.0041,0.1596,0.0,49.42,49.0,0.0,0.0,0.0,166809000000.0,0.2009,0.0,28,Consumer Defensive,0.3062,0.0
2001-01-31,0.0326,34.6986,6.9689,1.4927,0.2008,0.0049,0.17,0.0,49.38,48.92,0.0,0.0,0.0,193295000000.0,0.2397,0.0,29,Consumer Defensive,0.1931,0.0
2002-01-31,0.0303,42.0397,7.9895,1.3774,0.19,0.0045,0.1872,0.0,63.29,62.81,0.0,0.0,0.0,219812000000.0,0.2826,0.0,30,Consumer Defensive,0.179,0.2229
2003-01-31,0.0326,26.4841,5.4124,1.407,0.2044,0.0062,0.1652,9521000000.0,48.68,48.06,48.06,4430000000.0,212905804430.0,246525000000.0,0.298,1320015960.0,31,Consumer Defensive,0.0545,0.1727
2004-02-02,0.035,29.13,6.046,1.405,0.2076,0.0059,0.1733,9882000000.0,61.64,60.45,60.45,4363000000.0,263743354363.0,258681000000.0,0.3567,1556085765.0,32,Consumer Defensive,0.197,0.186
2005-01-31,0.0357,21.5501,4.4792,1.4339,0.2079,0.01,0.2156,10803000000.0,53.24,51.95,51.95,4259000000.0,221255054259.0,287989000000.0,0.5195,2212550500.0,33,Consumer Defensive,0.4564,0.216
2006-01-31,0.0356,16.7827,3.5449,1.5989,0.2112,0.0133,0.2236,12188000000.0,46.59,45.06,45.06,4183000000.0,188485984183.0,315654000000.0,0.5993,2506863534.0,34,Consumer Defensive,0.1536,0.2081
2007-01-31,0.0324,17.6428,3.2332,1.4555,0.1833,0.0141,0.2483,13759000000.0,49.58,47.81,47.81,4164000000.0,199080844164.0,348650000000.0,0.6741,2807039844.0,35,Consumer Defensive,0.1248,0.1973
2008-01-31,0.0336,15.8379,3.1209,1.5309,0.197,0.0178,0.2817,16071000000.0,50.96,49.59,49.59,4066000000.0,201632940000.0,378799000000.0,0.8827,3589066332.0,36,Consumer Defensive,0.3094,0.2482
2009-02-02,0.033,14.7125,3.0198,2.5033,0.2053,0.019,0.2796,15260000000.0,51.9,50.05,48.04,3939000000.0,189229563939.0,405607000000.0,0.9509,3745792050.0,37,Consumer Defensive,0.0773,0.2243
2010-02-01,0.0351,14.4527,2.9284,1.382,0.2026,0.0204,0.2942,16126000000.0,55.64,53.59,53.59,3866000000.0,207178940000.0,408214000000.0,1.0932,4226450376.0,38,Consumer Defensive,0.1496,0.1629
2011-01-31,0.0389,11.5933,2.7721,1.5963,0.2391,0.0234,0.2707,16763000000.0,53.99,51.97,51.97,3656000000.0,190002323656.0,421849000000.0,1.2161,4446054288.0,39,Consumer Defensive,0.1124,0.1547
2012-01-31,0.0351,12.9637,2.8538,1.6497,0.2201,0.0248,0.3215,20651000000.0,60.71,58.82,58.82,3460000000.0,203517200000.0,446950000000.0,1.4587,5047226560.0,40,Consumer Defensive,0.1995,0.1696
