Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-09-26,-0.148,-1.998,1.74,2.527,-0.871,0.0,0.0,0.01,0.23,0.15,14118944000.0,2087895319.776,7081000000.0,141189440.0,0.02,17,Technology
1998-09-25,0.052,15.162,2.853,1.612,0.188,0.0,0.0,0.049,0.42,0.32,14781088000.0,4685072776.832,5941000000.0,724273312.0,0.122,18,Technology
1999-09-25,0.098,17.746,3.436,0.663,0.194,0.0,0.0,0.047,0.75,0.67,16033584000.0,10665203371.536,6134000000.0,753578448.0,0.123,19,Technology
2000-09-30,0.098,7.975,1.526,0.656,0.191,0.0,0.0,0.04,0.41,0.34,18175808000.0,6268218201.728,7983000000.0,727032320.0,0.091,20,Technology
2001-09-29,-0.005,-243.726,1.554,0.536,-0.006,0.0,0.0,-0.002,0.43,0.31,19354328000.0,6093148895.288,5363000000.0,-38708656.0,-0.007,21,Technology
2002-09-28,0.011,85.26,1.353,0.538,0.016,0.0,0.0,-0.004,0.39,0.28,19881232000.0,5541893420.0,5742000000.0,-79524928.0,-0.014,22,Technology
2003-09-27,0.011,118.12,1.93,0.614,0.016,0.0,0.0,0.006,0.57,0.4,20195336000.0,8150251944.856,6207000000.0,121172016.0,0.02,23,Technology
2004-09-25,0.033,64.018,3.481,0.586,0.054,0.0,0.0,0.036,0.99,0.85,20809040000.0,17669101527.28,8279000000.0,749125440.0,0.09,24,Technology
2005-09-24,0.096,34.39,6.149,0.547,0.179,0.0,0.0,0.101,2.18,2.03,22636292000.0,45911244342.488,13931000000.0,2286265492.0,0.164,25,Technology
2006-09-30,0.103,34.127,6.799,0.723,0.199,0.0,0.0,0.066,3.14,2.87,23633624000.0,67879147736.232,19315000000.0,1559819184.0,0.081,26,Technology
2007-09-29,0.146,45.775,11.012,0.744,0.241,0.0,0.0,0.185,7.0,6.61,24208660000.0,160027880249.888,24006000000.0,4478602100.0,0.187,27,Technology
2008-09-27,0.149,16.795,3.86,0.882,0.23,0.0,0.0,0.34,3.77,3.29,24684576000.0,81185817859.104,32479000000.0,8392755840.0,0.258,28,Technology
2009-09-26,0.156,31.7,6.497,0.935,0.205,0.0,-0.0,0.358,7.44,7.23,25004448000.0,180817892896.637,36537000000.0,8951592384.0,0.245,29,Technology
2010-09-25,0.215,20.044,5.877,0.573,0.293,0.0,-0.0,0.647,11.47,11.03,25464908000.0,280877927600.528,65225000000.0,16475795476.0,0.253,30,Technology
2011-09-24,0.239,14.468,4.895,0.519,0.338,0.0,-0.0,1.162,14.87,14.49,25879224000.0,375036176054.064,108249000000.0,30071658288.0,0.278,31,Technology
2012-09-29,0.267,13.53,4.776,0.489,0.353,0.004,0.06,1.584,21.98,21.57,26174904000.0,564630064895.383,156508000000.0,41461047936.0,0.265,32,Technology
2013-09-28,0.217,13.239,3.969,0.675,0.3,0.022,0.285,1.721,19.47,18.92,25909268000.0,490314395091.721,170910000000.0,44589850228.0,0.261,33,Technology
2014-09-27,0.216,16.19,5.734,1.078,0.354,0.017,0.282,2.05,26.85,26.28,24342288000.0,639654477788.458,182795000000.0,49901690400.0,0.273,34,Technology
2015-09-26,0.228,12.422,5.557,1.434,0.447,0.017,0.217,3.032,29.74,28.82,23013684000.0,663254365975.895,233715000000.0,69777489888.0,0.299,35,Technology
2016-09-24,0.212,14.088,5.019,1.508,0.356,0.019,0.266,2.389,30.35,29.41,21883280000.0,643641981753.312,215639000000.0,52279155920.0,0.242,36,Technology
2017-09-30,0.211,17.99,6.489,1.8,0.361,0.015,0.264,2.434,42.65,41.68,20868968000.0,869818592500.69,229234000000.0,50795068112.0,0.222,37,Technology
2018-09-29,0.224,17.667,9.816,2.413,0.556,0.013,0.23,3.235,54.37,53.06,19821508000.0,1051729242230.111,265595000000.0,64122578380.0,0.241,38,Technology
2019-09-28,0.212,20.814,12.71,2.741,0.611,0.012,0.256,3.189,64.91,62.26,18471336000.0,1150071572477.069,260174000000.0,58905090504.0,0.226,39,Technology
2020-09-26,0.209,34.773,30.554,3.957,0.879,0.007,0.245,4.228,117.24,115.05,17352119000.0,1996361344741.569,274515000000.0,73364759132.0,0.267,40,Technology
2021-09-25,0.259,26.22,39.348,4.564,1.501,0.006,0.153,5.566,150.73,148.64,16701272000.0,2482477060059.237,365817000000.0,92959279952.0,0.254,41,Technology
