Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,Industrials,Specialty Industrial Machinery
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Industrials,Specialty Industrial Machinery
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,Industrials,Specialty Industrial Machinery
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Industrials,Specialty Industrial Machinery
2001-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Industrials,Specialty Industrial Machinery
2002-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,Industrials,Specialty Industrial Machinery
2003-12-31,0.0,0.061,0.005,1.515,0.078,1.649,0.1,0.0,853.67,76.87,0.0,0.0,0.0,0.0,0.0,52,Industrials,Specialty Industrial Machinery
2004-12-31,0.0,0.04,0.004,1.345,0.098,1.042,0.041,0.0,639.71,65.15,795385.0,51819273.096,0.0,0.0,0.0,53,Industrials,Specialty Industrial Machinery
2005-12-31,0.0,0.046,0.004,1.418,0.092,0.617,0.028,0.0,990.72,68.66,826407.0,56739594.774,0.0,0.0,0.0,54,Industrials,Specialty Industrial Machinery
2006-12-31,0.0,0.028,0.004,1.418,0.154,1.415,0.04,0.0,657.22,72.66,865614.0,62896526.874,0.0,0.0,0.0,55,Industrials,Specialty Industrial Machinery
2007-12-31,0.0,0.025,0.004,1.269,0.16,1.806,0.045,0.0,626.61,73.54,873297.0,64220716.518,0.0,0.0,0.0,56,Industrials,Specialty Industrial Machinery
2008-12-31,0.0,0.0,0.001,2.002,0.0,3.284,0.0,0.0,930.96,17.52,834204.0,14614204.651,0.0,0.0,0.0,57,Industrials,Specialty Industrial Machinery
2009-12-31,0.0,-0.026,0.002,1.845,-0.074,1.633,-0.042,0.0,1803.97,28.63,834204.0,23881746.44,0.0,0.0,0.0,58,Industrials,Specialty Industrial Machinery
2010-12-31,0.012,158.681,2.961,1.887,0.019,0.003,0.492,1.121,37.66,36.27,1111111111.0,40304848884.858,21013000000.0,1245555555.431,0.059,59,Industrials,Specialty Industrial Machinery
2011-12-31,0.024,42.205,1.863,1.898,0.044,0.005,0.214,0.815,24.95,23.21,1111111111.0,25787107775.199,24951000000.0,905555555.465,0.036,60,Industrials,Specialty Industrial Machinery
2012-12-31,0.0,89.585,1.1,1.792,0.012,0.0,0.012,0.0,22.33,19.79,733333333.0,14512744393.403,0.0,0.0,0.0,61,Industrials,Specialty Industrial Machinery
2013-12-31,0.0,-8.782,1.86,2.098,-0.212,0.004,-0.034,0.0,28.83,26.87,733333333.0,19707646191.042,0.0,0.0,0.0,62,Industrials,Specialty Industrial Machinery
2014-12-31,0.011,57.52,1.253,2.039,0.022,0.01,0.601,1.039,39.48,35.19,438000000.0,15415356564.0,23906000000.0,455082000.0,0.019,63,Industrials,Specialty Industrial Machinery
2015-12-31,-0.026,-22.3,0.596,2.028,-0.027,0.031,-0.693,0.918,19.5,16.39,438000000.0,7180699458.0,12413000000.0,402084000.0,0.032,64,Industrials,Specialty Industrial Machinery
2016-12-31,-0.076,-10.479,1.928,2.917,-0.184,0.023,-0.242,-0.582,26.75,22.5,438275079.0,9861189277.5,12394000000.0,-255076095.978,-0.021,65,Industrials,Specialty Industrial Machinery
2017-12-31,-0.006,-182.3,2.747,2.812,-0.015,0.012,-2.189,0.233,34.69,29.92,450875943.0,13490208259.648,12960000000.0,105054094.719,0.008,66,Industrials,Specialty Industrial Machinery
2018-12-31,0.046,14.073,1.621,2.354,0.115,0.013,0.185,-1.141,23.43,18.71,482879501.0,9034675029.118,14014000000.0,-550965510.641,-0.039,67,Industrials,Specialty Industrial Machinery
2019-12-31,0.033,28.909,2.949,2.812,0.102,0.004,0.121,-0.403,34.14,30.45,446217357.0,13587318877.624,14192000000.0,-179825594.871,-0.013,68,Industrials,Specialty Industrial Machinery
2020-12-31,0.05,40.979,2.99,2.199,0.073,0.001,0.042,-0.593,28.28,24.58,435134173.0,10695597928.827,5259000000.0,-258034564.589,-0.049,69,Industrials,Specialty Industrial Machinery
2021-12-31,0.052,51.879,3.815,1.913,0.074,0.001,0.074,0.575,32.41,30.76,435134173.0,13384727248.507,4972000000.0,250202149.475,0.05,70,Industrials,Specialty Industrial Machinery
