Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.231,23.236,3.173,5.72,0.137,0.003,0.06,-9.293,508.52,507.64,98708906.0,50108111682.629,14402738000.0,-917301863.458,-0.064,13,Financial Services,Insurance—Diversified
1998-12-31,0.228,28.7,3.926,6.061,0.137,0.002,0.06,33.036,715.24,712.16,98437500.0,70102996027.096,16495000000.0,3251981250.0,0.197,14,Financial Services,Insurance—Diversified
1999-12-31,0.275,31.236,4.556,6.74,0.146,0.002,0.06,54.729,885.32,884.18,116100000.0,102653504841.473,18356000000.0,6354036900.0,0.346,15,Financial Services,Insurance—Diversified
2000-12-31,0.28,35.905,4.926,6.462,0.137,0.002,0.059,12.692,1139.4,1137.19,115900000.0,131800326106.426,20146000000.0,1471002800.0,0.073,16,Financial Services,Insurance—Diversified
2001-12-31,0.242,34.841,3.482,8.187,0.1,0.004,0.139,19.802,935.76,930.43,131050000.0,121932756591.585,22128000000.0,2595052100.0,0.117,17,Financial Services,Insurance—Diversified
2002-12-31,0.082,25.202,2.353,8.469,0.093,0.003,0.085,95.421,705.81,696.89,130600000.0,91014301566.415,67482000000.0,12461982600.0,0.185,18,Financial Services,Insurance—Diversified
2003-12-31,0.114,19.545,2.544,8.471,0.13,0.003,0.063,226.169,919.58,912.51,130500000.0,119082861431.069,81303000000.0,29515054500.0,0.363,19,Financial Services,Insurance—Diversified
2004-12-31,0.099,17.638,2.129,8.849,0.121,0.004,0.075,227.698,884.21,868.79,130300000.0,113203275146.864,97987000000.0,29669049400.0,0.303,20,Financial Services,Insurance—Diversified
2005-12-31,0.096,16.377,1.988,8.825,0.121,0.008,0.136,130.358,893.97,879.36,129850000.0,114184599317.733,108905000000.0,16926986300.0,0.155,21,Financial Services,Insurance—Diversified
2006-12-31,0.124,12.661,1.749,8.554,0.138,0.009,0.117,6.288,928.72,916.53,130400000.0,119515088764.489,113194000000.0,819955200.0,0.007,22,Financial Services,Insurance—Diversified
2007-12-31,0.056,22.669,1.467,9.961,0.065,0.013,0.303,228.464,756.59,738.92,129250000.0,95504803515.236,110064000000.0,29528972000.0,0.268,23,Financial Services,Insurance—Diversified
2008-12-31,-8.942,-0.034,0.064,15.134,-1.884,0.483,-0.016,-30.843,83.36,17.74,131700000.0,2336735643.494,11104000000.0,-4062023100.0,-0.366,24,Financial Services,Insurance—Diversified
2009-12-31,-0.114,-0.299,0.047,10.734,-0.157,0.0,0.0,133.604,49.31,16.79,135324896.0,2272557910.745,96004000000.0,18079947405.184,0.188,25,Financial Services,Insurance—Diversified
2010-12-31,0.101,0.706,0.064,6.678,0.091,0.0,-0.0,121.85,44.66,33.25,136585844.0,4541593384.252,77301000000.0,16642985091.4,0.215,26,Financial Services,Insurance—Diversified
2011-12-31,0.277,2.548,0.432,4.206,0.17,0.0,-0.0,0.019,21.63,20.81,1799385757.0,37450153894.465,64237000000.0,34188329.383,0.001,27,Financial Services,Insurance—Diversified
2012-12-31,0.052,18.487,0.649,4.591,0.035,0.0,-0.0,2.179,31.79,31.11,1687197038.0,52491648488.326,65552000000.0,3676402345.802,0.056,28,Financial Services,Insurance—Diversified
2013-12-31,0.13,7.931,0.717,4.382,0.09,0.004,0.032,3.979,42.06,40.53,1474171690.0,59755477584.3,69675000000.0,5865729154.51,0.084,29,Financial Services,Insurance—Diversified
2014-12-31,0.117,9.269,0.653,3.82,0.07,0.01,0.095,3.506,42.13,40.9,1427959799.0,58407180836.258,64608000000.0,5006427055.294,0.077,30,Financial Services,Insurance—Diversified
2015-12-31,0.037,33.431,0.819,4.536,0.024,0.014,0.468,2.213,49.17,47.92,1299825350.0,62289855115.678,58925000000.0,2876513499.55,0.049,31,Financial Services,Insurance—Diversified
2016-12-31,-0.016,-83.393,0.928,5.523,-0.011,0.019,-1.616,2.184,58.01,56.3,1091085131.0,61428767298.15,52754000000.0,2382929926.104,0.045,32,Financial Services,Insurance—Diversified
2017-12-31,-0.122,-9.69,0.905,6.638,-0.093,0.02,-0.193,-9.226,58.66,56.12,930561286.0,52220153241.205,49930000000.0,-8585358424.636,-0.172,33,Financial Services,Insurance—Diversified
2018-12-31,-0.0,-6410.124,0.682,7.712,-0.0,0.03,-189.667,0.068,42.13,38.93,898405537.0,34978711121.96,47481000000.0,61091576.516,0.001,34,Financial Services,Insurance—Diversified
2019-12-31,0.067,13.434,0.685,6.968,0.051,0.025,0.339,-1.058,51.11,47.85,876750264.0,41952481498.388,49792000000.0,-927601779.312,-0.019,35,Financial Services,Insurance—Diversified
2020-12-31,-0.136,-5.476,0.49,7.825,-0.09,0.035,-0.19,1.194,39.59,36.34,869309458.0,31587927905.323,43839000000.0,1037955492.852,0.024,36,Financial Services,Insurance—Diversified
2021-12-31,0.181,5.174,0.736,7.993,0.142,0.023,0.118,7.363,59.19,56.66,869309458.0,49252221513.825,51885000000.0,6400725539.254,0.123,37,Financial Services,Insurance—Diversified
