Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.275,20.495,6.173,0.454,0.301,0.0,0.0,0.488,12.73,12.5,1056400000.0,13205000000.0,2345700000.0,515523200.0,0.22,10,Healthcare,Drug Manufacturers—General
1998-12-31,0.327,37.765,12.723,0.433,0.337,0.0,0.0,0.621,32.15,31.95,1020200000.0,32598578125.0,2642300000.0,633544200.0,0.24,11,Healthcare,Drug Manufacturers—General
1999-12-31,0.342,55.621,20.17,0.349,0.363,0.0,0.0,0.755,59.82,59.69,1021700000.0,60982718750.0,3204200000.0,771383500.0,0.241,12,Healthcare,Drug Manufacturers—General
2000-12-31,0.33,64.209,16.943,0.252,0.264,0.0,0.0,1.162,71.22,71.0,1029600000.0,73101600000.0,3448400000.0,1196395200.0,0.347,13,Healthcare,Drug Manufacturers—General
2001-12-31,0.279,51.393,11.03,0.235,0.215,0.0,0.0,0.993,55.7,55.04,1045500000.0,57544320940.95,4015700000.0,1038181500.0,0.259,14,Healthcare,Drug Manufacturers—General
2002-12-31,-0.252,-42.248,3.216,0.337,-0.076,0.0,0.0,1.379,52.59,50.98,1153500000.0,58805429423.25,5523000000.0,1590676500.0,0.288,15,Healthcare,Drug Manufacturers—General
2003-12-31,0.27,36.87,4.297,0.35,0.117,0.0,0.0,1.715,65.31,64.66,1288400000.0,83307948767.08,8356000000.0,2209606000.0,0.264,16,Healthcare,Drug Manufacturers—General
2004-12-31,0.224,32.972,3.954,0.483,0.12,0.0,0.0,1.858,62.5,61.3,1271000000.0,77912298983.2,10550000000.0,2361518000.0,0.224,17,Healthcare,Drug Manufacturers—General
2005-12-31,0.296,24.33,4.371,0.433,0.18,0.0,0.0,3.272,73.81,72.32,1236000000.0,89387519629.2,12430000000.0,4044192000.0,0.325,18,Healthcare,Drug Manufacturers—General
2006-12-31,0.207,28.037,4.361,0.782,0.156,0.0,0.0,3.547,71.42,70.33,1176000000.0,82708082116.8,14268000000.0,4171272000.0,0.292,19,Healthcare,Drug Manufacturers—General
2007-12-31,0.214,16.681,2.955,0.938,0.177,0.0,0.0,3.701,49.09,47.28,1117000000.0,52811758659.6,14771000000.0,4134017000.0,0.28,20,Healthcare,Drug Manufacturers—General
2008-12-31,0.28,13.987,2.879,0.788,0.206,0.0,0.0,4.968,56.51,54.85,1070000000.0,58689498395.0,15003000000.0,5315760000.0,0.354,21,Healthcare,Drug Manufacturers—General
2009-12-31,0.315,12.902,2.621,0.748,0.203,0.0,-0.0,5.715,61.32,58.48,1016000000.0,59415679492.0,14642000000.0,5806440000.0,0.397,22,Healthcare,Drug Manufacturers—General
2010-12-31,0.307,11.471,2.217,0.816,0.193,0.0,-0.0,5.424,58.71,55.29,960000000.0,53078400864.0,15053000000.0,5207040000.0,0.346,23,Healthcare,Drug Manufacturers—General
2011-12-31,0.236,16.79,3.25,1.568,0.194,0.008,0.136,5.03,76.01,68.33,905000000.0,61838651629.0,15582000000.0,4552150000.0,0.292,24,Healthcare,Drug Manufacturers—General
2012-12-31,0.252,15.229,3.472,1.849,0.228,0.017,0.257,6.701,89.58,85.38,775000000.0,66169497907.5,17265000000.0,5193275000.0,0.301,25,Healthcare,Drug Manufacturers—General
2013-12-31,0.272,17.916,4.12,1.993,0.23,0.016,0.278,7.434,125.94,120.89,753000000.0,91030169548.2,18676000000.0,5597802000.0,0.3,26,Healthcare,Drug Manufacturers—General
2014-12-31,0.257,22.405,4.483,1.677,0.2,0.016,0.359,9.95,157.18,152.26,759000000.0,115565335825.5,20063000000.0,7552050000.0,0.376,27,Healthcare,Drug Manufacturers—General
2015-12-31,0.32,16.684,4.122,1.549,0.247,0.021,0.345,11.119,158.2,152.73,758000000.0,115769336740.6,21662000000.0,8428202000.0,0.389,28,Healthcare,Drug Manufacturers—General
2016-12-31,0.336,14.959,3.867,1.598,0.258,0.026,0.388,12.723,158.76,154.43,748000000.0,115513634539.6,22991000000.0,9516804000.0,0.414,29,Healthcare,Drug Manufacturers—General
2017-12-31,0.087,70.651,5.539,2.168,0.078,0.024,1.7,14.382,196.47,191.27,731000000.0,139818373143.3,22849000000.0,10513242000.0,0.46,30,Healthcare,Drug Manufacturers—General
2018-12-31,0.353,14.557,9.775,4.313,0.672,0.029,0.418,15.973,195.37,184.86,661000000.0,122192460396.6,23747000000.0,10558153000.0,0.445,31,Healthcare,Drug Manufacturers—General
2019-12-31,0.336,17.447,14.145,5.173,0.811,0.026,0.447,14.102,236.13,226.15,605000000.0,136820746309.5,23362000000.0,8531710000.0,0.365,32,Healthcare,Drug Manufacturers—General
2020-12-31,0.286,19.477,15.036,5.69,0.772,0.027,0.517,16.875,252.12,241.43,586000000.0,141477975722.2,25424000000.0,9888750000.0,0.389,33,Healthcare,Drug Manufacturers—General
2021-12-31,0.227,22.786,20.041,8.129,0.88,0.03,0.681,14.302,242.77,229.14,586000000.0,134276039648.4,25979000000.0,8380972000.0,0.323,34,Healthcare,Drug Manufacturers—General
