Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.118,17.071,3.55,11.534,0.208,0.012,0.212,3.468,27.42,24.42,1392000000.0,33988774416.0,16836000000.0,4827456000.0,0.287,20,Financial Services,Credit Services
1998-12-31,0.118,19.094,4.009,11.447,0.21,0.01,0.193,2.607,33.02,30.02,1362000000.0,40881104598.6,18133000000.0,3550734000.0,0.196,21,Financial Services,Credit Services
1999-12-31,0.122,25.017,6.133,13.712,0.245,0.007,0.163,4.896,51.74,46.17,1341000000.0,61916750429.4,20227000000.0,6565536000.0,0.325,22,Financial Services,Credit Services
2000-12-31,0.126,19.804,4.763,12.217,0.24,0.008,0.15,4.095,48.33,41.94,1327000000.0,55648571986.4,22321000000.0,5434065000.0,0.243,23,Financial Services,Credit Services
2001-12-31,0.062,31.204,3.399,11.553,0.109,0.01,0.323,3.372,36.35,30.9,1324000000.0,40909071689.6,21081000000.0,4464528000.0,0.212,24,Financial Services,Credit Services
2002-12-31,0.118,15.019,2.894,10.345,0.193,0.011,0.161,6.064,38.18,30.39,1320000000.0,40115348064.0,22725000000.0,8004480000.0,0.352,25,Financial Services,Credit Services
2003-12-31,0.12,19.505,3.802,10.421,0.195,0.008,0.158,1.181,49.84,45.38,1284000000.0,58262210180.4,24961000000.0,1516404000.0,0.061,26,Financial Services,Credit Services
2004-12-31,0.122,16.89,3.632,11.025,0.215,0.009,0.155,6.674,54.08,46.22,1259000000.0,58185741804.6,28248000000.0,8402566000.0,0.297,27,Financial Services,Credit Services
2005-12-31,0.16,17.395,6.157,9.803,0.354,0.009,0.16,6.032,58.46,52.68,1233000000.0,64954440369.9,23347000000.0,7437456000.0,0.319,28,Financial Services,Credit Services
2006-12-31,0.143,18.966,6.689,11.164,0.353,0.009,0.178,6.798,64.57,58.01,1212000000.0,70308117939.6,25900000000.0,8239176000.0,0.318,29,Financial Services,Credit Services
2007-12-31,0.145,13.841,5.035,12.585,0.364,0.013,0.177,6.48,57.35,47.34,1173000000.0,55529820234.6,27731000000.0,7601040000.0,0.274,30,Financial Services,Credit Services
2008-12-31,0.095,7.153,1.63,9.647,0.228,0.043,0.31,6.686,34.54,16.73,1154000000.0,19306419423.0,28365000000.0,7715644000.0,0.272,31,Financial Services,Credit Services
2009-12-31,0.087,20.651,3.053,7.614,0.148,0.021,0.434,4.805,50.97,37.66,1168000000.0,43986879766.4,24312000000.0,5612240000.0,0.231,32,Financial Services,Credit Services
2010-12-31,0.146,12.843,3.21,8.06,0.25,0.017,0.214,7.072,57.92,43.86,1188000000.0,52105680712.8,27639000000.0,8401536000.0,0.304,33,Financial Services,Credit Services
2011-12-31,0.165,11.725,3.079,7.159,0.263,0.015,0.174,7.883,70.25,49.12,1178000000.0,57863358704.2,29962000000.0,9286174000.0,0.31,34,Financial Services,Credit Services
2012-12-31,0.142,15.024,3.566,7.109,0.237,0.013,0.201,5.312,78.93,59.33,1135000000.0,67339552043.0,31582000000.0,6029120000.0,0.191,35,Financial Services,Credit Services
2013-12-31,0.163,17.489,4.807,6.867,0.275,0.01,0.175,6.97,104.63,86.62,1082000000.0,93722842921.4,32970000000.0,7541540000.0,0.229,36,Financial Services,Credit Services
2014-12-31,0.172,14.328,4.079,6.696,0.285,0.012,0.177,9.373,102.02,80.69,1045000000.0,84321052508.0,33548000000.0,9794785000.0,0.292,37,Financial Services,Credit Services
2015-12-31,0.208,10.352,2.585,6.797,0.25,0.022,0.227,9.641,76.28,53.5,999000000.0,53446500000.0,32757000000.0,9631359000.0,0.294,38,Financial Services,Credit Services
2016-12-31,0.213,13.333,3.517,6.75,0.264,0.017,0.223,7.341,104.17,77.28,933000000.0,72102238880.4,33337000000.0,6849153000.0,0.205,39,Financial Services,Credit Services
2017-12-31,0.112,31.857,4.782,8.939,0.15,0.014,0.457,14.131,135.95,98.71,883000000.0,87160929205.3,33471000000.0,12477673000.0,0.373,40,Financial Services,Credit Services
2018-12-31,0.24,12.698,3.943,7.461,0.31,0.015,0.191,8.902,134.66,102.67,856000000.0,87885518459.2,40315000000.0,7620112000.0,0.189,41,Financial Services,Credit Services
2019-12-31,0.219,16.32,4.781,7.596,0.293,0.013,0.21,14.477,162.02,133.22,828000000.0,110306160993.6,43556000000.0,11986956000.0,0.275,42,Financial Services,Credit Services
2020-12-31,0.087,29.853,4.072,7.326,0.136,0.016,0.47,5.109,157.04,116.26,805000000.0,93589301690.5,36087000000.0,4112745000.0,0.114,43,Financial Services,Credit Services
2021-12-31,0.187,17.684,6.427,7.502,0.363,0.01,0.18,16.267,204.34,177.06,789000000.0,139700338106.4,43147000000.0,12834663000.0,0.297,44,Financial Services,Credit Services
