Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.088,10.811,3.847,3.436,0.356,0.019,0.203,1.32,24.39,24.0,750000000.0,18000000000.0,18925000000.0,990000000.0,0.052,68,Industrials
1998-12-31,0.072,10.387,3.063,3.897,0.295,0.025,0.264,0.701,22.15,21.66,725659472.0,15715062940.5,20977000000.0,508687289.872,0.024,69,Industrials
1999-12-31,0.048,16.353,2.831,3.874,0.173,0.029,0.47,1.814,22.52,21.75,711278195.0,15470300741.25,19702000000.0,1290258645.73,0.065,70,Industrials
2000-12-31,0.052,14.605,2.746,4.083,0.188,0.03,0.439,0.969,22.68,22.2,692763158.0,15379342661.811,20175000000.0,671287500.102,0.033,71,Industrials
2001-12-31,0.039,21.408,3.071,4.464,0.143,0.028,0.589,0.028,25.68,25.1,686600000.0,17233660274.64,20450000000.0,19224800.0,0.001,72,Industrials
2002-12-31,0.04,18.558,2.706,5.003,0.146,0.032,0.603,0.862,21.97,21.52,688000000.0,14809199724.8,20152000000.0,593056000.0,0.029,73,Industrials
2003-12-31,0.048,24.541,4.437,5.0,0.181,0.018,0.447,0.436,39.56,39.06,690400000.0,26970475033.44,22763000000.0,301014400.0,0.013,74,Industrials
2004-12-31,0.067,14.711,4.009,4.771,0.273,0.018,0.262,-8.918,44.38,43.73,684600000.0,29937557657.7,30251000000.0,-6105262800.0,-0.202,75,Industrials
2005-12-31,0.079,15.928,5.391,4.582,0.338,0.014,0.217,1.029,68.64,67.01,678400000.0,45459585424.64,36339000000.0,698073600.0,0.019,76,Industrials
2006-12-31,0.085,11.71,6.039,6.418,0.516,0.018,0.205,4.743,63.68,62.88,658700000.0,41419056724.57,41517000000.0,3124214100.0,0.075,77,Industrials
2007-12-31,0.079,12.335,4.917,5.319,0.399,0.019,0.239,7.67,70.2,68.44,638200000.0,43678409531.68,44958000000.0,4894994000.0,0.109,78,Industrials
2008-12-31,0.069,5.295,3.094,10.049,0.584,0.051,0.268,1.271,35.33,30.85,610500000.0,18833925244.2,51324000000.0,775945500.0,0.015,79,Industrials
2009-12-31,0.028,35.908,3.677,5.805,0.102,0.032,1.15,6.546,60.15,52.24,615200000.0,32138049045.84,32396000000.0,4027099200.0,0.124,80,Industrials
2010-12-31,0.063,22.378,5.582,4.868,0.249,0.018,0.401,3.837,101.37,95.68,631500000.0,60421920189.45,42588000000.0,2423065500.0,0.057,81,Industrials
2011-12-31,0.082,14.451,5.528,5.282,0.383,0.016,0.235,4.784,115.15,110.41,645000000.0,71214452386.5,60138000000.0,3085680000.0,0.051,82,Industrials
2012-12-31,0.086,11.332,3.672,4.094,0.324,0.025,0.285,0.253,107.06,98.65,652600000.0,64378990978.9,65875000000.0,165107800.0,0.003,83,Industrials
2013-12-31,0.068,15.87,2.889,3.076,0.182,0.018,0.293,8.904,102.62,93.2,645200000.0,60132637999.88,55656000000.0,5744860800.0,0.103,84,Industrials
2014-12-31,0.067,13.358,2.947,4.052,0.221,0.033,0.438,7.579,91.86,79.97,617200000.0,49357484740.64,55184000000.0,4677758800.0,0.085,85,Industrials
2015-12-31,0.045,17.597,2.498,4.295,0.142,0.048,0.836,5.745,73.11,62.24,594300000.0,36989233010.31,47011000000.0,3414253500.0,0.073,86,Industrials
2016-12-31,-0.002,-844.095,4.305,4.681,-0.005,0.032,-26.851,4.587,109.06,96.79,584300000.0,56554397525.87,38537000000.0,2680184100.0,0.07,87,Industrials
2017-12-31,0.017,128.532,7.076,4.614,0.055,0.019,2.428,5.688,177.72,163.76,591800000.0,96913164745.1,45462000000.0,3366158400.0,0.074,88,Industrials
2018-12-31,0.112,12.518,5.481,4.589,0.438,0.025,0.317,6.158,143.4,130.11,591400000.0,76947054354.84,54722000000.0,3641841200.0,0.067,89,Industrials
2019-12-31,0.113,12.477,5.211,4.375,0.418,0.028,0.35,7.555,150.12,135.37,561600000.0,76023789248.16,53800000000.0,4242888000.0,0.079,90,Industrials
2020-12-31,0.072,33.183,6.489,4.106,0.196,0.023,0.748,7.741,200.03,182.84,544100000.0,99483241986.83,41748000000.0,4211878100.0,0.101,91,Industrials
2021-12-31,0.127,16.867,6.64,4.021,0.394,0.021,0.359,8.686,218.17,201.16,544100000.0,109451158013.17,50971000000.0,4726052600.0,0.093,92,Industrials
