Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology,Software—Application
1998-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology,Software—Application
1999-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology,Software—Application
2000-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Technology,Software—Application
2001-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5435000.0,0.0,0.0,0,Technology,Software—Application
2002-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22409000.0,0.0,0.0,0,Technology,Software—Application
2003-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50991000.0,0.0,0.0,0,Technology,Software—Application
2004-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96023000.0,0.0,0.0,0,Technology,Software—Application
2005-01-31,0.042,173.803,8.797,0.923,0.051,0.0,0.0,0.171,4.35,4.23,302012000.0,1276755730.0,176375000.0,51644052.0,0.293,1,Technology,Software—Application
2006-01-31,0.092,138.34,20.059,1.202,0.145,0.0,0.0,0.169,9.41,9.18,429096000.0,3939101280.0,309857000.0,72517224.0,0.234,2,Technology,Software—Application
2007-01-31,0.001,9962.867,17.006,1.343,0.002,0.0,0.0,0.198,10.85,10.66,449544000.0,4792139040.0,497098000.0,89009712.0,0.179,3,Technology,Software—Application
2008-01-31,0.025,380.131,15.435,1.391,0.041,0.0,0.0,0.344,15.53,14.93,467360000.0,6977684800.0,748700000.0,160771840.0,0.215,4,Technology,Software—Application
2009-01-31,0.04,76.235,4.928,1.187,0.065,0.0,0.0,0.348,7.83,6.83,484732000.0,3310719560.0,1076769000.0,168686736.0,0.157,5,Technology,Software—Application
2010-01-31,0.062,110.771,8.566,1.345,0.077,0.0,-0.0,0.436,19.99,17.96,497848000.0,8941350080.0,1305583000.0,217061728.0,0.166,6,Technology,Software—Application
2011-01-31,0.039,258.549,13.059,1.422,0.051,0.0,-0.0,0.173,32.82,32.0,520888000.0,16669718220.0,1657139000.0,90113624.0,0.054,7,Technology,Software—Application
2012-01-31,-0.005,-1695.133,11.774,1.499,-0.007,0.0,0.0,0.776,37.37,36.25,541208000.0,19616083960.0,2266539000.0,419977408.0,0.185,8,Technology,Software—Application
2013-01-31,-0.089,-95.039,10.839,1.332,-0.114,0.0,0.0,0.986,46.82,45.5,564896000.0,25702768000.0,3050195000.0,556987456.0,0.183,9,Technology,Software—Application
2014-01-31,-0.057,-160.539,12.16,1.986,-0.076,0.0,0.0,0.964,63.68,62.37,597613000.0,37273122810.0,4071003000.0,576098932.0,0.142,10,Technology,Software—Application
2015-01-31,-0.049,-162.661,10.749,1.69,-0.066,-0.0,0.0,1.213,69.91,68.46,624148000.0,42729172080.0,5373586000.0,757091524.0,0.141,11,Technology,Software—Application
2016-01-31,-0.007,-976.859,9.26,1.553,-0.009,-0.0,0.0,1.364,71.77,70.02,661647000.0,46328522940.0,6667216000.0,902486508.0,0.135,12,Technology,Software—Application
2017-01-31,0.021,316.537,7.581,1.345,0.024,-0.0,-0.0,2.469,85.01,82.67,687797000.0,56860177990.0,8391984000.0,1698170793.0,0.202,13,Technology,Software—Application
2018-01-31,0.012,683.749,9.28,1.237,0.014,-0.0,-0.0,3.083,125.48,121.92,714919000.0,87162924480.0,10480012000.0,2204095277.0,0.21,14,Technology,Software—Application
2019-01-31,0.084,111.317,7.918,0.97,0.071,-0.0,-0.0,3.732,168.08,164.53,751000000.0,123562030000.0,13282000000.0,2802732000.0,0.211,15,Technology,Software—Application
2020-01-31,0.007,1121.124,4.169,0.627,0.004,0.0,0.0,4.449,175.4,170.4,829000000.0,141261600000.0,17098000000.0,3688221000.0,0.216,16,Technology,Software—Application
2021-01-31,0.192,47.601,4.671,0.598,0.098,0.0,0.0,4.506,220.29,213.47,908000000.0,193830760908.0,21252000000.0,4091448000.0,0.193,17,Technology,Software—Application
2022-01-31,0.055,139.143,3.456,0.638,0.025,0.0,0.0,5.532,216.11,210.39,955000000.0,200922450000.0,26492000000.0,5283060000.0,0.199,18,Technology,Software—Application
