Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-07-26,0.163,51.379,12.563,0.271,0.245,0.0,0.0,0.179,8.73,8.69,6203871000.0,53896129312.5,6440000000.0,1110492909.0,0.172,7,Technology,Communication Equipment
1998-07-25,0.16,78.019,14.82,0.255,0.19,0.0,0.0,0.402,17.25,17.17,6135475999.0,105325678883.254,8459000000.0,2466461351.598,0.292,8,Technology,Communication Equipment
1999-07-31,0.172,102.322,18.296,0.256,0.179,0.0,0.0,0.6,33.5,33.38,6426000000.0,214467750000.0,12154000000.0,3855600000.0,0.317,9,Technology,Communication Equipment
2000-07-29,0.141,171.272,17.246,0.241,0.101,0.0,0.0,0.667,66.67,66.06,6917000000.0,456954312500.0,18928000000.0,4613639000.0,0.244,10,Technology,Communication Equipment
2001-07-28,-0.045,-127.811,4.779,0.299,-0.037,0.0,0.0,0.572,18.69,18.01,7196000000.0,129599961439.2,22293000000.0,4116112000.0,0.185,11,Technology,Communication Equipment
2002-07-27,0.1,55.886,3.692,0.319,0.066,0.0,0.0,0.54,15.79,14.49,7301000000.0,105791488539.8,18915000000.0,3942540000.0,0.208,12,Technology,Communication Equipment
2003-07-26,0.19,37.79,4.824,0.324,0.128,0.0,0.0,0.635,19.53,18.98,7124000000.0,135213516438.0,18878000000.0,4523740000.0,0.24,13,Technology,Communication Equipment
2004-07-31,0.2,29.576,5.04,0.375,0.17,0.0,0.0,0.951,19.57,19.03,6840000000.0,130165204788.0,22045000000.0,6504840000.0,0.295,14,Technology,Communication Equipment
2005-07-30,0.231,19.932,4.938,0.462,0.248,0.0,0.0,1.06,18.37,17.64,6487000000.0,114430676107.8,24801000000.0,6876220000.0,0.277,15,Technology,Communication Equipment
2006-07-29,0.196,23.628,5.514,0.811,0.233,0.0,0.0,1.157,21.95,21.41,6158000000.0,131842778768.4,28484000000.0,7124806000.0,0.25,16,Technology,Communication Equipment
2007-07-28,0.21,25.68,5.982,0.694,0.233,0.0,0.0,1.462,31.72,31.1,6055000000.0,188310502422.0,34922000000.0,8852410000.0,0.253,17,Technology,Communication Equipment
2008-07-26,0.204,17.998,4.219,0.71,0.234,0.0,0.0,1.808,25.08,24.21,5986000000.0,144921054612.6,39540000000.0,10822688000.0,0.274,18,Technology,Communication Equipment
2009-07-25,0.17,20.96,3.327,0.763,0.159,0.0,-0.0,1.526,23.04,22.06,5828000000.0,128565677086.0,36117000000.0,8893528000.0,0.246,19,Technology,Communication Equipment
2010-07-31,0.194,14.996,2.631,0.832,0.175,0.0,-0.0,1.599,21.12,20.32,5732000000.0,116474238280.4,40040000000.0,9165468000.0,0.229,20,Technology,Communication Equipment
2011-07-30,0.15,13.409,1.843,0.844,0.137,0.008,0.101,1.611,17.13,15.74,5529000000.0,87026458894.2,43218000000.0,8907219000.0,0.206,21,Technology,Communication Equipment
2012-07-28,0.175,12.929,2.027,0.789,0.157,0.014,0.187,1.93,21.18,19.36,5370000000.0,103963203222.0,46061000000.0,10364100000.0,0.225,22,Technology,Communication Equipment
2013-07-27,0.205,12.721,2.148,0.712,0.169,0.026,0.332,2.202,25.32,23.83,5329000000.0,126990069467.1,48607000000.0,11734458000.0,0.241,23,Technology,Communication Equipment
2014-07-26,0.167,16.462,2.282,0.856,0.139,0.029,0.479,2.113,25.99,24.7,5234000000.0,129279804187.2,47142000000.0,11059442000.0,0.235,24,Technology,Communication Equipment
2015-07-25,0.183,14.316,2.154,0.899,0.15,0.032,0.455,2.219,26.54,25.19,5104000000.0,128569762552.0,49161000000.0,11325776000.0,0.23,25,Technology,Communication Equipment
2016-07-30,0.218,14.859,2.51,0.913,0.169,0.03,0.442,2.459,33.09,31.58,5053000000.0,159573739494.7,49247000000.0,12425327000.0,0.252,26,Technology,Communication Equipment
2017-07-29,0.2,16.445,2.389,0.963,0.145,0.035,0.574,2.577,33.88,31.54,5010000000.0,158015404509.0,48005000000.0,12910770000.0,0.269,27,Technology,Communication Equipment
2018-07-28,0.002,2048.689,5.216,1.518,0.003,0.026,54.255,2.653,48.44,46.59,4837000000.0,225355830967.4,49330000000.0,12832561000.0,0.26,28,Technology,Communication Equipment
2019-07-27,0.224,17.91,6.2,1.913,0.346,0.029,0.514,3.377,49.76,47.1,4419000000.0,208134893371.5,51904000000.0,14922963000.0,0.288,29,Technology,Communication Equipment
2020-07-25,0.227,15.933,4.712,1.501,0.296,0.034,0.536,3.46,44.97,42.18,4236000000.0,178674481270.8,49301000000.0,14656560000.0,0.297,30,Technology,Communication Equipment
2021-07-31,0.213,23.572,6.048,1.362,0.257,0.025,0.582,3.496,61.3,59.13,4222000000.0,249646864644.2,49818000000.0,14760112000.0,0.296,31,Technology,Communication Equipment
2022-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.47,46.77,4170000000.0,195030900000.0,51557000000.0,0.0,0.0,32,Technology,Communication Equipment
