Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.078,15.037,2.802,1.03,0.186,0.03,0.459,0.522,38.15,37.38,1309981842.0,48960571344.75,41950000000.0,683810521.524,0.016,76,Energy
1998-12-31,0.044,36.369,2.859,1.145,0.079,0.033,1.192,-0.114,37.69,37.25,1307333718.0,48698180995.5,30557000000.0,-149036043.852,-0.005,77,Energy
1999-12-31,0.038,16.693,1.776,1.47,0.106,0.049,0.823,-0.094,42.8,41.28,1313000000.0,54202281250.0,85713000000.0,-123422000.0,-0.001,78,Energy
2000-12-31,0.065,6.914,1.566,1.275,0.226,0.052,0.361,4.473,42.71,40.93,1305282000.0,53425192651.585,119130000000.0,5838526386.0,0.049,79,Energy
2001-12-31,0.031,26.758,2.569,1.265,0.096,0.032,0.869,0.824,42.55,41.55,2117419355.0,87978772506.315,106245000000.0,1744753548.52,0.016,80,Energy
2002-12-31,0.011,60.0,2.149,1.438,0.036,0.044,2.642,1.108,33.5,32.1,2115887850.0,67919996811.168,99049000000.0,2344403737.8,0.024,81,Energy
2003-12-31,0.059,12.389,2.468,1.237,0.199,0.034,0.425,3.225,45.23,43.17,2074605452.0,89571088730.416,121761000000.0,6690602582.7,0.055,82,Energy
2004-12-31,0.086,8.527,2.513,1.057,0.295,0.029,0.246,3.961,58.11,53.72,2115555556.0,113647647006.987,155300000000.0,8379715557.316,0.054,83,Energy
2005-12-31,0.071,9.233,2.077,1.004,0.225,0.03,0.275,5.322,65.44,60.75,2142705167.0,130169338895.25,198200000000.0,11403476898.774,0.058,84,Energy
2006-12-31,0.082,9.32,2.317,0.921,0.249,0.028,0.257,4.808,77.87,73.07,2185969388.0,159728782525.369,210118000000.0,10510140817.504,0.05,85,Energy
2007-12-31,0.085,9.426,2.285,0.927,0.242,0.027,0.256,3.921,86.71,83.23,2116421291.0,176149751245.762,220904000000.0,8298487882.011,0.038,86,Energy
2008-12-31,0.088,6.006,1.659,0.855,0.276,0.036,0.216,4.89,75.11,70.52,2038000000.0,143719753070.8,273005000000.0,9965820000.0,0.037,87,Energy
2009-12-31,0.062,13.706,1.563,0.784,0.114,0.037,0.506,-0.236,76.49,72.12,1992274000.0,143682806259.14,168320000000.0,-470176664.0,-0.003,88,Energy
2010-12-31,0.095,9.806,1.775,0.751,0.181,0.03,0.298,5.879,100.41,93.37,1998005000.0,186553732244.613,199291000000.0,11746271395.0,0.059,89,Energy
2011-12-31,0.109,7.638,1.692,0.719,0.222,0.03,0.228,7.349,111.4,103.41,1986482000.0,205422110969.983,246343000000.0,14598656218.0,0.059,90,Energy
2012-12-31,0.114,8.676,1.664,0.697,0.192,0.03,0.261,4.037,127.19,116.45,1950480000.0,227133389953.512,230590000000.0,7874087760.0,0.034,91,Energy
2013-12-31,0.097,10.42,1.497,0.693,0.144,0.033,0.349,-1.556,124.92,116.45,1917018000.0,223236740157.244,220156000000.0,-2982880008.0,-0.014,92,Energy
2014-12-31,0.096,10.037,1.246,0.708,0.124,0.041,0.412,-2.087,109.32,102.53,1883633000.0,193128889229.64,200494000000.0,-3931142071.0,-0.02,93,Energy
2015-12-31,0.035,35.213,1.058,0.735,0.03,0.049,1.742,-5.379,92.37,86.47,1867941000.0,161520860511.529,129925000000.0,-10047654639.0,-0.077,94,Energy
2016-12-31,-0.005,-421.359,1.439,0.779,-0.003,0.038,-16.161,-2.81,115.55,111.82,1872789000.0,209415265418.163,110215000000.0,-5262537090.0,-0.048,95,Energy
2017-12-31,0.068,25.643,1.592,0.705,0.062,0.034,0.884,3.777,127.79,125.23,1882834000.0,235787308221.636,134674000000.0,7111464018.0,0.053,96,Energy
2018-12-31,0.093,14.466,1.388,0.636,0.096,0.04,0.574,8.867,117.93,113.01,1897623000.0,214450379215.008,158902000000.0,16826223141.0,0.106,97,Energy
2019-12-31,0.021,71.72,1.454,0.639,0.02,0.043,3.064,7.011,114.42,111.4,1882499000.0,209710391423.749,139865000000.0,13198200489.0,0.094,98,Energy
2020-12-31,-0.059,-28.744,1.21,0.813,-0.042,0.061,-1.741,0.885,88.19,85.2,1870027000.0,159326294602.916,94471000000.0,1654973895.0,0.018,99,Energy
2021-12-31,0.1,15.632,1.756,0.716,0.112,0.042,0.651,11.3,133.63,130.61,1870027000.0,244244227592.016,155606000000.0,21131305100.0,0.136,100,Energy
