Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.09,5.446,1.179,1.879,0.217,0.077,0.419,3.309,43.72,42.7,230599769.0,9846170474.78,20018000000.0,763054635.621,0.038,0,Basic Materials
1998-12-31,0.071,7.128,1.167,1.977,0.164,0.084,0.6,6.264,42.33,41.78,223499776.0,9337573964.577,18441000000.0,1400002596.864,0.076,0,Basic Materials
1999-12-31,0.07,9.002,1.291,1.747,0.143,0.064,0.579,5.175,56.74,54.44,220099779.0,11982246781.475,18929000000.0,1139016356.325,0.06,0,Basic Materials
2000-12-31,0.066,7.059,1.058,1.738,0.15,0.073,0.518,-0.599,48.35,47.39,225333108.0,10679636109.42,23008000000.0,-134974531.692,-0.006,0,Basic Materials
2001-12-31,-0.014,-31.604,1.176,2.431,-0.037,0.087,-2.761,0.672,41.21,40.48,300599699.0,12167611730.665,27805000000.0,202002997.728,0.007,0,Basic Materials
2002-12-31,-0.012,-35.784,1.586,4.14,-0.044,0.101,-3.601,1.598,44.74,39.85,303499696.0,12094934797.277,27609000000.0,484992514.208,0.018,0,Basic Materials
2003-12-31,0.053,10.57,1.993,3.525,0.189,0.067,0.71,8.751,67.52,59.71,306266360.0,18285989915.989,32632000000.0,2680136916.36,0.082,0,Basic Materials
2004-12-31,0.07,7.842,1.788,2.703,0.228,0.057,0.448,4.267,79.91,70.0,313366353.0,21934518659.347,40161000000.0,1337134228.251,0.033,0,Basic Materials
2005-12-31,0.098,4.299,1.267,1.976,0.295,0.066,0.285,8.961,72.31,60.46,321066345.0,19411831366.593,46307000000.0,2877075517.545,0.062,0,Basic Materials
2006-12-31,0.076,5.056,1.103,1.65,0.218,0.075,0.377,6.768,67.29,58.7,320766345.0,18827587321.608,49124000000.0,2170946622.96,0.044,0,Basic Materials
2007-12-31,0.054,5.917,0.881,1.496,0.149,0.089,0.524,7.488,59.24,53.77,317699682.0,17083070774.701,53513000000.0,2378935218.816,0.044,0,Basic Materials
2008-12-31,0.01,8.836,0.379,2.366,0.043,0.314,2.777,7.648,25.52,16.5,310133023.0,5115859787.849,57514000000.0,2371897359.904,0.041,0,Basic Materials
2009-12-31,0.014,20.69,0.652,2.18,0.032,0.077,1.59,-0.138,46.74,38.56,347732985.0,13407324204.089,44875000000.0,-47987151.93,-0.001,0,Basic Materials
2010-12-31,0.043,8.107,0.858,2.15,0.106,0.054,0.439,5.135,68.66,49.9,375299624.0,18727390251.411,53674000000.0,1927163569.24,0.036,0,Basic Materials
2011-12-31,0.046,6.598,0.812,2.055,0.123,0.07,0.459,2.739,61.45,47.24,382999617.0,18092259693.322,59985000000.0,1049035950.963,0.017,0,Basic Materials
2012-12-31,0.021,16.249,0.92,2.287,0.057,0.107,1.734,3.747,60.33,49.26,389899610.0,19206207241.338,56786000000.0,1460953838.67,0.026,0,Basic Materials
2013-12-31,0.084,5.327,0.948,1.546,0.178,0.058,0.309,13.963,79.51,64.49,395399604.0,25498668013.073,57080000000.0,5520964670.652,0.097,0,Basic Materials
2014-12-31,0.065,6.651,1.119,2.027,0.168,0.081,0.536,7.507,78.76,64.27,390299609.0,25086454365.788,58167000000.0,2929979164.763,0.05,0,Basic Materials
2015-12-31,0.158,2.93,0.887,1.649,0.303,0.1,0.293,9.796,82.55,59.78,376699623.0,22518097109.897,48778000000.0,3690149506.908,0.076,0,Basic Materials
2016-12-31,0.09,7.323,1.217,2.012,0.166,0.078,0.57,3.72,103.5,85.61,369366297.0,31621327718.708,48158000000.0,1374042624.84,0.029,0,Basic Materials
2017-12-31,0.023,38.568,0.561,0.899,0.015,0.06,2.325,9.502,132.45,106.93,526599473.0,56309418405.773,62484000000.0,5003748192.446,0.08,0,Basic Materials
2018-12-31,0.045,16.835,0.684,0.971,0.041,0.054,0.908,0.991,101.95,84.37,766999233.0,64712821636.914,85977000000.0,760096239.903,0.009,1,Basic Materials
2019-12-31,0.023,79.006,0.96,0.679,0.012,0.041,3.235,-1.699,54.78,52.72,746300000.0,39344936895.56,21512000000.0,-1267963700.0,-0.059,2,Basic Materials
2020-12-31,-0.145,-19.802,1.518,0.827,-0.077,0.015,-0.299,3.849,82.91,79.45,735500000.0,58435472719.95,20397000000.0,2830939500.0,0.139,3,Basic Materials
2021-12-31,0.388,6.134,1.501,0.706,0.245,0.016,0.097,-1.833,79.93,76.07,521500000.0,39670504843.55,16653000000.0,-955909500.0,-0.057,4,Basic Materials
