Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-09-30,0.087,27.793,3.161,1.185,0.114,0.006,0.174,2.495,0.0,0.0,2061000000.0,54641619468.0,22473000000.0,5142195000.0,0.229,40,Communication Services
1998-09-30,0.081,29.26,2.792,1.134,0.095,0.008,0.223,1.27,0.0,0.0,2037000000.0,54130918191.0,22976000000.0,2586990000.0,0.113,41,Communication Services
1999-09-30,0.056,41.345,2.563,1.082,0.062,0.0,0.0,1.525,0.0,0.0,2056000000.0,53748466000.0,23402000000.0,3135400000.0,0.134,42,Communication Services
2000-09-30,0.036,78.643,2.958,0.841,0.038,0.006,0.472,2.059,0.0,0.0,2103000000.0,72352003158.0,25402000000.0,4330077000.0,0.17,43,Communication Services
2001-09-30,-0.006,-236.408,1.62,0.896,-0.007,0.012,-2.772,0.601,0.0,0.0,2085000000.0,37352443485.0,25269000000.0,1253085000.0,0.05,44,Communication Services
2002-09-30,0.049,27.456,1.421,1.096,0.052,0.013,0.346,0.587,0.0,0.0,2044000000.0,33936112980.0,25329000000.0,1199828000.0,0.047,45,Communication Services
2003-09-30,0.047,36.823,1.961,1.083,0.053,0.009,0.339,0.896,0.0,0.0,2067000000.0,46654502973.0,27061000000.0,1852032000.0,0.068,46,Communication Services
2004-09-30,0.076,21.739,1.955,1.036,0.09,0.008,0.183,1.57,25.88,24.88,2049000000.0,50978156970.0,30752000000.0,3216930000.0,0.105,47,Communication Services
2005-09-30,0.079,18.814,1.818,0.981,0.097,0.01,0.193,1.206,19.5,19.78,2028000000.0,47654816040.0,31944000000.0,2445768000.0,0.077,48,Communication Services
2006-09-30,0.098,18.677,1.98,0.843,0.106,0.008,0.154,2.374,32.63,31.43,2005000000.0,63016929450.0,34285000000.0,4759870000.0,0.139,49,Communication Services
2007-09-30,0.132,14.661,2.234,0.939,0.152,0.009,0.136,1.924,36.12,34.29,2004000000.0,68717162004.0,35510000000.0,3855696000.0,0.109,50,Communication Services
2008-09-30,0.117,10.814,1.481,0.892,0.137,0.014,0.15,2.042,26.92,25.33,1890000000.0,47873700000.0,37843000000.0,3859380000.0,0.102,51,Communication Services
2009-09-30,0.091,15.405,1.51,0.821,0.098,0.013,0.196,1.919,24.78,23.6,1856000000.0,50798721856.0,36149000000.0,3561664000.0,0.099,52,Communication Services
2010-09-30,0.104,17.389,1.837,0.796,0.106,0.009,0.165,2.336,31.57,31.38,1915000000.0,69188951915.0,38063000000.0,4473440000.0,0.118,53,Communication Services
2011-09-30,0.118,13.467,1.732,0.874,0.129,0.012,0.157,1.851,30.78,30.71,1878000000.0,68002378122.0,40893000000.0,3476178000.0,0.085,54,Communication Services
2012-09-30,0.134,15.814,2.26,0.828,0.143,0.012,0.189,2.331,51.97,50.08,1794000000.0,89843523588.0,42278000000.0,4181814000.0,0.099,55,Communication Services
2013-09-30,0.136,20.089,2.713,0.728,0.135,0.011,0.216,3.726,70.66,68.47,1792000000.0,122698241792.0,45041000000.0,6676992000.0,0.148,56,Communication Services
2014-09-30,0.154,20.241,3.377,0.8,0.167,0.01,0.201,3.769,92.19,90.22,1740000000.0,156982801740.0,48813000000.0,6558060000.0,0.134,57,Communication Services
2015-09-30,0.16,23.165,4.361,0.888,0.188,0.016,0.365,4.218,107.67,107.84,1694000000.0,192675556612.0,52465000000.0,7145292000.0,0.136,58,Communication Services
2016-09-30,0.169,15.862,3.443,1.033,0.217,0.016,0.246,5.204,88.65,88.08,1629000000.0,152881646742.0,55632000000.0,8477316000.0,0.152,59,Communication Services
2017-09-30,0.163,17.119,3.721,1.229,0.217,0.016,0.272,5.561,100.6,98.04,1568000000.0,153726721568.0,55137000000.0,8719648000.0,0.158,60,Communication Services
2018-09-30,0.212,13.345,3.447,0.938,0.258,0.015,0.2,6.61,117.53,114.76,1499000000.0,172025242998.0,59434000000.0,9908390000.0,0.167,61,Communication Services
2019-09-28,0.159,19.555,2.432,1.183,0.124,0.013,0.262,1.045,133.8,130.53,1656000000.0,216157678344.0,69570000000.0,1730520000.0,0.025,62,Communication Services
2020-10-03,-0.044,-75.836,2.599,1.355,-0.034,0.007,-0.554,1.989,130.04,120.13,1808000000.0,217195034576.0,65388000000.0,3596112000.0,0.055,63,Communication Services
2021-10-02,0.03,154.92,3.49,1.249,0.023,0.0,0.0,1.095,178.98,170.19,1816000000.0,309065040000.0,67418000000.0,1988520000.0,0.029,64,Communication Services
