Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.093,30.387,6.539,6.975,0.215,0.014,0.416,4.665,203.39,198.72,1254375000.0,249266836684.688,88540000000.0,5851659375.0,0.066,105,Industrials,Specialty Industrial Machinery
1998-12-31,0.093,35.462,7.639,7.248,0.215,0.012,0.421,8.466,272.43,268.91,1225875000.0,329650350021.825,99820000000.0,10378257750.0,0.104,106,Industrials,Specialty Industrial Machinery
1999-12-31,0.097,39.41,8.841,7.482,0.224,0.011,0.428,-2.085,350.55,343.59,1229250000.0,422357702891.85,110832000000.0,-2562986250.0,-0.023,107,Industrials,Specialty Industrial Machinery
2000-12-31,0.098,34.561,7.941,6.884,0.23,0.012,0.424,7.051,362.39,355.77,1237125000.0,440131003838.963,129853000000.0,8722968375.0,0.067,108,Industrials,Specialty Industrial Machinery
2001-12-31,0.109,25.738,5.866,7.245,0.228,0.018,0.465,13.431,291.01,283.69,1241500000.0,352204017514.7,125913000000.0,16674586500.0,0.132,109,Industrials,Specialty Industrial Machinery
2002-12-31,0.107,15.277,3.386,7.944,0.222,0.033,0.507,12.978,180.63,173.46,1243375000.0,215677733096.525,131698000000.0,16136520750.0,0.123,110,Industrials,Specialty Industrial Machinery
2003-12-31,0.112,21.596,4.092,7.104,0.189,0.024,0.509,16.386,268.8,258.69,1252375000.0,323979796514.275,134187000000.0,20521416750.0,0.153,111,Industrials,Specialty Industrial Machinery
2004-12-31,0.109,21.545,3.242,5.655,0.15,0.023,0.499,17.974,286.79,275.0,1300000000.0,357500000000.0,152363000000.0,23366200000.0,0.153,112,Industrials,Specialty Industrial Machinery
2005-12-31,0.109,20.466,3.061,5.084,0.15,0.028,0.572,17.559,260.13,253.31,1321250000.0,334682790036.875,149702000000.0,23199828750.0,0.155,113,Industrials,Specialty Industrial Machinery
2006-12-31,0.127,17.23,3.195,5.14,0.185,0.029,0.5,10.809,288.18,277.15,1294875000.0,358879577404.613,163391000000.0,13996303875.0,0.086,114,Industrials,Specialty Industrial Machinery
2007-12-31,0.129,15.403,2.96,5.813,0.192,0.034,0.517,22.076,281.14,268.77,1272750000.0,342076032518.775,172738000000.0,28097229000.0,0.163,115,Industrials,Specialty Industrial Machinery
2008-12-31,0.095,6.753,1.123,6.537,0.166,0.106,0.713,25.866,131.55,93.31,1260000000.0,117567693810.0,182515000000.0,32591160000.0,0.179,116,Industrials,Specialty Industrial Machinery
2009-12-31,0.07,14.885,1.399,5.599,0.094,0.055,0.815,12.029,178.16,123.69,1326750000.0,164108767648.875,156783000000.0,15959475750.0,0.102,117,Industrials,Specialty Industrial Machinery
2010-12-31,0.078,17.707,1.734,5.272,0.098,0.023,0.411,19.838,214.89,155.38,1326922000.0,206183261451.186,150211000000.0,26323478636.0,0.175,118,Industrials,Specialty Industrial Machinery
2011-12-31,0.099,13.578,1.65,5.145,0.122,0.034,0.456,15.669,209.32,145.38,1321627125.0,192144248098.428,142237000000.0,20708575421.625,0.146,119,Industrials,Specialty Industrial Machinery
2012-12-31,0.094,16.489,1.828,4.526,0.111,0.032,0.527,12.32,229.81,171.0,1315375000.0,224929125000.0,144796000000.0,16205420000.0,0.112,120,Industrials,Specialty Industrial Machinery
2013-12-31,0.091,19.195,1.92,3.981,0.1,0.031,0.599,11.834,265.46,196.15,1277750000.0,250635567910.025,142937000000.0,15120893500.0,0.106,121,Industrials,Specialty Industrial Machinery
2014-12-31,0.103,15.148,1.8,3.991,0.119,0.038,0.581,11.136,255.61,183.77,1255625000.0,230745234521.812,147811000000.0,13982640000.0,0.095,122,Industrials,Specialty Industrial Machinery
2015-12-31,-0.053,-45.42,2.831,3.994,-0.062,0.033,-1.517,10.122,280.55,223.85,1243000000.0,278240777998.7,115158000000.0,12581646000.0,0.109,123,Industrials,Specialty Industrial Machinery
2016-12-31,0.074,29.441,3.429,3.794,0.116,0.034,0.997,-6.598,273.12,230.46,1128125000.0,259989416464.375,119687000000.0,-7443368750.0,-0.062,124,Industrials,Specialty Industrial Machinery
2017-12-31,-0.048,-22.906,2.062,4.605,-0.09,0.065,-1.495,2.32,162.78,122.69,1080208333.0,132533251876.29,120468000000.0,2506083332.56,0.021,125,Industrials,Specialty Industrial Machinery
2018-12-31,-0.184,-3.402,2.455,8.316,-0.722,0.059,-0.2,-3.507,101.78,70.0,1086375000.0,76046250000.0,121616000000.0,-3809917125.0,-0.031,126,Industrials,Specialty Industrial Machinery
2019-12-31,-0.052,-22.305,3.922,8.341,-0.176,0.006,-0.13,2.455,135.21,101.84,1090500000.0,111056515965.15,95215000000.0,2677177500.0,0.028,127,Industrials,Specialty Industrial Machinery
2020-12-31,0.072,16.389,2.629,6.086,0.16,0.007,0.114,0.177,118.92,85.44,1094125000.0,93482042625.9,79619000000.0,193660125.0,0.002,128,Industrials,Specialty Industrial Machinery
2021-12-31,-0.088,-15.51,2.509,3.901,-0.162,0.006,-0.088,1.795,106.46,92.1,1098000000.0,101125798353.0,74196000000.0,1970910000.0,0.027,129,Industrials,Specialty Industrial Machinery
