Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-02-02,0.048,28.73,4.525,4.901,0.569,0.158,0.1,0.004,0.117,-0.043,-0.005,0.514,87000000.0,12.34,12.28,12.278,2194884000.0,26948298487.752,19536000000.0,0.236,0.237,-3.793,0.265,0.48,0.05,107812702.08,-94380012.0,13,Consumer Cyclical
1998-02-01,0.048,40.487,6.617,6.887,0.582,0.163,0.103,0.003,0.12,-0.207,-0.019,0.297,140000000.0,21.53,21.46,21.458,2188679245.0,46965405880.719,24156000000.0,0.251,0.391,0.108,0.199,0.774,0.06,140907169.79,-453056603.715,14,Consumer Cyclical
1999-01-31,0.053,53.716,9.909,9.212,0.539,0.184,0.12,0.002,0.104,-0.183,-0.013,0.186,0.0,39.32,39.29,39.292,2206500000.0,86697065442.0,30219000000.0,0.272,0.437,0.665,0.492,1.648,0.08,173386770.0,-403789500.0,15,Consumer Cyclical
2000-01-30,0.06,55.616,10.455,9.7,0.384,0.188,0.136,0.002,0.11,-0.06,-0.004,0.207,311000000.0,57.56,57.5,57.5,2244000000.0,129030000000.0,38434000000.0,0.19,0.113,-4.644,0.41,2.734,0.12,258060000.0,-134640000.0,16,Consumer Cyclical
2001-01-28,0.056,40.643,6.991,7.43,0.425,0.172,0.121,0.004,0.144,-0.324,0.0,0.231,0.0,44.67,44.6,0.0,0.0,0.0,45738000000.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,17,Consumer Cyclical
2002-02-03,0.057,36.436,6.134,6.613,0.46,0.168,0.115,0.004,0.13,1.101,0.048,0.533,419000000.0,48.56,47.5,47.5,2335000000.0,110912500000.0,53553000000.0,0.171,0.179,4.373,0.058,2.378,0.19,443650000.0,2570835000.0,18,Consumer Cyclical
2003-02-02,0.063,14.09,2.607,2.558,0.516,0.185,0.122,0.01,0.134,0.879,0.035,0.414,575000000.0,23.03,22.1,22.1,2336000000.0,51625600000.0,58247000000.0,0.088,0.204,-0.201,0.242,2.316,0.22,516256000.0,2053344000.0,19,Consumer Cyclical
2004-02-01,0.066,19.642,3.773,3.485,0.537,0.192,0.125,0.007,0.138,1.068,0.038,0.413,833000000.0,38.27,37.03,37.03,2283000000.0,84539487717.0,64816000000.0,0.113,0.175,0.188,0.237,2.423,0.26,591776430.0,2438244000.0,20,Consumer Cyclical
2005-01-30,0.068,17.675,3.659,3.032,0.611,0.207,0.129,0.008,0.144,1.339,0.04,0.348,1394000000.0,40.28,40.05,40.05,2207000000.0,88390347793.0,73094000000.0,0.128,0.162,0.212,0.25,1.867,0.32,707122800.0,2955173000.0,21,Consumer Cyclical
2006-01-29,0.072,15.436,3.349,2.565,0.653,0.217,0.131,0.01,0.147,1.217,0.032,0.248,3286000000.0,42.52,42.15,42.15,2138000000.0,90116704276.0,81511000000.0,0.115,0.167,-0.119,0.23,1.501,0.42,901167000.0,2601946000.0,22,Consumer Cyclical
2007-01-28,0.063,14.197,3.268,2.267,1.088,0.23,0.11,0.017,0.242,2.005,0.045,0.297,6314000000.0,40.11,39.82,39.82,2054000000.0,81790280000.0,90837000000.0,0.114,-0.013,0.582,0.694,3.005,0.68,1390434760.0,4118270000.0,23,Consumer Cyclical
2008-02-03,0.057,11.304,2.805,1.625,1.502,0.248,0.099,0.034,0.389,1.173,0.028,0.135,1109000000.0,27.11,26.87,26.87,1849000000.0,49682631849.0,77349000000.0,-0.148,-0.237,-0.473,0.361,3.388,0.91,1689209420.0,2168877000.0,24,Consumer Cyclical
