Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
1997-10-31,0.073,9.407,1.816,6.993,0.965,0.193,0.098,0.018,0.171,1.136,0.0,15.33,13.88,13.879,2114000000.0,29341110792.0,42895000000.0,6011000000.0,0.116,0.206,0.58,0.177,0.872,0.25,528161760.0,0.14,36,Technology
1998-10-31,0.063,9.975,1.736,7.254,0.99,0.174,0.087,0.021,0.212,0.877,0.0,16.16,14.21,14.206,2068000000.0,29377668848.0,47061000000.0,5960000000.0,0.097,-0.056,0.737,0.201,1.249,0.3,617111880.0,0.127,37,Technology
1999-10-31,0.082,12.453,2.376,8.836,0.929,0.191,0.099,0.015,0.186,0.938,0.0,24.22,21.54,21.543,2018000000.0,43473602470.0,42370000000.0,5897000000.0,-0.1,0.185,-0.448,0.066,1.397,0.32,652015800.0,0.139,38,Technology
2000-10-31,0.076,7.688,2.0,5.35,1.393,0.26,0.109,0.022,0.173,0.827,0.0,16.09,14.36,14.362,1979000000.0,28422287176.0,48782000000.0,6129000000.0,0.151,0.059,0.415,0.001,0.895,0.32,625205680.0,0.126,39,Technology
2001-10-31,0.009,47.386,1.386,32.257,1.335,0.029,0.013,0.032,1.522,0.788,0.0,12.15,9.99,9.986,1936000000.0,19333623936.0,45226000000.0,1855000000.0,-0.073,-0.89,-0.615,-0.005,0.5,0.32,618900480.0,0.041,40,Technology
2002-10-31,-0.016,-24.482,0.61,-21.512,0.95,-0.025,-0.013,0.036,-0.887,0.96,0.0,13.33,8.85,8.847,2499000000.0,22107410997.0,56588000000.0,1087000000.0,0.251,-3.213,2.611,-0.001,0.274,0.32,796181400.0,0.019,41,Technology
2003-10-31,0.035,11.848,0.797,12.694,0.979,0.067,0.034,0.032,0.385,0.994,0.0,14.53,9.87,9.873,3047000000.0,30082552621.0,73061000000.0,5415000000.0,0.291,3.812,0.088,0.0,0.061,0.32,962364480.0,0.074,42,Technology
2004-10-31,0.044,7.854,0.731,8.351,1.027,0.093,0.046,0.035,0.278,1.084,0.0,13.27,9.08,9.083,3024000000.0,27465939648.0,79905000000.0,6591000000.0,0.094,0.377,-0.271,0.002,-0.002,0.32,961027200.0,0.082,43,Technology
2005-10-31,0.028,16.177,1.043,16.376,1.08,0.065,0.031,0.024,0.386,0.995,0.0,18.31,13.47,13.474,2879000000.0,38791974206.0,86696000000.0,5887000000.0,0.085,-0.314,1.037,0.001,-0.002,0.32,930723120.0,0.068,44,Technology
2006-10-31,0.068,8.044,1.307,7.868,1.149,0.162,0.076,0.018,0.144,0.976,16853000000.0,23.82,17.92,17.92,2782000000.0,49853643086.0,91658000000.0,9544000000.0,0.057,1.585,0.461,-0.001,0.002,0.32,897361920.0,0.104,45,Technology
2007-10-31,0.07,8.412,1.586,7.779,1.302,0.189,0.082,0.014,0.116,0.841,21773000000.0,27.53,23.23,23.233,2630000000.0,61103902490.0,104286000000.0,11882000000.0,0.138,0.172,-0.254,0.001,0.004,0.33,855328600.0,0.114,46,Technology
2008-10-31,0.07,4.776,1.022,4.17,1.91,0.214,0.073,0.02,0.096,0.674,32335000000.0,20.11,16.02,16.022,2483000000.0,39782121951.0,118364000000.0,13829000000.0,0.135,0.147,0.764,-0.003,-0.0,0.32,795553200.0,0.117,47,Technology
2009-10-31,0.067,6.946,1.313,5.832,1.833,0.189,0.067,0.014,0.1,0.757,33109000000.0,27.84,22.28,22.28,2388000000.0,53204031060.0,114552000000.0,14188000000.0,-0.032,-0.08,-0.165,0.001,-0.002,0.31,744864960.0,0.124,48,Technology
