Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-31,0.078,15.235,4.685,3.113,0.307,0.008,0.129,0.894,50.82,47.2,1966572722.0,92829375070.526,78508000000.0,1758116013.468,0.022,82,Technology,Information Technology Services
1998-12-31,0.08,25.872,8.425,3.431,0.326,0.005,0.132,1.339,90.47,87.6,1869005570.0,163716671783.514,79075000000.0,2502598458.23,0.032,83,Technology,Information Technology Services
1999-12-31,0.088,25.012,9.404,3.266,0.376,0.005,0.114,2.039,109.44,106.66,1808538346.0,192892028286.402,87548000000.0,3687609687.494,0.042,84,Technology,Information Technology Services
2000-12-31,0.092,24.286,9.53,3.284,0.392,0.005,0.115,1.754,113.5,111.48,1763037049.0,196546603632.468,88396000000.0,3092366983.946,0.035,85,Technology,Information Technology Services
2001-12-31,0.09,22.647,7.407,2.74,0.327,0.006,0.125,4.965,104.56,100.91,1733258427.0,174900019202.053,85866000000.0,8605628090.055,0.1,86,Technology,Information Technology Services
2002-12-31,0.044,35.624,5.596,3.235,0.157,0.008,0.281,4.881,78.02,74.86,1703244345.0,127499077229.438,81186000000.0,8313535647.945,0.102,87,Technology,Information Technology Services
2003-12-31,0.085,21.538,5.861,2.749,0.272,0.007,0.143,5.817,99.1,94.87,1721588628.0,163320498794.851,89131000000.0,10014481049.076,0.112,88,Technology,Information Technology Services
2004-12-31,0.088,17.645,5.0,2.67,0.283,0.008,0.139,6.179,94.81,88.8,1674959086.0,148744691383.457,96293000000.0,10349572192.394,0.107,89,Technology,Information Technology Services
2005-12-31,0.087,15.744,3.774,2.195,0.24,0.01,0.158,6.423,85.89,78.04,1600591264.0,124910388733.615,91134000000.0,10280597688.672,0.113,90,Technology,Information Technology Services
2006-12-31,0.104,15.321,5.102,2.621,0.333,0.012,0.177,6.436,100.24,95.0,1530806987.0,145426663765.0,91424000000.0,9852273768.332,0.108,91,Technology,Information Technology Services
2007-12-31,0.105,13.797,5.049,3.23,0.366,0.015,0.206,7.441,111.54,101.0,1423039793.0,143732457951.089,98786000000.0,10588839099.713,0.107,92,Technology,Information Technology Services
2008-12-31,0.119,9.66,8.848,7.134,0.916,0.022,0.21,10.241,96.99,87.62,1359769923.0,119142359408.529,103630000000.0,13925403781.443,0.134,93,Technology,Information Technology Services
2009-12-31,0.14,11.567,6.86,3.811,0.593,0.018,0.213,12.58,126.19,117.01,1327200000.0,155292546444.0,95758000000.0,16696176000.0,0.174,94,Technology,Information Technology Services
2010-12-31,0.149,13.02,8.38,3.917,0.644,0.016,0.214,11.661,160.61,152.21,1268800000.0,193122043296.0,99870000000.0,14795476800.0,0.148,95,Technology,Information Technology Services
2011-12-31,0.148,13.894,10.939,4.777,0.787,0.016,0.219,12.681,193.99,184.03,1197000000.0,220289205528.0,106916000000.0,15179157000.0,0.142,96,Technology,Information Technology Services
2012-12-31,0.159,13.388,11.787,5.314,0.88,0.017,0.227,13.014,203.68,194.57,1142500000.0,222295989645.0,104507000000.0,14868495000.0,0.142,97,Technology,Information Technology Services
2013-12-31,0.165,11.259,8.142,4.532,0.723,0.022,0.246,12.193,179.35,169.56,1094500000.0,185583667357.0,99751000000.0,13345238500.0,0.134,98,Technology,Information Technology Services
2014-12-31,0.13,12.244,12.403,8.891,1.013,0.029,0.355,12.631,155.01,146.57,1004300000.0,147198112845.3,92793000000.0,12685313300.0,0.137,99,Technology,Information Technology Services
2015-12-31,0.161,8.852,8.187,6.736,0.925,0.042,0.371,13.137,127.16,119.3,978700000.0,116760966248.7,81742000000.0,12857181900.0,0.157,100,Technology,Information Technology Services
2016-12-31,0.149,13.525,8.8,5.43,0.651,0.033,0.443,13.406,176.26,168.07,955400000.0,160572962092.8,79920000000.0,12808092400.0,0.16,101,Technology,Information Technology Services
2017-12-31,0.073,25.363,8.293,6.117,0.327,0.038,0.957,13.884,169.26,156.42,932800000.0,145912744683.2,79139000000.0,12950995200.0,0.164,102,Technology,Information Technology Services
2018-12-31,0.11,13.424,6.976,6.338,0.52,0.048,0.649,12.372,140.95,128.47,912000000.0,117164974704.0,79590000000.0,11283264000.0,0.142,103,Technology,Information Technology Services
2019-12-31,0.122,12.301,5.566,6.295,0.453,0.049,0.605,13.371,139.97,130.76,887200000.0,116006070220.8,77147000000.0,11862751200.0,0.154,104,Technology,Information Technology Services
2020-12-31,0.076,18.136,4.922,6.566,0.271,0.057,1.037,16.811,128.71,113.87,890300000.0,101380148118.5,73621000000.0,14966833300.0,0.203,105,Technology,Information Technology Services
2021-12-31,0.1,20.988,6.376,5.979,0.304,0.049,1.022,11.192,141.92,134.5,895990771.0,120510758699.5,57351000000.0,10027928709.032,0.175,106,Technology,Information Technology Services
