Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-12-28,0.146,27.303,7.297,0.736,0.267,0.013,0.344,1.104,34.48,33.72,2674493927.0,90180592101.031,22629000000.0,2952641295.408,0.13,53,Healthcare,Drug Manufacturers—General
1998-12-28,0.129,36.536,8.224,0.929,0.225,0.012,0.427,-0.02,41.16,41.47,2695154185.0,111764675109.219,23657000000.0,-53903083.7,-0.002,54,Healthcare,Drug Manufacturers—General
1999-12-28,0.152,28.271,7.266,0.799,0.257,0.013,0.355,1.324,42.61,42.41,2778000000.0,117804562500.0,27471000000.0,3678072000.0,0.134,55,Healthcare,Drug Manufacturers—General
2000-12-31,0.165,26.551,6.776,0.665,0.255,0.014,0.359,1.767,47.03,45.8,2782608696.0,127443476050.713,29139000000.0,4916869565.832,0.169,56,Healthcare,Drug Manufacturers—General
2001-12-31,0.172,30.588,7.154,0.588,0.234,0.012,0.361,2.353,58.44,57.2,3031016043.0,173374120084.413,33004000000.0,7131980749.179,0.216,57,Healthcare,Drug Manufacturers—General
2002-12-29,0.182,24.109,7.007,0.787,0.291,0.015,0.361,2.027,54.01,53.04,2998636364.0,159047675445.333,36298000000.0,6078235909.828,0.167,58,Healthcare,Drug Manufacturers—General
2003-12-28,0.172,22.017,5.897,0.796,0.268,0.017,0.382,2.802,55.09,53.28,2973966942.0,158452955101.0,41862000000.0,8333055371.484,0.199,59,Healthcare,Drug Manufacturers—General
2004-12-28,0.18,22.794,6.097,0.676,0.267,0.017,0.382,3.021,68.52,65.42,2964808362.0,193957757705.385,47348000000.0,8956686061.602,0.189,60,Healthcare,Drug Manufacturers—General
2005-12-28,0.206,16.44,4.519,0.532,0.275,0.022,0.364,3.108,62.94,57.54,2974571429.0,171156842701.774,50514000000.0,9244968001.332,0.183,61,Healthcare,Drug Manufacturers—General
2006-12-31,0.207,17.657,4.964,0.794,0.281,0.022,0.386,3.915,67.78,66.39,2939627660.0,195161878583.623,53324000000.0,11508642288.9,0.216,62,Healthcare,Drug Manufacturers—General
2007-12-30,0.173,17.158,4.189,0.869,0.244,0.026,0.442,4.143,65.67,62.97,2881743869.0,181463414889.023,61095000000.0,11939064849.267,0.195,63,Healthcare,Drug Manufacturers—General
2008-12-28,0.203,12.495,3.806,0.997,0.305,0.031,0.388,4.234,61.37,57.54,2811900000.0,161796728530.71,63747000000.0,11905584600.0,0.187,64,Healthcare,Drug Manufacturers—General
2009-12-28,0.198,14.399,3.491,0.872,0.242,0.03,0.434,5.147,65.59,63.99,2760000000.0,176612404692.0,61897000000.0,14205720000.0,0.23,65,Healthcare,Drug Manufacturers—General
2010-12-28,0.217,12.45,2.934,0.819,0.236,0.035,0.435,5.113,62.25,60.63,2738097000.0,166010824121.907,61587000000.0,13999889961.0,0.227,66,Healthcare,Drug Manufacturers—General
2011-12-28,0.149,18.565,3.146,0.991,0.169,0.034,0.636,4.186,67.49,65.91,2724363000.0,179562775410.143,65030000000.0,11404183518.0,0.175,67,Healthcare,Drug Manufacturers—General
2012-12-30,0.161,19.05,3.189,0.872,0.167,0.032,0.609,4.485,76.01,74.41,2778489000.0,206747376770.409,67224000000.0,12461523165.0,0.185,68,Healthcare,Drug Manufacturers—General
2013-12-29,0.194,18.375,3.432,0.792,0.187,0.029,0.527,4.899,91.76,90.1,2820628000.0,254138578569.058,71312000000.0,13818256572.0,0.194,69,Healthcare,Drug Manufacturers—General
2014-12-28,0.22,17.407,4.074,0.88,0.234,0.027,0.476,5.302,103.42,102.09,2783223000.0,284139225772.075,74331000000.0,14756648346.0,0.199,70,Healthcare,Drug Manufacturers—General
2015-12-28,0.22,18.49,4.004,0.875,0.217,0.029,0.53,5.74,105.47,103.41,2755162000.0,284911312614.099,70074000000.0,15814629880.0,0.226,71,Healthcare,Drug Manufacturers—General
2016-12-28,0.23,18.532,4.353,1.005,0.235,0.028,0.521,5.742,116.64,113.25,2706511000.0,306512370750.0,71890000000.0,15540786162.0,0.216,72,Healthcare,Drug Manufacturers—General
2017-12-31,0.017,293.902,6.351,1.615,0.022,0.023,6.879,6.627,149.07,142.43,2682525000.0,382072016167.568,76450000000.0,17777093175.0,0.233,73,Healthcare,Drug Manufacturers—General
2018-12-30,0.188,23.076,5.908,1.56,0.256,0.027,0.621,6.911,138.39,131.64,2662324000.0,346980691712.183,81581000000.0,18399321164.0,0.226,74,Healthcare,Drug Manufacturers—General
2019-12-29,0.184,26.031,6.618,1.652,0.254,0.025,0.656,7.566,151.59,149.5,2632507000.0,393559796500.0,82059000000.0,19917547962.0,0.243,75,Healthcare,Drug Manufacturers—General
2020-12-28,0.178,28.85,6.708,1.764,0.233,0.025,0.712,7.669,166.56,161.25,2632512000.0,424492560000.0,82584000000.0,20188734528.0,0.244,76,Healthcare,Drug Manufacturers—General
2021-12-28,0.223,21.543,6.076,1.459,0.282,0.025,0.528,7.507,176.38,170.88,2632100000.0,449773260897.29,93775000000.0,19759174700.0,0.211,77,Healthcare,Drug Manufacturers—General
