Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.221,12.274,2.042,15.397,0.166,0.027,0.327,4.287,50.32,35.73,1273800000.0,45511814071.02,16783000000.0,5460780600.0,0.325,28,Financial Services
1998-12-31,0.2,17.212,2.669,14.002,0.155,0.02,0.338,2.057,70.42,51.29,1269150000.0,65096820315.285,18867000000.0,2610641550.0,0.138,29,Financial Services
1999-12-31,0.245,11.671,2.63,15.804,0.225,0.022,0.257,-2.716,86.76,51.13,1243200000.0,63558600000.0,22217000000.0,-3376531200.0,-0.152,30,Financial Services
2000-12-31,0.174,18.417,2.459,15.679,0.134,0.022,0.398,-7.259,73.13,55.98,1884100000.0,105471917057.95,32934000000.0,-13676681900.0,-0.415,31,Financial Services
2001-12-31,0.058,38.493,1.566,15.653,0.041,0.041,1.592,-1.575,50.98,33.06,1972400000.0,65207546761.36,29050000000.0,-3106530000.0,-0.107,32,Financial Services
2002-12-31,0.056,27.487,1.08,16.936,0.039,0.061,1.674,-12.668,37.23,23.04,1984000000.0,45711361785.6,29614000000.0,-25133312000.0,-0.849,33,Financial Services
2003-12-31,0.202,11.628,1.693,15.437,0.146,0.037,0.426,7.268,54.04,38.89,2009000000.0,78130008794.6,33256000000.0,14601412000.0,0.439,34,Financial Services
2004-12-31,0.104,23.032,0.974,9.498,0.042,0.038,0.879,-7.844,57.45,37.0,2780000000.0,102860000000.0,43097000000.0,-21806320000.0,-0.506,35,Financial Services
2005-12-31,0.156,16.404,1.298,9.789,0.079,0.035,0.575,-6.938,56.55,39.85,3492000000.0,139156194762.0,54533000000.0,-24227496000.0,-0.444,36,Financial Services
2006-12-31,0.235,12.055,1.504,10.672,0.125,0.028,0.336,-14.288,65.73,50.18,3470000000.0,174124601041.0,61437000000.0,-49579360000.0,-0.807,37,Financial Services
2007-12-31,0.215,10.49,1.308,11.678,0.125,0.031,0.329,-32.479,62.51,47.35,3404000000.0,161179394894.0,71372000000.0,-110558516000.0,-1.549,38,Financial Services
2008-12-31,0.083,15.935,0.535,12.033,0.034,0.066,1.055,6.597,72.65,25.51,3501100000.0,89313061700.22,67252000000.0,23096756700.0,0.343,39,Financial Services
2009-12-31,0.117,12.825,0.91,11.288,0.071,0.023,0.292,31.557,62.09,38.94,3862800000.0,150417426592.08,100434000000.0,121898379600.0,1.214,40,Financial Services
2010-12-31,0.169,10.145,1.001,11.025,0.099,0.008,0.086,-0.948,56.99,44.54,3956300000.0,176213605560.67,102694000000.0,-3750572400.0,-0.037,41,Financial Services
2011-12-31,0.195,7.607,0.786,11.343,0.103,0.027,0.205,24.595,74.16,37.01,3900400000.0,144353797369.32,97234000000.0,95930338000.0,0.987,42,Financial Services
2012-12-31,0.219,8.435,0.88,10.561,0.104,0.029,0.244,6.583,93.21,47.13,3809400000.0,179537026190.34,97031000000.0,25077280200.0,0.258,43,Financial Services
2013-12-31,0.186,11.818,1.003,10.439,0.085,0.029,0.338,28.541,150.07,56.0,3782400000.0,211814400000.0,96606000000.0,107953478400.0,1.117,44,Financial Services
2014-12-31,0.231,9.404,0.882,10.088,0.094,0.034,0.321,9.723,190.51,54.38,3763500000.0,204659134139.85,94205000000.0,36592510500.0,0.388,45,Financial Services
2015-12-31,0.263,9.026,0.891,8.499,0.099,0.036,0.322,19.814,156.73,59.5,3707800000.0,220614100000.0,93029000000.0,73466349200.0,0.79,46,Financial Services
2016-12-31,0.259,12.586,1.225,8.8,0.097,0.027,0.343,5.581,193.71,86.03,3618500000.0,311299550657.8,95668000000.0,20194848500.0,0.211,47,Financial Services
2017-12-31,0.247,16.727,1.599,8.909,0.096,0.022,0.368,-0.704,236.22,115.11,3551600000.0,408824678130.96,98979000000.0,-2500326400.0,-0.025,48,Financial Services
2018-12-31,0.298,10.92,1.382,9.224,0.127,0.029,0.311,4.177,186.49,104.41,3396400000.0,354618136566.68,109029000000.0,14186762800.0,0.13,49,Financial Services
2019-12-31,0.315,12.016,1.675,9.283,0.139,0.028,0.339,1.877,217.72,135.89,3221500000.0,437769633067.1,115627000000.0,6046755500.0,0.052,50,Financial Services
2020-12-31,0.244,13.615,1.42,11.121,0.104,0.032,0.436,-25.925,299.84,128.67,3082400000.0,396612402451.68,119475000000.0,-79911220000.0,-0.669,51,Financial Services
2021-12-31,0.397,9.35,1.536,11.728,0.164,0.028,0.266,25.332,386.95,146.61,3082400000.0,451910665849.44,121685000000.0,78083356800.0,0.642,52,Financial Services
